OrgRegionKey,OrgRegionCode,OrgDivisionKey,OrgRegionName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,OR000001,7,Willow OrgRegion 1,1,1,2026-08-24T00:00:00.000
2,OR000002,1,Summit OrgRegion 2,1,1,2026-08-24T00:00:00.000
3,OR000003,7,Pioneer OrgRegion 3,1,1,2026-08-24T00:00:00.000
4,OR000004,7,Junction OrgRegion 4,1,1,2026-08-24T00:00:00.000
5,OR000005,5,Pioneer OrgRegion 5,1,1,2026-08-24T00:00:00.000
6,OR000006,5,Pioneer OrgRegion 6,1,1,2026-08-24T00:00:00.000
7,OR000007,7,Keystone OrgRegion 7,1,1,2026-08-24T00:00:00.000
8,OR000008,7,Forge OrgRegion 8,1,1,2026-08-24T00:00:00.000
9,OR000009,5,Harbor OrgRegion 9,1,1,2026-08-24T00:00:00.000
10,OR000010,2,Riverton OrgRegion 10,1,1,2026-08-24T00:00:00.000
11,OR000011,1,Willow OrgRegion 11,1,1,2026-08-24T00:00:00.000
12,OR000012,6,Pioneer OrgRegion 12,1,1,2026-08-24T00:00:00.000
13,OR000013,6,Pioneer OrgRegion 13,1,1,2026-08-24T00:00:00.000
14,OR000014,3,Cedar OrgRegion 14,1,1,2026-08-24T00:00:00.000
15,OR000015,3,Quartz OrgRegion 15,1,1,2026-08-24T00:00:00.000
16,OR000016,6,Northstar OrgRegion 16,1,1,2026-08-24T00:00:00.000
17,OR000017,2,Unity OrgRegion 17,1,1,2026-08-24T00:00:00.000
18,OR000018,1,Zenith OrgRegion 18,1,1,2026-08-24T00:00:00.000
19,OR000019,5,Willow OrgRegion 19,1,1,2026-08-24T00:00:00.000
20,OR000020,5,Meridian OrgRegion 20,1,1,2026-08-24T00:00:00.000
21,OR000021,7,Summit OrgRegion 21,1,1,2026-08-24T00:00:00.000
22,OR000022,3,Unity OrgRegion 22,1,1,2026-08-24T00:00:00.000
23,OR000023,1,Ion OrgRegion 23,1,1,2026-08-24T00:00:00.000
24,OR000024,5,Vertex OrgRegion 24,1,1,2026-08-24T00:00:00.000
25,OR000025,1,Orion OrgRegion 25,1,1,2026-08-24T00:00:00.000
26,OR000026,8,Liberty OrgRegion 26,1,1,2026-08-24T00:00:00.000
27,OR000027,6,Summit OrgRegion 27,1,1,2026-08-24T00:00:00.000
28,OR000028,4,Atlas OrgRegion 28,1,1,2026-08-24T00:00:00.000
29,OR000029,3,Northstar OrgRegion 29,1,1,2026-08-24T00:00:00.000
30,OR000030,2,Riverton OrgRegion 30,1,1,2026-08-24T00:00:00.000
31,OR000031,6,Riverton OrgRegion 31,1,1,2026-08-24T00:00:00.000
32,OR000032,6,Riverton OrgRegion 32,1,1,2026-08-24T00:00:00.000
33,OR000033,5,Junction OrgRegion 33,1,1,2026-08-24T00:00:00.000
34,OR000034,6,Evergreen OrgRegion 34,1,1,2026-08-24T00:00:00.000
35,OR000035,6,Junction OrgRegion 35,1,1,2026-08-24T00:00:00.000
