SalesPriceListKey,PriceListCode,SalesChannelSegmentKey,ProductKey,CurrencyKey,UnitOfMeasureKey,PriceListName,EffectiveDate,ExpirationDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SPL000001,149,485,2,5,Junction SalesPriceList 1,2020-01-02,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b90e5420264f5c7aa10d4a3db44c6849b90e5420264f5c7aa10d4a3db44c6849
2,SPL000002,225,355,4,4,Evergreen SalesPriceList 2,2020-01-03,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,989da8759d3e5b5c979e04b58deb8fa0989da8759d3e5b5c979e04b58deb8fa0
3,SPL000003,181,424,1,1,Orion SalesPriceList 3,2020-01-04,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1783383ac5ef55bb9f9a39f7d2d001131783383ac5ef55bb9f9a39f7d2d00113
4,SPL000004,446,462,1,4,Quartz SalesPriceList 4,2020-01-05,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b77b74887cd5c36825c65d0adc880316b77b74887cd5c36825c65d0adc88031
5,SPL000005,161,52,3,3,Liberty SalesPriceList 5,2020-01-06,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0e834b10c8852719b0653a4b2dca13fe0e834b10c8852719b0653a4b2dca13f
6,SPL000006,435,297,3,5,Orion SalesPriceList 6,2020-01-07,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a21704bd37c5b569284b0a9229f8a6e1a21704bd37c5b569284b0a9229f8a6e
7,SPL000007,12,258,2,5,Orion SalesPriceList 7,2020-01-08,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2129770b69dd5ab1b457755680fcbd602129770b69dd5ab1b457755680fcbd60
8,SPL000008,210,477,5,2,Granite SalesPriceList 8,2020-01-09,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d216baed491550f98459b1a92fd5927cd216baed491550f98459b1a92fd5927c
9,SPL000009,45,34,3,6,Evergreen SalesPriceList 9,2020-01-10,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1428e41be31954c68b4fa1ae12d51cd91428e41be31954c68b4fa1ae12d51cd9
10,SPL000010,422,292,1,6,Junction SalesPriceList 10,2020-01-11,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a16a815046255fa8a008a202f1b67832a16a815046255fa8a008a202f1b6783
