OeeLossReasonGroupKey,OeeLossReasonGroupCode,OeeLossClassKey,OeeLossReasonGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,OLRG000001,31,Cedar OeeLossReasonGroup 1,1,1,2026-08-24T00:00:00.000
2,OLRG000002,6,Harbor OeeLossReasonGroup 2,1,1,2026-08-24T00:00:00.000
3,OLRG000003,11,Junction OeeLossReasonGroup 3,1,1,2026-08-24T00:00:00.000
4,OLRG000004,36,Summit OeeLossReasonGroup 4,1,1,2026-08-24T00:00:00.000
5,OLRG000005,40,Keystone OeeLossReasonGroup 5,1,1,2026-08-24T00:00:00.000
6,OLRG000006,6,Liberty OeeLossReasonGroup 6,1,1,2026-08-24T00:00:00.000
7,OLRG000007,26,Quartz OeeLossReasonGroup 7,1,1,2026-08-24T00:00:00.000
8,OLRG000008,7,Vertex OeeLossReasonGroup 8,1,1,2026-08-24T00:00:00.000
9,OLRG000009,33,Evergreen OeeLossReasonGroup 9,1,1,2026-08-24T00:00:00.000
10,OLRG000010,18,Unity OeeLossReasonGroup 10,1,1,2026-08-24T00:00:00.000
11,OLRG000011,39,Quartz OeeLossReasonGroup 11,1,1,2026-08-24T00:00:00.000
12,OLRG000012,39,Liberty OeeLossReasonGroup 12,1,1,2026-08-24T00:00:00.000
13,OLRG000013,33,Evergreen OeeLossReasonGroup 13,1,1,2026-08-24T00:00:00.000
14,OLRG000014,11,Ion OeeLossReasonGroup 14,1,1,2026-08-24T00:00:00.000
15,OLRG000015,9,Atlas OeeLossReasonGroup 15,1,1,2026-08-24T00:00:00.000
16,OLRG000016,1,Willow OeeLossReasonGroup 16,1,1,2026-08-24T00:00:00.000
17,OLRG000017,35,Orion OeeLossReasonGroup 17,1,1,2026-08-24T00:00:00.000
18,OLRG000018,4,Meridian OeeLossReasonGroup 18,1,1,2026-08-24T00:00:00.000
19,OLRG000019,32,Beacon OeeLossReasonGroup 19,1,1,2026-08-24T00:00:00.000
20,OLRG000020,28,Forge OeeLossReasonGroup 20,1,1,2026-08-24T00:00:00.000
21,OLRG000021,1,Granite OeeLossReasonGroup 21,1,1,2026-08-24T00:00:00.000
22,OLRG000022,14,Titan OeeLossReasonGroup 22,1,1,2026-08-24T00:00:00.000
23,OLRG000023,10,Ion OeeLossReasonGroup 23,1,1,2026-08-24T00:00:00.000
24,OLRG000024,17,Willow OeeLossReasonGroup 24,1,1,2026-08-24T00:00:00.000
25,OLRG000025,25,Orion OeeLossReasonGroup 25,1,1,2026-08-24T00:00:00.000
26,OLRG000026,23,Granite OeeLossReasonGroup 26,1,1,2026-08-24T00:00:00.000
27,OLRG000027,36,Unity OeeLossReasonGroup 27,1,1,2026-08-24T00:00:00.000
28,OLRG000028,35,Riverton OeeLossReasonGroup 28,1,1,2026-08-24T00:00:00.000
29,OLRG000029,25,Forge OeeLossReasonGroup 29,1,1,2026-08-24T00:00:00.000
30,OLRG000030,20,Riverton OeeLossReasonGroup 30,1,1,2026-08-24T00:00:00.000
31,OLRG000031,17,Delta OeeLossReasonGroup 31,1,1,2026-08-24T00:00:00.000
32,OLRG000032,33,Delta OeeLossReasonGroup 32,1,1,2026-08-24T00:00:00.000
33,OLRG000033,37,Liberty OeeLossReasonGroup 33,1,1,2026-08-24T00:00:00.000
34,OLRG000034,38,Granite OeeLossReasonGroup 34,1,1,2026-08-24T00:00:00.000
35,OLRG000035,32,Quartz OeeLossReasonGroup 35,1,1,2026-08-24T00:00:00.000
36,OLRG000036,19,Titan OeeLossReasonGroup 36,1,1,2026-08-24T00:00:00.000
37,OLRG000037,17,Pioneer OeeLossReasonGroup 37,1,1,2026-08-24T00:00:00.000
38,OLRG000038,1,Summit OeeLossReasonGroup 38,1,1,2026-08-24T00:00:00.000
39,OLRG000039,18,Atlas OeeLossReasonGroup 39,1,1,2026-08-24T00:00:00.000
40,OLRG000040,10,Evergreen OeeLossReasonGroup 40,1,1,2026-08-24T00:00:00.000
41,OLRG000041,20,Pioneer OeeLossReasonGroup 41,1,1,2026-08-24T00:00:00.000
42,OLRG000042,21,Atlas OeeLossReasonGroup 42,1,1,2026-08-24T00:00:00.000
43,OLRG000043,23,Northstar OeeLossReasonGroup 43,1,1,2026-08-24T00:00:00.000
44,OLRG000044,40,Titan OeeLossReasonGroup 44,1,1,2026-08-24T00:00:00.000
45,OLRG000045,2,Zenith OeeLossReasonGroup 45,1,1,2026-08-24T00:00:00.000
46,OLRG000046,19,Liberty OeeLossReasonGroup 46,1,1,2026-08-24T00:00:00.000
47,OLRG000047,39,Unity OeeLossReasonGroup 47,1,1,2026-08-24T00:00:00.000
48,OLRG000048,10,Titan OeeLossReasonGroup 48,1,1,2026-08-24T00:00:00.000
49,OLRG000049,6,Quartz OeeLossReasonGroup 49,1,1,2026-08-24T00:00:00.000
50,OLRG000050,34,Delta OeeLossReasonGroup 50,1,1,2026-08-24T00:00:00.000
51,OLRG000051,20,Willow OeeLossReasonGroup 51,1,1,2026-08-24T00:00:00.000
52,OLRG000052,4,Atlas OeeLossReasonGroup 52,1,1,2026-08-24T00:00:00.000
53,OLRG000053,37,Pioneer OeeLossReasonGroup 53,1,1,2026-08-24T00:00:00.000
54,OLRG000054,18,Riverton OeeLossReasonGroup 54,1,1,2026-08-24T00:00:00.000
55,OLRG000055,5,Pioneer OeeLossReasonGroup 55,1,1,2026-08-24T00:00:00.000
56,OLRG000056,30,Quartz OeeLossReasonGroup 56,1,1,2026-08-24T00:00:00.000
57,OLRG000057,31,Vertex OeeLossReasonGroup 57,1,1,2026-08-24T00:00:00.000
58,OLRG000058,36,Harbor OeeLossReasonGroup 58,1,1,2026-08-24T00:00:00.000
59,OLRG000059,28,Junction OeeLossReasonGroup 59,1,1,2026-08-24T00:00:00.000
60,OLRG000060,4,Titan OeeLossReasonGroup 60,1,1,2026-08-24T00:00:00.000
61,OLRG000061,32,Quartz OeeLossReasonGroup 61,1,1,2026-08-24T00:00:00.000
62,OLRG000062,33,Granite OeeLossReasonGroup 62,1,1,2026-08-24T00:00:00.000
63,OLRG000063,11,Northstar OeeLossReasonGroup 63,1,1,2026-08-24T00:00:00.000
64,OLRG000064,5,Summit OeeLossReasonGroup 64,1,1,2026-08-24T00:00:00.000
65,OLRG000065,37,Riverton OeeLossReasonGroup 65,1,1,2026-08-24T00:00:00.000
66,OLRG000066,10,Granite OeeLossReasonGroup 66,1,1,2026-08-24T00:00:00.000
67,OLRG000067,29,Meridian OeeLossReasonGroup 67,1,1,2026-08-24T00:00:00.000
68,OLRG000068,2,Titan OeeLossReasonGroup 68,1,1,2026-08-24T00:00:00.000
69,OLRG000069,19,Riverton OeeLossReasonGroup 69,1,1,2026-08-24T00:00:00.000
70,OLRG000070,30,Orion OeeLossReasonGroup 70,1,1,2026-08-24T00:00:00.000
71,OLRG000071,32,Harbor OeeLossReasonGroup 71,1,1,2026-08-24T00:00:00.000
72,OLRG000072,26,Meridian OeeLossReasonGroup 72,1,1,2026-08-24T00:00:00.000
73,OLRG000073,8,Titan OeeLossReasonGroup 73,1,1,2026-08-24T00:00:00.000
74,OLRG000074,11,Junction OeeLossReasonGroup 74,1,1,2026-08-24T00:00:00.000
75,OLRG000075,16,Unity OeeLossReasonGroup 75,1,1,2026-08-24T00:00:00.000
76,OLRG000076,26,Orion OeeLossReasonGroup 76,1,1,2026-08-24T00:00:00.000
77,OLRG000077,33,Evergreen OeeLossReasonGroup 77,1,1,2026-08-24T00:00:00.000
78,OLRG000078,36,Keystone OeeLossReasonGroup 78,1,1,2026-08-24T00:00:00.000
79,OLRG000079,6,Zenith OeeLossReasonGroup 79,1,1,2026-08-24T00:00:00.000
80,OLRG000080,29,Forge OeeLossReasonGroup 80,1,1,2026-08-24T00:00:00.000
81,OLRG000081,14,Riverton OeeLossReasonGroup 81,1,1,2026-08-24T00:00:00.000
82,OLRG000082,21,Northstar OeeLossReasonGroup 82,1,1,2026-08-24T00:00:00.000
83,OLRG000083,25,Harbor OeeLossReasonGroup 83,1,1,2026-08-24T00:00:00.000
84,OLRG000084,35,Northstar OeeLossReasonGroup 84,1,1,2026-08-24T00:00:00.000
85,OLRG000085,6,Keystone OeeLossReasonGroup 85,1,1,2026-08-24T00:00:00.000
86,OLRG000086,7,Summit OeeLossReasonGroup 86,1,1,2026-08-24T00:00:00.000
87,OLRG000087,13,Ion OeeLossReasonGroup 87,1,1,2026-08-24T00:00:00.000
88,OLRG000088,14,Liberty OeeLossReasonGroup 88,1,1,2026-08-24T00:00:00.000
89,OLRG000089,27,Vertex OeeLossReasonGroup 89,1,1,2026-08-24T00:00:00.000
