SalesOrderLineKey,SalesOrderLineCode,SalesOrderHeaderKey,ProductKey,CustomerKey,SalesOrderLifecycleStatusKey,UnitOfMeasureKey,LineSequenceNumber,CustomerLineReference,RequestedDeliveryDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,0,N/A,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SOL000001,148,246,292,12,7,1,SalesOrderLine-CustomerLineReference-1,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcbd28b6c92d5d7c93a5e6d9c79d14bffcbd28b6c92d5d7c93a5e6d9c79d14bf
2,SOL000002,160,221,60,7,2,2,SalesOrderLine-CustomerLineReference-2,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8940791b21f657ea96d543f28fc28d328940791b21f657ea96d543f28fc28d32
3,SOL000003,251,419,140,14,2,3,SalesOrderLine-CustomerLineReference-3,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d86021613c225b81bfe084915c65e3e3d86021613c225b81bfe084915c65e3e3
4,SOL000004,73,108,373,13,4,4,SalesOrderLine-CustomerLineReference-4,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e6bba7e66325e448d31baa836cabb586e6bba7e66325e448d31baa836cabb58
5,SOL000005,195,186,270,1,2,5,SalesOrderLine-CustomerLineReference-5,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e08112a56d8595f8814df02dc412ad36e08112a56d8595f8814df02dc412ad3
6,SOL000006,270,489,402,6,1,6,SalesOrderLine-CustomerLineReference-6,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8f191a1a239533c84623776077ee91db8f191a1a239533c84623776077ee91d
7,SOL000007,42,257,430,1,1,7,SalesOrderLine-CustomerLineReference-7,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,873592e5b0595a5985f1230339572e61873592e5b0595a5985f1230339572e61
8,SOL000008,226,432,153,10,3,8,SalesOrderLine-CustomerLineReference-8,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d5ca77b97d85ad2b52ef67aa1421e883d5ca77b97d85ad2b52ef67aa1421e88
9,SOL000009,175,357,181,11,1,9,SalesOrderLine-CustomerLineReference-9,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cfe8e4c816d55b8a769a6ffacc6d5337cfe8e4c816d55b8a769a6ffacc6d533
10,SOL000010,48,221,74,1,3,10,SalesOrderLine-CustomerLineReference-10,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7cc45d286c25502a250a2505175bc9de7cc45d286c25502a250a2505175bc9d
11,SOL000011,199,431,497,12,4,11,SalesOrderLine-CustomerLineReference-11,2020-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d62da0edb5cc51c5bd56f89ec8967372d62da0edb5cc51c5bd56f89ec8967372
12,SOL000012,41,148,310,7,6,12,SalesOrderLine-CustomerLineReference-12,2020-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdee752c12445b1e97dcd6b1aafc40f9bdee752c12445b1e97dcd6b1aafc40f9
13,SOL000013,46,146,40,1,1,13,SalesOrderLine-CustomerLineReference-13,2020-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad98e3deb5dd5b6cb9413b4e7151d3c2ad98e3deb5dd5b6cb9413b4e7151d3c2
14,SOL000014,38,428,28,3,7,14,SalesOrderLine-CustomerLineReference-14,2020-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1501663eb27f56f391243dfad5bf56561501663eb27f56f391243dfad5bf5656
15,SOL000015,197,256,159,6,1,15,SalesOrderLine-CustomerLineReference-15,2020-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db1007259898559fa9bf1c7ed1845e6edb1007259898559fa9bf1c7ed1845e6e
16,SOL000016,101,410,301,6,4,16,SalesOrderLine-CustomerLineReference-16,2020-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62a6fd893e285242a111d2ffb5090dc562a6fd893e285242a111d2ffb5090dc5
17,SOL000017,137,270,255,6,7,17,SalesOrderLine-CustomerLineReference-17,2020-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de4c8fda36e755f09e9eef2419a2a027de4c8fda36e755f09e9eef2419a2a027
18,SOL000018,287,384,264,14,5,18,SalesOrderLine-CustomerLineReference-18,2020-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,855a32ce2681537b95b8275bad4c7b5f855a32ce2681537b95b8275bad4c7b5f
19,SOL000019,386,200,289,6,2,19,SalesOrderLine-CustomerLineReference-19,2020-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89e2dbbdbfa25271987123198efb288489e2dbbdbfa25271987123198efb2884
20,SOL000020,348,333,344,4,6,20,SalesOrderLine-CustomerLineReference-20,2020-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7235e87a255b5da997e04bd7cbdb41bf7235e87a255b5da997e04bd7cbdb41bf
21,SOL000021,245,49,126,5,3,21,SalesOrderLine-CustomerLineReference-21,2020-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c71955b5426552b08cf97631af490181c71955b5426552b08cf97631af490181
22,SOL000022,241,184,471,14,5,22,SalesOrderLine-CustomerLineReference-22,2020-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,736cf359091e50b1a9a69b536742f72e736cf359091e50b1a9a69b536742f72e
23,SOL000023,434,390,159,14,5,23,SalesOrderLine-CustomerLineReference-23,2020-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98427c26b09c5cb6b06ab2589f2fff9598427c26b09c5cb6b06ab2589f2fff95
24,SOL000024,317,56,321,14,3,24,SalesOrderLine-CustomerLineReference-24,2020-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbc90b2d9e975dccb6a8e63eb6338ff6cbc90b2d9e975dccb6a8e63eb6338ff6
25,SOL000025,206,53,477,13,4,25,SalesOrderLine-CustomerLineReference-25,2020-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b51aa28637b51a2a5632ce0633e1e7f6b51aa28637b51a2a5632ce0633e1e7f
26,SOL000026,61,175,167,13,2,26,SalesOrderLine-CustomerLineReference-26,2020-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,949176e63c54576aa9dc2905207f15fc949176e63c54576aa9dc2905207f15fc
27,SOL000027,347,499,59,5,3,27,SalesOrderLine-CustomerLineReference-27,2020-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,246149c452c051f19e8a9fe48ef7a001246149c452c051f19e8a9fe48ef7a001
28,SOL000028,171,464,62,13,1,28,SalesOrderLine-CustomerLineReference-28,2020-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db20e42355175e23962b8705f10c490adb20e42355175e23962b8705f10c490a
29,SOL000029,382,29,382,6,7,29,SalesOrderLine-CustomerLineReference-29,2020-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27a8ad1f763d5f24ad5167ca1958946327a8ad1f763d5f24ad5167ca19589463
30,SOL000030,19,138,292,9,4,30,SalesOrderLine-CustomerLineReference-30,2020-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea5a7d6950c45efcb29ee88aab573afeea5a7d6950c45efcb29ee88aab573afe
31,SOL000031,253,224,275,12,4,31,SalesOrderLine-CustomerLineReference-31,2020-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9571231f30ef5b7ab66a394bebedb3679571231f30ef5b7ab66a394bebedb367
