ProductionProcessStepKey,ProductionProcessStepCode,ProductionProcessCellKey,ProductionProcessStepName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PPS000001,112,Evergreen ProductionProcessStep 1,1,1,2026-08-24T00:00:00.000
2,PPS000002,48,Titan ProductionProcessStep 2,1,1,2026-08-24T00:00:00.000
3,PPS000003,255,Summit ProductionProcessStep 3,1,1,2026-08-24T00:00:00.000
4,PPS000004,179,Pioneer ProductionProcessStep 4,1,1,2026-08-24T00:00:00.000
5,PPS000005,228,Riverton ProductionProcessStep 5,1,1,2026-08-24T00:00:00.000
6,PPS000006,32,Willow ProductionProcessStep 6,1,1,2026-08-24T00:00:00.000
7,PPS000007,213,Harbor ProductionProcessStep 7,1,1,2026-08-24T00:00:00.000
8,PPS000008,48,Beacon ProductionProcessStep 8,1,1,2026-08-24T00:00:00.000
9,PPS000009,1,Harbor ProductionProcessStep 9,1,1,2026-08-24T00:00:00.000
10,PPS000010,153,Orion ProductionProcessStep 10,1,1,2026-08-24T00:00:00.000
11,PPS000011,240,Zenith ProductionProcessStep 11,1,1,2026-08-24T00:00:00.000
12,PPS000012,52,Forge ProductionProcessStep 12,1,1,2026-08-24T00:00:00.000
13,PPS000013,252,Delta ProductionProcessStep 13,1,1,2026-08-24T00:00:00.000
14,PPS000014,128,Northstar ProductionProcessStep 14,1,1,2026-08-24T00:00:00.000
15,PPS000015,100,Summit ProductionProcessStep 15,1,1,2026-08-24T00:00:00.000
16,PPS000016,255,Granite ProductionProcessStep 16,1,1,2026-08-24T00:00:00.000
17,PPS000017,68,Evergreen ProductionProcessStep 17,1,1,2026-08-24T00:00:00.000
18,PPS000018,156,Northstar ProductionProcessStep 18,1,1,2026-08-24T00:00:00.000
19,PPS000019,126,Delta ProductionProcessStep 19,1,1,2026-08-24T00:00:00.000
20,PPS000020,121,Junction ProductionProcessStep 20,1,1,2026-08-24T00:00:00.000
21,PPS000021,92,Ion ProductionProcessStep 21,1,1,2026-08-24T00:00:00.000
22,PPS000022,206,Junction ProductionProcessStep 22,1,1,2026-08-24T00:00:00.000
23,PPS000023,61,Pioneer ProductionProcessStep 23,1,1,2026-08-24T00:00:00.000
24,PPS000024,97,Orion ProductionProcessStep 24,1,1,2026-08-24T00:00:00.000
25,PPS000025,167,Vertex ProductionProcessStep 25,1,1,2026-08-24T00:00:00.000
26,PPS000026,218,Evergreen ProductionProcessStep 26,1,1,2026-08-24T00:00:00.000
27,PPS000027,121,Cedar ProductionProcessStep 27,1,1,2026-08-24T00:00:00.000
28,PPS000028,149,Delta ProductionProcessStep 28,1,1,2026-08-24T00:00:00.000
29,PPS000029,2,Unity ProductionProcessStep 29,1,1,2026-08-24T00:00:00.000
30,PPS000030,24,Cedar ProductionProcessStep 30,1,1,2026-08-24T00:00:00.000
31,PPS000031,138,Northstar ProductionProcessStep 31,1,1,2026-08-24T00:00:00.000
32,PPS000032,212,Summit ProductionProcessStep 32,1,1,2026-08-24T00:00:00.000
33,PPS000033,191,Titan ProductionProcessStep 33,1,1,2026-08-24T00:00:00.000
34,PPS000034,105,Titan ProductionProcessStep 34,1,1,2026-08-24T00:00:00.000
35,PPS000035,172,Quartz ProductionProcessStep 35,1,1,2026-08-24T00:00:00.000
36,PPS000036,129,Delta ProductionProcessStep 36,1,1,2026-08-24T00:00:00.000
37,PPS000037,105,Delta ProductionProcessStep 37,1,1,2026-08-24T00:00:00.000
