QualityInspectionLotKey,InspectionLotNumber,ProductKey,PlantKey,SupplierKey,ProductionLotKey,QualityInspectionTypeKey,QualityResultStatusKey,UnitOfMeasureKey,QualityInspectionLotName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,QIL000001,477,116,245,265,11,10,7,Willow QualityInspectionLot 1,QIL000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccab0cdb3e655a90be22d407aaa77ca0ccab0cdb3e655a90be22d407aaa77ca0
2,QIL000002,218,149,375,175,11,9,6,Liberty QualityInspectionLot 2,QIL000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bf5884d2b935610ae541b6de4037d174bf5884d2b935610ae541b6de4037d17
3,QIL000003,25,142,458,207,7,1,3,Junction QualityInspectionLot 3,QIL000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1259bd5e5a3c5c68a021bd1764607bb11259bd5e5a3c5c68a021bd1764607bb1
4,QIL000004,476,236,18,379,10,1,7,Unity QualityInspectionLot 4,QIL000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68902c26ec675b32b6b7e310e04b6a3b68902c26ec675b32b6b7e310e04b6a3b
5,QIL000005,93,159,222,392,7,4,2,Pioneer QualityInspectionLot 5,QIL000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82f57870c9e255018aa2c02bd7779dff82f57870c9e255018aa2c02bd7779dff
6,QIL000006,122,9,363,51,9,8,2,Atlas QualityInspectionLot 6,QIL000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5a3ccc93b7c533ea4327cafc2e83f56b5a3ccc93b7c533ea4327cafc2e83f56
7,QIL000007,396,32,230,424,5,12,2,Willow QualityInspectionLot 7,QIL000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5aa54801e5b51e3a79d9f5287296e58b5aa54801e5b51e3a79d9f5287296e58
8,QIL000008,185,50,484,462,7,5,7,Riverton QualityInspectionLot 8,QIL000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e847c007ac56587eb7176dbd53a97cafe847c007ac56587eb7176dbd53a97caf
9,QIL000009,349,66,472,167,10,8,5,Vertex QualityInspectionLot 9,QIL000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a06bd5f77eb95504aca358f1d08eacbfa06bd5f77eb95504aca358f1d08eacbf
10,QIL000010,220,262,108,148,7,8,2,Forge QualityInspectionLot 10,QIL000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c85ac2874e55212964013618037d23a2c85ac2874e55212964013618037d23a
11,QIL000011,205,208,359,213,7,6,4,Orion QualityInspectionLot 11,QIL000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba3a281c868b5c978b6f0f836c9f2740ba3a281c868b5c978b6f0f836c9f2740
12,QIL000012,446,215,427,154,9,3,5,Zenith QualityInspectionLot 12,QIL000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27103b338da352f2984db3dd7757d4c327103b338da352f2984db3dd7757d4c3
13,QIL000013,10,87,95,129,5,11,4,Titan QualityInspectionLot 13,QIL000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ef2af0be0475d0f8586ad718e65955f6ef2af0be0475d0f8586ad718e65955f
14,QIL000014,273,39,55,226,4,9,5,Summit QualityInspectionLot 14,QIL000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b9080f0d3545c299bd57e9d4bbafba66b9080f0d3545c299bd57e9d4bbafba6
15,QIL000015,53,108,277,351,1,9,3,Keystone QualityInspectionLot 15,QIL000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c803d85736335c41a2762ec4cd7d421fc803d85736335c41a2762ec4cd7d421f
16,QIL000016,98,91,36,258,4,5,1,Quartz QualityInspectionLot 16,QIL000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d87455a9e5e25be483ba05ffb2859cbcd87455a9e5e25be483ba05ffb2859cbc
17,QIL000017,282,341,-1,-1,9,11,1,Pioneer QualityInspectionLot 17,QIL000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b4aa81a7c865553b80b15e3e08cb4117b4aa81a7c865553b80b15e3e08cb411
