MaintenanceFailureCauseKey,MaintenanceFailureCauseCode,MaintenanceFailureModeKey,MaintenanceFailureCauseName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MFC000001,7,Delta MaintenanceFailureCause 1,1,1,2026-08-24T00:00:00.000
2,MFC000002,11,Titan MaintenanceFailureCause 2,1,1,2026-08-24T00:00:00.000
3,MFC000003,85,Unity MaintenanceFailureCause 3,1,1,2026-08-24T00:00:00.000
4,MFC000004,84,Keystone MaintenanceFailureCause 4,1,1,2026-08-24T00:00:00.000
5,MFC000005,116,Willow MaintenanceFailureCause 5,1,1,2026-08-24T00:00:00.000
6,MFC000006,49,Junction MaintenanceFailureCause 6,1,1,2026-08-24T00:00:00.000
7,MFC000007,157,Quartz MaintenanceFailureCause 7,1,1,2026-08-24T00:00:00.000
8,MFC000008,95,Cedar MaintenanceFailureCause 8,1,1,2026-08-24T00:00:00.000
9,MFC000009,93,Meridian MaintenanceFailureCause 9,1,1,2026-08-24T00:00:00.000
10,MFC000010,112,Delta MaintenanceFailureCause 10,1,1,2026-08-24T00:00:00.000
11,MFC000011,95,Zenith MaintenanceFailureCause 11,1,1,2026-08-24T00:00:00.000
12,MFC000012,122,Unity MaintenanceFailureCause 12,1,1,2026-08-24T00:00:00.000
13,MFC000013,133,Zenith MaintenanceFailureCause 13,1,1,2026-08-24T00:00:00.000
14,MFC000014,75,Northstar MaintenanceFailureCause 14,1,1,2026-08-24T00:00:00.000
15,MFC000015,105,Orion MaintenanceFailureCause 15,1,1,2026-08-24T00:00:00.000
16,MFC000016,19,Cedar MaintenanceFailureCause 16,1,1,2026-08-24T00:00:00.000
17,MFC000017,68,Delta MaintenanceFailureCause 17,1,1,2026-08-24T00:00:00.000
18,MFC000018,34,Atlas MaintenanceFailureCause 18,1,1,2026-08-24T00:00:00.000
19,MFC000019,54,Summit MaintenanceFailureCause 19,1,1,2026-08-24T00:00:00.000
20,MFC000020,96,Beacon MaintenanceFailureCause 20,1,1,2026-08-24T00:00:00.000
21,MFC000021,81,Orion MaintenanceFailureCause 21,1,1,2026-08-24T00:00:00.000
22,MFC000022,1,Keystone MaintenanceFailureCause 22,1,1,2026-08-24T00:00:00.000
23,MFC000023,77,Titan MaintenanceFailureCause 23,1,1,2026-08-24T00:00:00.000
24,MFC000024,4,Liberty MaintenanceFailureCause 24,1,1,2026-08-24T00:00:00.000
25,MFC000025,23,Quartz MaintenanceFailureCause 25,1,1,2026-08-24T00:00:00.000
26,MFC000026,70,Willow MaintenanceFailureCause 26,1,1,2026-08-24T00:00:00.000
27,MFC000027,151,Granite MaintenanceFailureCause 27,1,1,2026-08-24T00:00:00.000
28,MFC000028,49,Forge MaintenanceFailureCause 28,1,1,2026-08-24T00:00:00.000
29,MFC000029,79,Northstar MaintenanceFailureCause 29,1,1,2026-08-24T00:00:00.000
30,MFC000030,43,Titan MaintenanceFailureCause 30,1,1,2026-08-24T00:00:00.000
31,MFC000031,159,Ion MaintenanceFailureCause 31,1,1,2026-08-24T00:00:00.000
32,MFC000032,156,Pioneer MaintenanceFailureCause 32,1,1,2026-08-24T00:00:00.000
33,MFC000033,28,Riverton MaintenanceFailureCause 33,1,1,2026-08-24T00:00:00.000
34,MFC000034,144,Junction MaintenanceFailureCause 34,1,1,2026-08-24T00:00:00.000
