LogisticsCarrierKey,LogisticsCarrierCode,LogisticsCarrierGroupKey,LogisticsCarrierName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LC000001,14,Cedar LogisticsCarrier 1,1,1,2026-08-24T00:00:00.000
2,LC000002,3,Unity LogisticsCarrier 2,1,1,2026-08-24T00:00:00.000
3,LC000003,20,Titan LogisticsCarrier 3,1,1,2026-08-24T00:00:00.000
4,LC000004,20,Cedar LogisticsCarrier 4,1,1,2026-08-24T00:00:00.000
5,LC000005,5,Willow LogisticsCarrier 5,1,1,2026-08-24T00:00:00.000
6,LC000006,13,Delta LogisticsCarrier 6,1,1,2026-08-24T00:00:00.000
7,LC000007,17,Keystone LogisticsCarrier 7,1,1,2026-08-24T00:00:00.000
8,LC000008,11,Summit LogisticsCarrier 8,1,1,2026-08-24T00:00:00.000
9,LC000009,2,Cedar LogisticsCarrier 9,1,1,2026-08-24T00:00:00.000
10,LC000010,2,Cedar LogisticsCarrier 10,1,1,2026-08-24T00:00:00.000
11,LC000011,6,Meridian LogisticsCarrier 11,1,1,2026-08-24T00:00:00.000
12,LC000012,17,Beacon LogisticsCarrier 12,1,1,2026-08-24T00:00:00.000
13,LC000013,10,Unity LogisticsCarrier 13,1,1,2026-08-24T00:00:00.000
14,LC000014,9,Riverton LogisticsCarrier 14,1,1,2026-08-24T00:00:00.000
15,LC000015,16,Forge LogisticsCarrier 15,1,1,2026-08-24T00:00:00.000
16,LC000016,20,Meridian LogisticsCarrier 16,1,1,2026-08-24T00:00:00.000
17,LC000017,10,Orion LogisticsCarrier 17,1,1,2026-08-24T00:00:00.000
18,LC000018,2,Northstar LogisticsCarrier 18,1,1,2026-08-24T00:00:00.000
19,LC000019,17,Atlas LogisticsCarrier 19,1,1,2026-08-24T00:00:00.000
20,LC000020,18,Vertex LogisticsCarrier 20,1,1,2026-08-24T00:00:00.000
21,LC000021,7,Unity LogisticsCarrier 21,1,1,2026-08-24T00:00:00.000
22,LC000022,1,Beacon LogisticsCarrier 22,1,1,2026-08-24T00:00:00.000
23,LC000023,20,Summit LogisticsCarrier 23,1,1,2026-08-24T00:00:00.000
24,LC000024,9,Quartz LogisticsCarrier 24,1,1,2026-08-24T00:00:00.000
25,LC000025,2,Keystone LogisticsCarrier 25,1,1,2026-08-24T00:00:00.000
26,LC000026,20,Beacon LogisticsCarrier 26,1,1,2026-08-24T00:00:00.000
27,LC000027,14,Harbor LogisticsCarrier 27,1,1,2026-08-24T00:00:00.000
28,LC000028,4,Forge LogisticsCarrier 28,1,1,2026-08-24T00:00:00.000
29,LC000029,16,Orion LogisticsCarrier 29,1,1,2026-08-24T00:00:00.000
30,LC000030,14,Atlas LogisticsCarrier 30,1,1,2026-08-24T00:00:00.000
31,LC000031,3,Cedar LogisticsCarrier 31,1,1,2026-08-24T00:00:00.000
32,LC000032,16,Junction LogisticsCarrier 32,1,1,2026-08-24T00:00:00.000
33,LC000033,16,Forge LogisticsCarrier 33,1,1,2026-08-24T00:00:00.000
34,LC000034,15,Riverton LogisticsCarrier 34,1,1,2026-08-24T00:00:00.000
35,LC000035,1,Junction LogisticsCarrier 35,1,1,2026-08-24T00:00:00.000
36,LC000036,12,Cedar LogisticsCarrier 36,1,1,2026-08-24T00:00:00.000
37,LC000037,17,Delta LogisticsCarrier 37,1,1,2026-08-24T00:00:00.000
38,LC000038,6,Ion LogisticsCarrier 38,1,1,2026-08-24T00:00:00.000
39,LC000039,19,Beacon LogisticsCarrier 39,1,1,2026-08-24T00:00:00.000
40,LC000040,14,Granite LogisticsCarrier 40,1,1,2026-08-24T00:00:00.000
41,LC000041,12,Beacon LogisticsCarrier 41,1,1,2026-08-24T00:00:00.000
42,LC000042,4,Orion LogisticsCarrier 42,1,1,2026-08-24T00:00:00.000
43,LC000043,3,Vertex LogisticsCarrier 43,1,1,2026-08-24T00:00:00.000
44,LC000044,18,Cedar LogisticsCarrier 44,1,1,2026-08-24T00:00:00.000
45,LC000045,1,Orion LogisticsCarrier 45,1,1,2026-08-24T00:00:00.000
46,LC000046,19,Vertex LogisticsCarrier 46,1,1,2026-08-24T00:00:00.000
47,LC000047,13,Evergreen LogisticsCarrier 47,1,1,2026-08-24T00:00:00.000
48,LC000048,20,Willow LogisticsCarrier 48,1,1,2026-08-24T00:00:00.000
49,LC000049,17,Summit LogisticsCarrier 49,1,1,2026-08-24T00:00:00.000
50,LC000050,2,Quartz LogisticsCarrier 50,1,1,2026-08-24T00:00:00.000
51,LC000051,6,Beacon LogisticsCarrier 51,1,1,2026-08-24T00:00:00.000
52,LC000052,2,Quartz LogisticsCarrier 52,1,1,2026-08-24T00:00:00.000
53,LC000053,17,Beacon LogisticsCarrier 53,1,1,2026-08-24T00:00:00.000
54,LC000054,8,Pioneer LogisticsCarrier 54,1,1,2026-08-24T00:00:00.000
55,LC000055,9,Ion LogisticsCarrier 55,1,1,2026-08-24T00:00:00.000
56,LC000056,5,Delta LogisticsCarrier 56,1,1,2026-08-24T00:00:00.000
57,LC000057,4,Titan LogisticsCarrier 57,1,1,2026-08-24T00:00:00.000
58,LC000058,1,Willow LogisticsCarrier 58,1,1,2026-08-24T00:00:00.000
59,LC000059,15,Vertex LogisticsCarrier 59,1,1,2026-08-24T00:00:00.000
60,LC000060,13,Titan LogisticsCarrier 60,1,1,2026-08-24T00:00:00.000
61,LC000061,8,Evergreen LogisticsCarrier 61,1,1,2026-08-24T00:00:00.000
62,LC000062,16,Willow LogisticsCarrier 62,1,1,2026-08-24T00:00:00.000
63,LC000063,15,Riverton LogisticsCarrier 63,1,1,2026-08-24T00:00:00.000
64,LC000064,17,Liberty LogisticsCarrier 64,1,1,2026-08-24T00:00:00.000
65,LC000065,17,Quartz LogisticsCarrier 65,1,1,2026-08-24T00:00:00.000
66,LC000066,12,Evergreen LogisticsCarrier 66,1,1,2026-08-24T00:00:00.000
67,LC000067,15,Meridian LogisticsCarrier 67,1,1,2026-08-24T00:00:00.000
68,LC000068,11,Summit LogisticsCarrier 68,1,1,2026-08-24T00:00:00.000
69,LC000069,2,Meridian LogisticsCarrier 69,1,1,2026-08-24T00:00:00.000
70,LC000070,19,Titan LogisticsCarrier 70,1,1,2026-08-24T00:00:00.000
71,LC000071,9,Quartz LogisticsCarrier 71,1,1,2026-08-24T00:00:00.000
72,LC000072,19,Northstar LogisticsCarrier 72,1,1,2026-08-24T00:00:00.000
73,LC000073,6,Delta LogisticsCarrier 73,1,1,2026-08-24T00:00:00.000
74,LC000074,1,Quartz LogisticsCarrier 74,1,1,2026-08-24T00:00:00.000
75,LC000075,5,Meridian LogisticsCarrier 75,1,1,2026-08-24T00:00:00.000
76,LC000076,16,Zenith LogisticsCarrier 76,1,1,2026-08-24T00:00:00.000
77,LC000077,15,Keystone LogisticsCarrier 77,1,1,2026-08-24T00:00:00.000
78,LC000078,7,Delta LogisticsCarrier 78,1,1,2026-08-24T00:00:00.000
79,LC000079,6,Quartz LogisticsCarrier 79,1,1,2026-08-24T00:00:00.000
80,LC000080,13,Harbor LogisticsCarrier 80,1,1,2026-08-24T00:00:00.000
81,LC000081,18,Granite LogisticsCarrier 81,1,1,2026-08-24T00:00:00.000
82,LC000082,14,Riverton LogisticsCarrier 82,1,1,2026-08-24T00:00:00.000
83,LC000083,17,Riverton LogisticsCarrier 83,1,1,2026-08-24T00:00:00.000
84,LC000084,5,Atlas LogisticsCarrier 84,1,1,2026-08-24T00:00:00.000
85,LC000085,14,Titan LogisticsCarrier 85,1,1,2026-08-24T00:00:00.000
86,LC000086,5,Junction LogisticsCarrier 86,1,1,2026-08-24T00:00:00.000
87,LC000087,15,Titan LogisticsCarrier 87,1,1,2026-08-24T00:00:00.000
88,LC000088,8,Pioneer LogisticsCarrier 88,1,1,2026-08-24T00:00:00.000
89,LC000089,7,Liberty LogisticsCarrier 89,1,1,2026-08-24T00:00:00.000
90,LC000090,15,Atlas LogisticsCarrier 90,1,1,2026-08-24T00:00:00.000
91,LC000091,13,Granite LogisticsCarrier 91,1,1,2026-08-24T00:00:00.000
92,LC000092,8,Keystone LogisticsCarrier 92,1,1,2026-08-24T00:00:00.000
93,LC000093,19,Beacon LogisticsCarrier 93,1,1,2026-08-24T00:00:00.000
94,LC000094,1,Ion LogisticsCarrier 94,1,1,2026-08-24T00:00:00.000
95,LC000095,5,Meridian LogisticsCarrier 95,1,1,2026-08-24T00:00:00.000
