LogisticsShipmentLineKey,ShipmentLineCode,LogisticsShipmentHeaderKey,ProductKey,OriginPlantKey,LogisticsShipmentStatusKey,UnitOfMeasureKey,ShipmentLineSequenceNumber,HandlingUnitNumber,DeliveryReferenceNumber,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,0,UNKNOWN,UNKNOWN,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LSL000001,321,320,238,8,4,1,LSL000001,LSL000001,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,144b4c133a7058e383691a329fd44f77144b4c133a7058e383691a329fd44f77
2,LSL000002,312,200,192,8,6,2,LSL000002,LSL000002,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44cc51394b6854568c772b03acefe09544cc51394b6854568c772b03acefe095
3,LSL000003,458,481,211,4,4,3,LSL000003,LSL000003,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35ba833828d65ef18326f16d68cfde8035ba833828d65ef18326f16d68cfde80
4,LSL000004,324,99,148,2,3,4,LSL000004,LSL000004,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45d98a9458315b409a488f90ccbff29045d98a9458315b409a488f90ccbff290
5,LSL000005,269,309,85,6,7,5,LSL000005,LSL000005,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,625d201928f451948f75c8cc4a9764f5625d201928f451948f75c8cc4a9764f5
6,LSL000006,320,85,101,6,7,6,LSL000006,LSL000006,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,718225f95a9c5238ac94ec1880c41006718225f95a9c5238ac94ec1880c41006
7,LSL000007,449,211,160,5,5,7,LSL000007,LSL000007,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af14313e034c5efb99354672d0a3f859af14313e034c5efb99354672d0a3f859
8,LSL000008,146,168,350,1,7,8,LSL000008,LSL000008,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7a59dd578ea51d399a51ccd402cfa7bb7a59dd578ea51d399a51ccd402cfa7b
9,LSL000009,211,423,247,8,6,9,LSL000009,LSL000009,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d04e728491151e8b539c651e21e83e04d04e728491151e8b539c651e21e83e0
10,LSL000010,95,310,264,6,6,10,LSL000010,LSL000010,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28d4be98c31c53cdab9e27dc9b692d7228d4be98c31c53cdab9e27dc9b692d72
