WorkCenterKey,WorkCenterCode,SiteKey,WorkCenterTypeKey,WorkCenterCapabilityKey,UnitOfMeasureKey,RecordStatusKey,ShiftCodeKey,WorkCenterName,WorkCenterDescription,CapacityPerHourValue,CrewSizeValue,SetupTimeMinutes,QueueTimeMinutes,FiniteCapacityFlag,BottleneckFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,N/A,0.0000,0.00,0.0000,0.0000,0,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,WC000001,383,21,322,2,1,9,Northstar WorkCenter 1,WorkCenter starter record 1,11.3700,11.37,6.0000,6.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ea42a92a62f5ff08632dcd2df7bfef47ea42a92a62f5ff08632dcd2df7bfef4
2,WC000002,133,2,366,6,3,9,Zenith WorkCenter 2,WorkCenter starter record 2,12.7400,12.74,7.0000,7.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92d0d98fc70953a39bf39aba68db3a3e92d0d98fc70953a39bf39aba68db3a3e
3,WC000003,118,25,353,4,4,5,Junction WorkCenter 3,WorkCenter starter record 3,14.1100,14.11,8.0000,8.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77ab9c23ff3459659faaed3f4813d5ee77ab9c23ff3459659faaed3f4813d5ee
4,WC000004,302,2,234,6,1,6,Keystone WorkCenter 4,WorkCenter starter record 4,15.4800,15.48,9.0000,9.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96b5b206157655769b669cfc7afe8c0796b5b206157655769b669cfc7afe8c07
5,WC000005,29,5,329,5,4,6,Orion WorkCenter 5,WorkCenter starter record 5,16.8500,16.85,10.0000,10.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24fb6a8e190b5ad78ab191d1df854d2524fb6a8e190b5ad78ab191d1df854d25
6,WC000006,492,28,193,1,2,3,Delta WorkCenter 6,WorkCenter starter record 6,18.2200,18.22,11.0000,11.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88a5b73ccc1256e2befe7782dd6221b688a5b73ccc1256e2befe7782dd6221b6
7,WC000007,258,8,478,4,3,11,Orion WorkCenter 7,WorkCenter starter record 7,19.5900,19.59,12.0000,12.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed302b0430b05bcea28b187d8ef4bc8bed302b0430b05bcea28b187d8ef4bc8b
8,WC000008,377,27,359,6,2,6,Atlas WorkCenter 8,WorkCenter starter record 8,20.9600,20.96,13.0000,13.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f89b199cda8b5e738fa1efb877afaba8f89b199cda8b5e738fa1efb877afaba8
9,WC000009,455,40,51,6,3,6,Pioneer WorkCenter 9,WorkCenter starter record 9,22.3300,22.33,14.0000,14.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb6c993ea5b35aa88e36584a189aca37eb6c993ea5b35aa88e36584a189aca37
10,WC000010,225,32,500,1,2,3,Delta WorkCenter 10,WorkCenter starter record 10,23.7000,23.70,15.0000,15.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc54d775205d5c19a10823697e23c203bc54d775205d5c19a10823697e23c203
