OeeLossReasonKey,OeeLossReasonCode,OeeLossReasonGroupKey,OeeLossReasonName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,OLR000001,39,Delta OeeLossReason 1,1,1,2026-08-24T00:00:00.000
2,OLR000002,177,Riverton OeeLossReason 2,1,1,2026-08-24T00:00:00.000
3,OLR000003,121,Delta OeeLossReason 3,1,1,2026-08-24T00:00:00.000
4,OLR000004,88,Vertex OeeLossReason 4,1,1,2026-08-24T00:00:00.000
5,OLR000005,99,Summit OeeLossReason 5,1,1,2026-08-24T00:00:00.000
6,OLR000006,46,Liberty OeeLossReason 6,1,1,2026-08-24T00:00:00.000
7,OLR000007,5,Cedar OeeLossReason 7,1,1,2026-08-24T00:00:00.000
8,OLR000008,154,Delta OeeLossReason 8,1,1,2026-08-24T00:00:00.000
9,OLR000009,70,Liberty OeeLossReason 9,1,1,2026-08-24T00:00:00.000
10,OLR000010,24,Vertex OeeLossReason 10,1,1,2026-08-24T00:00:00.000
11,OLR000011,171,Willow OeeLossReason 11,1,1,2026-08-24T00:00:00.000
12,OLR000012,137,Forge OeeLossReason 12,1,1,2026-08-24T00:00:00.000
13,OLR000013,106,Quartz OeeLossReason 13,1,1,2026-08-24T00:00:00.000
14,OLR000014,98,Pioneer OeeLossReason 14,1,1,2026-08-24T00:00:00.000
15,OLR000015,25,Atlas OeeLossReason 15,1,1,2026-08-24T00:00:00.000
16,OLR000016,131,Delta OeeLossReason 16,1,1,2026-08-24T00:00:00.000
17,OLR000017,172,Beacon OeeLossReason 17,1,1,2026-08-24T00:00:00.000
18,OLR000018,95,Quartz OeeLossReason 18,1,1,2026-08-24T00:00:00.000
19,OLR000019,1,Riverton OeeLossReason 19,1,1,2026-08-24T00:00:00.000
20,OLR000020,5,Forge OeeLossReason 20,1,1,2026-08-24T00:00:00.000
21,OLR000021,56,Orion OeeLossReason 21,1,1,2026-08-24T00:00:00.000
22,OLR000022,160,Granite OeeLossReason 22,1,1,2026-08-24T00:00:00.000
23,OLR000023,48,Vertex OeeLossReason 23,1,1,2026-08-24T00:00:00.000
24,OLR000024,32,Atlas OeeLossReason 24,1,1,2026-08-24T00:00:00.000
25,OLR000025,108,Orion OeeLossReason 25,1,1,2026-08-24T00:00:00.000
26,OLR000026,148,Orion OeeLossReason 26,1,1,2026-08-24T00:00:00.000
27,OLR000027,71,Riverton OeeLossReason 27,1,1,2026-08-24T00:00:00.000
28,OLR000028,32,Cedar OeeLossReason 28,1,1,2026-08-24T00:00:00.000
29,OLR000029,129,Willow OeeLossReason 29,1,1,2026-08-24T00:00:00.000
30,OLR000030,5,Orion OeeLossReason 30,1,1,2026-08-24T00:00:00.000
31,OLR000031,80,Unity OeeLossReason 31,1,1,2026-08-24T00:00:00.000
32,OLR000032,162,Pioneer OeeLossReason 32,1,1,2026-08-24T00:00:00.000
33,OLR000033,77,Liberty OeeLossReason 33,1,1,2026-08-24T00:00:00.000
34,OLR000034,6,Evergreen OeeLossReason 34,1,1,2026-08-24T00:00:00.000
35,OLR000035,164,Evergreen OeeLossReason 35,1,1,2026-08-24T00:00:00.000
36,OLR000036,92,Junction OeeLossReason 36,1,1,2026-08-24T00:00:00.000
37,OLR000037,130,Meridian OeeLossReason 37,1,1,2026-08-24T00:00:00.000
38,OLR000038,20,Evergreen OeeLossReason 38,1,1,2026-08-24T00:00:00.000
39,OLR000039,139,Willow OeeLossReason 39,1,1,2026-08-24T00:00:00.000
40,OLR000040,5,Vertex OeeLossReason 40,1,1,2026-08-24T00:00:00.000
41,OLR000041,164,Titan OeeLossReason 41,1,1,2026-08-24T00:00:00.000
42,OLR000042,142,Forge OeeLossReason 42,1,1,2026-08-24T00:00:00.000
43,OLR000043,135,Forge OeeLossReason 43,1,1,2026-08-24T00:00:00.000
44,OLR000044,12,Titan OeeLossReason 44,1,1,2026-08-24T00:00:00.000
45,OLR000045,57,Ion OeeLossReason 45,1,1,2026-08-24T00:00:00.000
46,OLR000046,161,Delta OeeLossReason 46,1,1,2026-08-24T00:00:00.000
47,OLR000047,23,Northstar OeeLossReason 47,1,1,2026-08-24T00:00:00.000
48,OLR000048,133,Northstar OeeLossReason 48,1,1,2026-08-24T00:00:00.000
49,OLR000049,14,Pioneer OeeLossReason 49,1,1,2026-08-24T00:00:00.000
50,OLR000050,8,Atlas OeeLossReason 50,1,1,2026-08-24T00:00:00.000
51,OLR000051,93,Quartz OeeLossReason 51,1,1,2026-08-24T00:00:00.000
52,OLR000052,4,Junction OeeLossReason 52,1,1,2026-08-24T00:00:00.000
53,OLR000053,165,Northstar OeeLossReason 53,1,1,2026-08-24T00:00:00.000
54,OLR000054,80,Cedar OeeLossReason 54,1,1,2026-08-24T00:00:00.000
55,OLR000055,22,Granite OeeLossReason 55,1,1,2026-08-24T00:00:00.000
56,OLR000056,73,Riverton OeeLossReason 56,1,1,2026-08-24T00:00:00.000
57,OLR000057,78,Northstar OeeLossReason 57,1,1,2026-08-24T00:00:00.000
58,OLR000058,133,Orion OeeLossReason 58,1,1,2026-08-24T00:00:00.000
59,OLR000059,138,Keystone OeeLossReason 59,1,1,2026-08-24T00:00:00.000
60,OLR000060,134,Quartz OeeLossReason 60,1,1,2026-08-24T00:00:00.000
61,OLR000061,177,Vertex OeeLossReason 61,1,1,2026-08-24T00:00:00.000
62,OLR000062,31,Meridian OeeLossReason 62,1,1,2026-08-24T00:00:00.000
63,OLR000063,31,Summit OeeLossReason 63,1,1,2026-08-24T00:00:00.000
64,OLR000064,29,Titan OeeLossReason 64,1,1,2026-08-24T00:00:00.000
65,OLR000065,151,Zenith OeeLossReason 65,1,1,2026-08-24T00:00:00.000
66,OLR000066,172,Meridian OeeLossReason 66,1,1,2026-08-24T00:00:00.000
67,OLR000067,97,Delta OeeLossReason 67,1,1,2026-08-24T00:00:00.000
68,OLR000068,48,Forge OeeLossReason 68,1,1,2026-08-24T00:00:00.000
69,OLR000069,123,Meridian OeeLossReason 69,1,1,2026-08-24T00:00:00.000
70,OLR000070,179,Zenith OeeLossReason 70,1,1,2026-08-24T00:00:00.000
71,OLR000071,177,Delta OeeLossReason 71,1,1,2026-08-24T00:00:00.000
72,OLR000072,55,Summit OeeLossReason 72,1,1,2026-08-24T00:00:00.000
73,OLR000073,159,Harbor OeeLossReason 73,1,1,2026-08-24T00:00:00.000
74,OLR000074,55,Evergreen OeeLossReason 74,1,1,2026-08-24T00:00:00.000
75,OLR000075,72,Unity OeeLossReason 75,1,1,2026-08-24T00:00:00.000
76,OLR000076,97,Keystone OeeLossReason 76,1,1,2026-08-24T00:00:00.000
77,OLR000077,166,Atlas OeeLossReason 77,1,1,2026-08-24T00:00:00.000
78,OLR000078,124,Northstar OeeLossReason 78,1,1,2026-08-24T00:00:00.000
79,OLR000079,115,Pioneer OeeLossReason 79,1,1,2026-08-24T00:00:00.000
80,OLR000080,11,Beacon OeeLossReason 80,1,1,2026-08-24T00:00:00.000
81,OLR000081,155,Junction OeeLossReason 81,1,1,2026-08-24T00:00:00.000
82,OLR000082,83,Summit OeeLossReason 82,1,1,2026-08-24T00:00:00.000
83,OLR000083,80,Vertex OeeLossReason 83,1,1,2026-08-24T00:00:00.000
84,OLR000084,150,Orion OeeLossReason 84,1,1,2026-08-24T00:00:00.000
85,OLR000085,23,Unity OeeLossReason 85,1,1,2026-08-24T00:00:00.000
86,OLR000086,144,Granite OeeLossReason 86,1,1,2026-08-24T00:00:00.000
87,OLR000087,49,Atlas OeeLossReason 87,1,1,2026-08-24T00:00:00.000
88,OLR000088,106,Beacon OeeLossReason 88,1,1,2026-08-24T00:00:00.000
89,OLR000089,1,Junction OeeLossReason 89,1,1,2026-08-24T00:00:00.000
90,OLR000090,149,Liberty OeeLossReason 90,1,1,2026-08-24T00:00:00.000
91,OLR000091,35,Unity OeeLossReason 91,1,1,2026-08-24T00:00:00.000
92,OLR000092,161,Evergreen OeeLossReason 92,1,1,2026-08-24T00:00:00.000
93,OLR000093,137,Pioneer OeeLossReason 93,1,1,2026-08-24T00:00:00.000
94,OLR000094,115,Unity OeeLossReason 94,1,1,2026-08-24T00:00:00.000
95,OLR000095,129,Quartz OeeLossReason 95,1,1,2026-08-24T00:00:00.000
96,OLR000096,9,Summit OeeLossReason 96,1,1,2026-08-24T00:00:00.000
97,OLR000097,48,Willow OeeLossReason 97,1,1,2026-08-24T00:00:00.000
98,OLR000098,40,Beacon OeeLossReason 98,1,1,2026-08-24T00:00:00.000
99,OLR000099,145,Zenith OeeLossReason 99,1,1,2026-08-24T00:00:00.000
100,OLR000100,98,Pioneer OeeLossReason 100,1,1,2026-08-24T00:00:00.000
101,OLR000101,72,Riverton OeeLossReason 101,1,1,2026-08-24T00:00:00.000
