LogisticsTariffChapterKey,LogisticsTariffChapterCode,LogisticsTariffChapterName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,LTC000001,Delta LogisticsTariffChapter 1,1,1,2026-08-24T00:00:00.000
2,LTC000002,Pioneer LogisticsTariffChapter 2,1,1,2026-08-24T00:00:00.000
3,LTC000003,Junction LogisticsTariffChapter 3,1,1,2026-08-24T00:00:00.000
4,LTC000004,Atlas LogisticsTariffChapter 4,1,1,2026-08-24T00:00:00.000
5,LTC000005,Zenith LogisticsTariffChapter 5,1,1,2026-08-24T00:00:00.000
6,LTC000006,Atlas LogisticsTariffChapter 6,1,1,2026-08-24T00:00:00.000
7,LTC000007,Orion LogisticsTariffChapter 7,1,1,2026-08-24T00:00:00.000
8,LTC000008,Granite LogisticsTariffChapter 8,1,1,2026-08-24T00:00:00.000
9,LTC000009,Quartz LogisticsTariffChapter 9,1,1,2026-08-24T00:00:00.000
10,LTC000010,Forge LogisticsTariffChapter 10,1,1,2026-08-24T00:00:00.000
11,LTC000011,Unity LogisticsTariffChapter 11,1,1,2026-08-24T00:00:00.000
12,LTC000012,Ion LogisticsTariffChapter 12,1,1,2026-08-24T00:00:00.000
13,LTC000013,Liberty LogisticsTariffChapter 13,1,1,2026-08-24T00:00:00.000
14,LTC000014,Evergreen LogisticsTariffChapter 14,1,1,2026-08-24T00:00:00.000
15,LTC000015,Titan LogisticsTariffChapter 15,1,1,2026-08-24T00:00:00.000
16,LTC000016,Cedar LogisticsTariffChapter 16,1,1,2026-08-24T00:00:00.000
17,LTC000017,Northstar LogisticsTariffChapter 17,1,1,2026-08-24T00:00:00.000
18,LTC000018,Liberty LogisticsTariffChapter 18,1,1,2026-08-24T00:00:00.000
19,LTC000019,Keystone LogisticsTariffChapter 19,1,1,2026-08-24T00:00:00.000
20,LTC000020,Atlas LogisticsTariffChapter 20,1,1,2026-08-24T00:00:00.000
21,LTC000021,Zenith LogisticsTariffChapter 21,1,1,2026-08-24T00:00:00.000
22,LTC000022,Granite LogisticsTariffChapter 22,1,1,2026-08-24T00:00:00.000
23,LTC000023,Riverton LogisticsTariffChapter 23,1,1,2026-08-24T00:00:00.000
24,LTC000024,Pioneer LogisticsTariffChapter 24,1,1,2026-08-24T00:00:00.000
25,LTC000025,Ion LogisticsTariffChapter 25,1,1,2026-08-24T00:00:00.000
26,LTC000026,Evergreen LogisticsTariffChapter 26,1,1,2026-08-24T00:00:00.000
27,LTC000027,Zenith LogisticsTariffChapter 27,1,1,2026-08-24T00:00:00.000
28,LTC000028,Cedar LogisticsTariffChapter 28,1,1,2026-08-24T00:00:00.000
29,LTC000029,Riverton LogisticsTariffChapter 29,1,1,2026-08-24T00:00:00.000
30,LTC000030,Beacon LogisticsTariffChapter 30,1,1,2026-08-24T00:00:00.000
31,LTC000031,Forge LogisticsTariffChapter 31,1,1,2026-08-24T00:00:00.000
32,LTC000032,Atlas LogisticsTariffChapter 32,1,1,2026-08-24T00:00:00.000
33,LTC000033,Pioneer LogisticsTariffChapter 33,1,1,2026-08-24T00:00:00.000
34,LTC000034,Vertex LogisticsTariffChapter 34,1,1,2026-08-24T00:00:00.000
35,LTC000035,Junction LogisticsTariffChapter 35,1,1,2026-08-24T00:00:00.000
36,LTC000036,Titan LogisticsTariffChapter 36,1,1,2026-08-24T00:00:00.000
37,LTC000037,Willow LogisticsTariffChapter 37,1,1,2026-08-24T00:00:00.000
38,LTC000038,Titan LogisticsTariffChapter 38,1,1,2026-08-24T00:00:00.000
39,LTC000039,Cedar LogisticsTariffChapter 39,1,1,2026-08-24T00:00:00.000
40,LTC000040,Evergreen LogisticsTariffChapter 40,1,1,2026-08-24T00:00:00.000
