ProductionShiftKey,ProductionShiftCode,PlantKey,ProductionCrewTypeKey,TimeZoneKey,ProductionShiftName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000
1,PS000001,308,11,44,Evergreen ProductionShift 1,PS000001,1,11.3700,1,1,2026-08-24T00:00:00.000
2,PS000002,175,137,28,Riverton ProductionShift 2,PS000002,1,12.7400,1,1,2026-08-24T00:00:00.000
3,PS000003,79,71,49,Meridian ProductionShift 3,PS000003,1,14.1100,1,1,2026-08-24T00:00:00.000
4,PS000004,182,83,30,Evergreen ProductionShift 4,PS000004,1,15.4800,1,1,2026-08-24T00:00:00.000
5,PS000005,322,99,9,Atlas ProductionShift 5,PS000005,0,16.8500,1,1,2026-08-24T00:00:00.000
6,PS000006,267,42,10,Titan ProductionShift 6,PS000006,1,18.2200,1,1,2026-08-24T00:00:00.000
7,PS000007,146,59,23,Beacon ProductionShift 7,PS000007,1,19.5900,1,1,2026-08-24T00:00:00.000
8,PS000008,229,66,29,Titan ProductionShift 8,PS000008,1,20.9600,1,1,2026-08-24T00:00:00.000
9,PS000009,310,22,30,Zenith ProductionShift 9,PS000009,1,22.3300,1,1,2026-08-24T00:00:00.000
10,PS000010,34,22,27,Junction ProductionShift 10,PS000010,0,23.7000,1,1,2026-08-24T00:00:00.000
11,PS000011,211,113,7,Riverton ProductionShift 11,PS000011,1,25.0700,1,1,2026-08-24T00:00:00.000
12,PS000012,254,17,29,Riverton ProductionShift 12,PS000012,1,26.4400,1,1,2026-08-24T00:00:00.000
13,PS000013,14,30,47,Liberty ProductionShift 13,PS000013,1,27.8100,1,1,2026-08-24T00:00:00.000
14,PS000014,4,101,52,Riverton ProductionShift 14,PS000014,1,29.1800,1,1,2026-08-24T00:00:00.000
15,PS000015,208,87,12,Summit ProductionShift 15,PS000015,0,30.5500,1,1,2026-08-24T00:00:00.000
16,PS000016,163,18,42,Vertex ProductionShift 16,PS000016,1,31.9200,1,1,2026-08-24T00:00:00.000
17,PS000017,83,98,30,Meridian ProductionShift 17,PS000017,1,33.2900,1,1,2026-08-24T00:00:00.000
18,PS000018,145,28,16,Orion ProductionShift 18,PS000018,1,34.6600,1,1,2026-08-24T00:00:00.000
19,PS000019,324,138,57,Riverton ProductionShift 19,PS000019,1,36.0300,1,1,2026-08-24T00:00:00.000
20,PS000020,171,13,14,Riverton ProductionShift 20,PS000020,0,37.4000,1,1,2026-08-24T00:00:00.000
21,PS000021,148,139,15,Evergreen ProductionShift 21,PS000021,1,38.7700,1,1,2026-08-24T00:00:00.000
22,PS000022,142,73,9,Summit ProductionShift 22,PS000022,1,40.1400,1,1,2026-08-24T00:00:00.000
23,PS000023,69,99,44,Beacon ProductionShift 23,PS000023,1,41.5100,1,1,2026-08-24T00:00:00.000
24,PS000024,301,110,54,Evergreen ProductionShift 24,PS000024,1,42.8800,1,1,2026-08-24T00:00:00.000
25,PS000025,315,20,53,Unity ProductionShift 25,PS000025,0,44.2500,1,1,2026-08-24T00:00:00.000
26,PS000026,220,35,59,Beacon ProductionShift 26,PS000026,1,45.6200,1,1,2026-08-24T00:00:00.000
27,PS000027,276,43,39,Delta ProductionShift 27,PS000027,1,46.9900,1,1,2026-08-24T00:00:00.000
28,PS000028,309,32,12,Riverton ProductionShift 28,PS000028,1,48.3600,1,1,2026-08-24T00:00:00.000
29,PS000029,101,17,8,Pioneer ProductionShift 29,PS000029,1,49.7300,1,1,2026-08-24T00:00:00.000
30,PS000030,180,86,16,Willow ProductionShift 30,PS000030,0,51.1000,1,1,2026-08-24T00:00:00.000
31,PS000031,38,120,15,Meridian ProductionShift 31,PS000031,1,52.4700,1,1,2026-08-24T00:00:00.000
32,PS000032,61,19,2,Granite ProductionShift 32,PS000032,1,53.8400,1,1,2026-08-24T00:00:00.000
33,PS000033,286,86,58,Orion ProductionShift 33,PS000033,1,55.2100,1,1,2026-08-24T00:00:00.000
34,PS000034,73,23,7,Evergreen ProductionShift 34,PS000034,1,56.5800,1,1,2026-08-24T00:00:00.000
35,PS000035,276,69,44,Beacon ProductionShift 35,PS000035,0,57.9500,1,1,2026-08-24T00:00:00.000
36,PS000036,202,23,7,Unity ProductionShift 36,PS000036,1,59.3200,1,1,2026-08-24T00:00:00.000
37,PS000037,160,6,49,Orion ProductionShift 37,PS000037,1,60.6900,1,1,2026-08-24T00:00:00.000
38,PS000038,296,99,24,Forge ProductionShift 38,PS000038,1,62.0600,1,1,2026-08-24T00:00:00.000
39,PS000039,41,127,57,Orion ProductionShift 39,PS000039,1,63.4300,1,1,2026-08-24T00:00:00.000
40,PS000040,67,41,48,Delta ProductionShift 40,PS000040,0,64.8000,1,1,2026-08-24T00:00:00.000
41,PS000041,21,4,13,Unity ProductionShift 41,PS000041,1,66.1700,1,1,2026-08-24T00:00:00.000
42,PS000042,299,90,16,Ion ProductionShift 42,PS000042,1,67.5400,1,1,2026-08-24T00:00:00.000
43,PS000043,55,98,35,Orion ProductionShift 43,PS000043,1,68.9100,1,1,2026-08-24T00:00:00.000
44,PS000044,302,110,32,Cedar ProductionShift 44,PS000044,1,70.2800,1,1,2026-08-24T00:00:00.000
45,PS000045,190,90,6,Harbor ProductionShift 45,PS000045,0,71.6500,1,1,2026-08-24T00:00:00.000
46,PS000046,44,101,36,Liberty ProductionShift 46,PS000046,1,73.0200,1,1,2026-08-24T00:00:00.000
47,PS000047,213,31,18,Unity ProductionShift 47,PS000047,1,74.3900,1,1,2026-08-24T00:00:00.000
48,PS000048,210,131,20,Meridian ProductionShift 48,PS000048,1,75.7600,1,1,2026-08-24T00:00:00.000
49,PS000049,123,119,54,Vertex ProductionShift 49,PS000049,1,77.1300,1,1,2026-08-24T00:00:00.000
50,PS000050,165,31,56,Vertex ProductionShift 50,PS000050,0,78.5000,1,1,2026-08-24T00:00:00.000
51,PS000051,42,38,7,Meridian ProductionShift 51,PS000051,1,79.8700,1,1,2026-08-24T00:00:00.000
52,PS000052,221,59,19,Ion ProductionShift 52,PS000052,1,81.2400,1,1,2026-08-24T00:00:00.000
53,PS000053,253,69,6,Granite ProductionShift 53,PS000053,1,82.6100,1,1,2026-08-24T00:00:00.000
54,PS000054,2,24,41,Zenith ProductionShift 54,PS000054,1,83.9800,1,1,2026-08-24T00:00:00.000
55,PS000055,267,129,35,Pioneer ProductionShift 55,PS000055,0,85.3500,1,1,2026-08-24T00:00:00.000
56,PS000056,243,82,31,Ion ProductionShift 56,PS000056,1,86.7200,1,1,2026-08-24T00:00:00.000
57,PS000057,20,13,23,Granite ProductionShift 57,PS000057,1,88.0900,1,1,2026-08-24T00:00:00.000
58,PS000058,252,98,13,Forge ProductionShift 58,PS000058,1,89.4600,1,1,2026-08-24T00:00:00.000
59,PS000059,306,41,21,Forge ProductionShift 59,PS000059,1,90.8300,1,1,2026-08-24T00:00:00.000
60,PS000060,12,134,31,Atlas ProductionShift 60,PS000060,0,92.2000,1,1,2026-08-24T00:00:00.000
61,PS000061,144,7,28,Orion ProductionShift 61,PS000061,1,93.5700,1,1,2026-08-24T00:00:00.000
62,PS000062,294,3,56,Junction ProductionShift 62,PS000062,1,94.9400,1,1,2026-08-24T00:00:00.000
63,PS000063,22,114,23,Liberty ProductionShift 63,PS000063,1,96.3100,1,1,2026-08-24T00:00:00.000
64,PS000064,283,100,16,Liberty ProductionShift 64,PS000064,1,97.6800,1,1,2026-08-24T00:00:00.000
65,PS000065,146,104,16,Northstar ProductionShift 65,PS000065,0,99.0500,1,1,2026-08-24T00:00:00.000
66,PS000066,215,74,21,Keystone ProductionShift 66,PS000066,1,100.4200,1,1,2026-08-24T00:00:00.000
67,PS000067,128,89,37,Willow ProductionShift 67,PS000067,1,101.7900,1,1,2026-08-24T00:00:00.000
68,PS000068,98,29,38,Ion ProductionShift 68,PS000068,1,103.1600,1,1,2026-08-24T00:00:00.000
69,PS000069,98,73,23,Delta ProductionShift 69,PS000069,1,104.5300,1,1,2026-08-24T00:00:00.000
70,PS000070,156,42,52,Cedar ProductionShift 70,PS000070,0,105.9000,1,1,2026-08-24T00:00:00.000
71,PS000071,19,22,57,Liberty ProductionShift 71,PS000071,1,107.2700,1,1,2026-08-24T00:00:00.000
72,PS000072,97,16,52,Granite ProductionShift 72,PS000072,1,108.6400,1,1,2026-08-24T00:00:00.000
