SafetySdsDocumentKey,SafetySdsDocumentCode,SafetyChemicalSubstanceKey,SafetySdsDocumentName,SdsRevisionDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,SSD000001,176,Keystone SafetySdsDocument 1,2020-01-02,1,1,2026-08-24T00:00:00.000
2,SSD000002,84,Liberty SafetySdsDocument 2,2020-01-03,1,1,2026-08-24T00:00:00.000
3,SSD000003,4,Keystone SafetySdsDocument 3,2020-01-04,1,1,2026-08-24T00:00:00.000
4,SSD000004,463,Unity SafetySdsDocument 4,2020-01-05,1,1,2026-08-24T00:00:00.000
5,SSD000005,472,Harbor SafetySdsDocument 5,2020-01-06,1,1,2026-08-24T00:00:00.000
6,SSD000006,482,Liberty SafetySdsDocument 6,2020-01-07,1,1,2026-08-24T00:00:00.000
7,SSD000007,93,Harbor SafetySdsDocument 7,2020-01-08,1,1,2026-08-24T00:00:00.000
8,SSD000008,449,Willow SafetySdsDocument 8,2020-01-09,1,1,2026-08-24T00:00:00.000
9,SSD000009,262,Meridian SafetySdsDocument 9,2020-01-10,1,1,2026-08-24T00:00:00.000
10,SSD000010,73,Titan SafetySdsDocument 10,2020-01-11,1,1,2026-08-24T00:00:00.000
11,SSD000011,141,Junction SafetySdsDocument 11,2020-01-12,1,1,2026-08-24T00:00:00.000
12,SSD000012,429,Orion SafetySdsDocument 12,2020-01-13,1,1,2026-08-24T00:00:00.000
13,SSD000013,202,Riverton SafetySdsDocument 13,2020-01-14,1,1,2026-08-24T00:00:00.000
14,SSD000014,55,Quartz SafetySdsDocument 14,2020-01-15,1,1,2026-08-24T00:00:00.000
15,SSD000015,237,Keystone SafetySdsDocument 15,2020-01-16,1,1,2026-08-24T00:00:00.000
16,SSD000016,70,Quartz SafetySdsDocument 16,2020-01-17,1,1,2026-08-24T00:00:00.000
17,SSD000017,423,Titan SafetySdsDocument 17,2020-01-18,1,1,2026-08-24T00:00:00.000
18,SSD000018,145,Zenith SafetySdsDocument 18,2020-01-19,1,1,2026-08-24T00:00:00.000
19,SSD000019,422,Pioneer SafetySdsDocument 19,2020-01-20,1,1,2026-08-24T00:00:00.000
20,SSD000020,222,Junction SafetySdsDocument 20,2020-01-21,1,1,2026-08-24T00:00:00.000
21,SSD000021,493,Northstar SafetySdsDocument 21,2020-01-22,1,1,2026-08-24T00:00:00.000
22,SSD000022,292,Forge SafetySdsDocument 22,2020-01-23,1,1,2026-08-24T00:00:00.000
23,SSD000023,420,Beacon SafetySdsDocument 23,2020-01-24,1,1,2026-08-24T00:00:00.000
24,SSD000024,15,Harbor SafetySdsDocument 24,2020-01-25,1,1,2026-08-24T00:00:00.000
25,SSD000025,91,Quartz SafetySdsDocument 25,2020-01-26,1,1,2026-08-24T00:00:00.000
26,SSD000026,206,Keystone SafetySdsDocument 26,2020-01-27,1,1,2026-08-24T00:00:00.000
