LogisticsLaneSegmentKey,LogisticsLaneSegmentCode,LogisticsTransportLaneKey,LogisticsLaneSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LLS000001,215,Forge LogisticsLaneSegment 1,1,1,2026-08-24T00:00:00.000
2,LLS000002,53,Unity LogisticsLaneSegment 2,1,1,2026-08-24T00:00:00.000
3,LLS000003,327,Summit LogisticsLaneSegment 3,1,1,2026-08-24T00:00:00.000
4,LLS000004,144,Pioneer LogisticsLaneSegment 4,1,1,2026-08-24T00:00:00.000
5,LLS000005,464,Delta LogisticsLaneSegment 5,1,1,2026-08-24T00:00:00.000
6,LLS000006,120,Unity LogisticsLaneSegment 6,1,1,2026-08-24T00:00:00.000
7,LLS000007,373,Vertex LogisticsLaneSegment 7,1,1,2026-08-24T00:00:00.000
8,LLS000008,475,Unity LogisticsLaneSegment 8,1,1,2026-08-24T00:00:00.000
9,LLS000009,110,Ion LogisticsLaneSegment 9,1,1,2026-08-24T00:00:00.000
10,LLS000010,365,Unity LogisticsLaneSegment 10,1,1,2026-08-24T00:00:00.000
11,LLS000011,394,Willow LogisticsLaneSegment 11,1,1,2026-08-24T00:00:00.000
12,LLS000012,171,Junction LogisticsLaneSegment 12,1,1,2026-08-24T00:00:00.000
13,LLS000013,340,Beacon LogisticsLaneSegment 13,1,1,2026-08-24T00:00:00.000
14,LLS000014,358,Unity LogisticsLaneSegment 14,1,1,2026-08-24T00:00:00.000
15,LLS000015,12,Unity LogisticsLaneSegment 15,1,1,2026-08-24T00:00:00.000
16,LLS000016,193,Zenith LogisticsLaneSegment 16,1,1,2026-08-24T00:00:00.000
17,LLS000017,475,Orion LogisticsLaneSegment 17,1,1,2026-08-24T00:00:00.000
18,LLS000018,6,Forge LogisticsLaneSegment 18,1,1,2026-08-24T00:00:00.000
19,LLS000019,158,Cedar LogisticsLaneSegment 19,1,1,2026-08-24T00:00:00.000
20,LLS000020,310,Titan LogisticsLaneSegment 20,1,1,2026-08-24T00:00:00.000
21,LLS000021,442,Willow LogisticsLaneSegment 21,1,1,2026-08-24T00:00:00.000
22,LLS000022,450,Northstar LogisticsLaneSegment 22,1,1,2026-08-24T00:00:00.000
23,LLS000023,362,Evergreen LogisticsLaneSegment 23,1,1,2026-08-24T00:00:00.000
24,LLS000024,67,Zenith LogisticsLaneSegment 24,1,1,2026-08-24T00:00:00.000
25,LLS000025,110,Granite LogisticsLaneSegment 25,1,1,2026-08-24T00:00:00.000
26,LLS000026,339,Cedar LogisticsLaneSegment 26,1,1,2026-08-24T00:00:00.000
27,LLS000027,464,Meridian LogisticsLaneSegment 27,1,1,2026-08-24T00:00:00.000
28,LLS000028,387,Beacon LogisticsLaneSegment 28,1,1,2026-08-24T00:00:00.000
29,LLS000029,69,Orion LogisticsLaneSegment 29,1,1,2026-08-24T00:00:00.000
