SalesCustomerChainKey,SalesCustomerChainCode,SalesCustomerGroupKey,SalesCustomerChainName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCC000001,115,Quartz SalesCustomerChain 1,1,1,2026-08-24T00:00:00.000
2,SCC000002,50,Beacon SalesCustomerChain 2,1,1,2026-08-24T00:00:00.000
3,SCC000003,164,Quartz SalesCustomerChain 3,1,1,2026-08-24T00:00:00.000
4,SCC000004,55,Summit SalesCustomerChain 4,1,1,2026-08-24T00:00:00.000
5,SCC000005,89,Summit SalesCustomerChain 5,1,1,2026-08-24T00:00:00.000
6,SCC000006,53,Summit SalesCustomerChain 6,1,1,2026-08-24T00:00:00.000
7,SCC000007,167,Forge SalesCustomerChain 7,1,1,2026-08-24T00:00:00.000
8,SCC000008,98,Quartz SalesCustomerChain 8,1,1,2026-08-24T00:00:00.000
9,SCC000009,66,Granite SalesCustomerChain 9,1,1,2026-08-24T00:00:00.000
10,SCC000010,54,Forge SalesCustomerChain 10,1,1,2026-08-24T00:00:00.000
11,SCC000011,86,Orion SalesCustomerChain 11,1,1,2026-08-24T00:00:00.000
12,SCC000012,130,Junction SalesCustomerChain 12,1,1,2026-08-24T00:00:00.000
13,SCC000013,26,Meridian SalesCustomerChain 13,1,1,2026-08-24T00:00:00.000
14,SCC000014,168,Granite SalesCustomerChain 14,1,1,2026-08-24T00:00:00.000
15,SCC000015,150,Zenith SalesCustomerChain 15,1,1,2026-08-24T00:00:00.000
16,SCC000016,87,Evergreen SalesCustomerChain 16,1,1,2026-08-24T00:00:00.000
17,SCC000017,165,Evergreen SalesCustomerChain 17,1,1,2026-08-24T00:00:00.000
18,SCC000018,109,Riverton SalesCustomerChain 18,1,1,2026-08-24T00:00:00.000
19,SCC000019,141,Evergreen SalesCustomerChain 19,1,1,2026-08-24T00:00:00.000
20,SCC000020,135,Keystone SalesCustomerChain 20,1,1,2026-08-24T00:00:00.000
21,SCC000021,83,Cedar SalesCustomerChain 21,1,1,2026-08-24T00:00:00.000
22,SCC000022,22,Keystone SalesCustomerChain 22,1,1,2026-08-24T00:00:00.000
23,SCC000023,6,Cedar SalesCustomerChain 23,1,1,2026-08-24T00:00:00.000
