FinancePlanningVersionKey,PlanningVersionCode,BusinessUnitKey,FinanceScenarioTypeKey,CurrencyKey,PlanningVersionName,VersionStartDate,VersionEndDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,Unknown,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,FPV000001,402,3,2,Titan FinancePlanningVersion 1,2020-01-02,2021-01-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9199e904200755f48d3bd0ba8993ed149199e904200755f48d3bd0ba8993ed14
2,FPV000002,122,5,1,Zenith FinancePlanningVersion 2,2020-01-03,2021-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,769a0119d1e0508e91a922f5b3cd9973769a0119d1e0508e91a922f5b3cd9973
3,FPV000003,408,6,5,Granite FinancePlanningVersion 3,2020-01-04,2021-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f0d99bed153563ab31b529e6c1fa1634f0d99bed153563ab31b529e6c1fa163
4,FPV000004,363,4,5,Keystone FinancePlanningVersion 4,2020-01-05,2021-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f8d864c84685fc5a9adcd022d1e2ac60f8d864c84685fc5a9adcd022d1e2ac6
5,FPV000005,231,10,3,Evergreen FinancePlanningVersion 5,2020-01-06,2021-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5387ea0c1aa5000b164393ea90fc248a5387ea0c1aa5000b164393ea90fc248
6,FPV000006,159,2,5,Beacon FinancePlanningVersion 6,2020-01-07,2021-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf724eb0e7cd59968711340dbf7a3e51bf724eb0e7cd59968711340dbf7a3e51
7,FPV000007,209,4,2,Granite FinancePlanningVersion 7,2020-01-08,2021-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d667a48c23c50388fb6262ca9015f9b0d667a48c23c50388fb6262ca9015f9b
8,FPV000008,281,8,5,Ion FinancePlanningVersion 8,2020-01-09,2021-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,075b448bd6ce50b994236091fa31aab3075b448bd6ce50b994236091fa31aab3
9,FPV000009,456,10,5,Evergreen FinancePlanningVersion 9,2020-01-10,2021-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd79c30c0952543aab71e9c03d902518fd79c30c0952543aab71e9c03d902518
10,FPV000010,349,1,2,Harbor FinancePlanningVersion 10,2020-01-11,2021-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b128b33d8b150f0b5478039fa6864081b128b33d8b150f0b5478039fa686408
11,FPV000011,104,2,3,Harbor FinancePlanningVersion 11,2020-01-12,2021-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf56654cc84b5e5e8a8b1accf9831770cf56654cc84b5e5e8a8b1accf9831770
12,FPV000012,93,5,2,Orion FinancePlanningVersion 12,2020-01-13,2021-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8082d4daf99502d915f2df04d095e57b8082d4daf99502d915f2df04d095e57
13,FPV000013,253,2,5,Harbor FinancePlanningVersion 13,2020-01-14,2021-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f98597376d85acf8adee79e29650d016f98597376d85acf8adee79e29650d01
14,FPV000014,388,10,5,Ion FinancePlanningVersion 14,2020-01-15,2021-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f9544cb78115b7b9fc496980051978b8f9544cb78115b7b9fc496980051978b
15,FPV000015,152,5,5,Ion FinancePlanningVersion 15,2020-01-16,2021-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5ca5308ea885c9f905786e0964068a0e5ca5308ea885c9f905786e0964068a0
16,FPV000016,428,9,3,Unity FinancePlanningVersion 16,2020-01-17,2021-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,443dabc2ff065adfbff98abeb1494c4f443dabc2ff065adfbff98abeb1494c4f
17,FPV000017,417,1,4,Quartz FinancePlanningVersion 17,2020-01-18,2021-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fa80cfe6e665b97b1ebb6806d654aac6fa80cfe6e665b97b1ebb6806d654aac
18,FPV000018,147,2,2,Junction FinancePlanningVersion 18,2020-01-19,2021-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a78c10e1fb7452a197476a23840ae219a78c10e1fb7452a197476a23840ae219
19,FPV000019,205,9,4,Unity FinancePlanningVersion 19,2020-01-20,2021-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a52c7b3ec0de52138f685e427ff004d2a52c7b3ec0de52138f685e427ff004d2
20,FPV000020,96,9,2,Atlas FinancePlanningVersion 20,2020-01-21,2021-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,621e5816c32e5419b7c23b1a8a664849621e5816c32e5419b7c23b1a8a664849
21,FPV000021,493,3,3,Willow FinancePlanningVersion 21,2020-01-22,2021-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cdc86f137885c6ba1129b9cec38fc5b0cdc86f137885c6ba1129b9cec38fc5b
22,FPV000022,425,1,2,Harbor FinancePlanningVersion 22,2020-01-23,2021-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d226a0c656851e290d3baf6b67e67494d226a0c656851e290d3baf6b67e6749
23,FPV000023,65,4,5,Northstar FinancePlanningVersion 23,2020-01-24,2021-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f50d8e6753fa5075af13348bf5253001f50d8e6753fa5075af13348bf5253001
24,FPV000024,404,8,4,Quartz FinancePlanningVersion 24,2020-01-25,2021-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,408adb0c13fa5a1cb56f4e816cdad826408adb0c13fa5a1cb56f4e816cdad826
25,FPV000025,229,7,3,Junction FinancePlanningVersion 25,2020-01-26,2021-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf419c38a8b4596ebf8c951463025a36cf419c38a8b4596ebf8c951463025a36
26,FPV000026,146,8,4,Pioneer FinancePlanningVersion 26,2020-01-27,2021-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,100dad9bf69f51359fd4d53fff6b41e5100dad9bf69f51359fd4d53fff6b41e5
27,FPV000027,36,10,5,Willow FinancePlanningVersion 27,2020-01-28,2021-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bbd287475865077b15c39183a769ef54bbd287475865077b15c39183a769ef5
28,FPV000028,98,6,1,Titan FinancePlanningVersion 28,2020-01-29,2021-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88e83e9f790b59eab39dc74f273f795288e83e9f790b59eab39dc74f273f7952
29,FPV000029,407,5,2,Harbor FinancePlanningVersion 29,2020-01-30,2021-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9dc44daeaa3a5ec2aa0447c96c7ab7489dc44daeaa3a5ec2aa0447c96c7ab748
30,FPV000030,405,10,5,Vertex FinancePlanningVersion 30,2020-01-31,2021-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e639746b1235c9a884d03c1589726960e639746b1235c9a884d03c158972696
31,FPV000031,26,1,3,Harbor FinancePlanningVersion 31,2020-02-01,2021-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96dad85acbdc559aa8a416955dffe2c496dad85acbdc559aa8a416955dffe2c4
