MaintenanceWorkOrderKey,MaintenanceWorkOrderNumber,MaintenanceWorkRequestKey,AssetKey,CostCenterKey,MaintenanceTaskTypeKey,MaintenanceWorkTypeKey,MaintenanceOrderStatusKey,PriorityKey,MaintenanceWorkOrderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MWO000001,295,118,235,3,2,7,4,Titan MaintenanceWorkOrder 1,MWO000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0775ca43258525f8b33a82bbefda953d0775ca43258525f8b33a82bbefda953
2,MWO000002,126,397,197,182,9,10,2,Keystone MaintenanceWorkOrder 2,MWO000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ba60111efe452c390884757ce8d126d3ba60111efe452c390884757ce8d126d
3,MWO000003,245,350,29,302,4,2,1,Keystone MaintenanceWorkOrder 3,MWO000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49fb08814588588e94436c106504526349fb08814588588e94436c1065045263
4,MWO000004,74,403,124,233,7,10,3,Forge MaintenanceWorkOrder 4,MWO000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5378db2706485bc09d719d2d05dd4f945378db2706485bc09d719d2d05dd4f94
5,MWO000005,440,256,467,439,6,9,1,Quartz MaintenanceWorkOrder 5,MWO000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e45bf4f90efa5dd2b3fcbedfa74d3385e45bf4f90efa5dd2b3fcbedfa74d3385
6,MWO000006,479,356,383,137,1,10,3,Atlas MaintenanceWorkOrder 6,MWO000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edc5a7be33125882ab8b0367dc017670edc5a7be33125882ab8b0367dc017670
7,MWO000007,444,302,81,305,7,12,3,Ion MaintenanceWorkOrder 7,MWO000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,286def0940b55990bd6b8014e47f1c7e286def0940b55990bd6b8014e47f1c7e
8,MWO000008,36,326,115,271,7,9,2,Keystone MaintenanceWorkOrder 8,MWO000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e791860201f528a8c8306341d1b2ed61e791860201f528a8c8306341d1b2ed6
9,MWO000009,487,341,270,271,8,5,4,Harbor MaintenanceWorkOrder 9,MWO000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f84c39fdd595eb7ade61c3d632d756f1f84c39fdd595eb7ade61c3d632d756f
10,MWO000010,483,56,110,196,12,5,3,Forge MaintenanceWorkOrder 10,MWO000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a62a27a3da45562bb81ead577a659310a62a27a3da45562bb81ead577a65931
11,MWO000011,101,172,43,24,3,3,2,Keystone MaintenanceWorkOrder 11,MWO000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ff46da5952651b9a9fd8d74de905c0e1ff46da5952651b9a9fd8d74de905c0e
12,MWO000012,163,58,29,325,11,6,2,Riverton MaintenanceWorkOrder 12,MWO000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eda97c5d9f9f5662b06013246d2c83c7eda97c5d9f9f5662b06013246d2c83c7
13,MWO000013,89,359,370,20,3,12,2,Harbor MaintenanceWorkOrder 13,MWO000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,722ff9b12cd05643a9f4e95abfc35131722ff9b12cd05643a9f4e95abfc35131
14,MWO000014,229,67,257,46,11,1,4,Orion MaintenanceWorkOrder 14,MWO000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,722e726c14fb59cf9de511444db204d5722e726c14fb59cf9de511444db204d5
15,MWO000015,116,215,398,339,5,7,1,Junction MaintenanceWorkOrder 15,MWO000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86f1d29346095f40a02fec3621d3060486f1d29346095f40a02fec3621d30604
16,MWO000016,432,211,50,95,2,9,5,Orion MaintenanceWorkOrder 16,MWO000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1655f9555ef65ce4a3810db5599cdc5f1655f9555ef65ce4a3810db5599cdc5f
17,MWO000017,-1,210,66,2,5,5,3,Delta MaintenanceWorkOrder 17,MWO000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5c4f757560155f68a3964ea2fae8db5a5c4f757560155f68a3964ea2fae8db5
18,MWO000018,185,94,102,98,2,10,4,Evergreen MaintenanceWorkOrder 18,MWO000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c1d5c949a4651b39a7e4556e3e206e03c1d5c949a4651b39a7e4556e3e206e0
19,MWO000019,100,447,136,321,11,1,3,Unity MaintenanceWorkOrder 19,MWO000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c356f63363035a149c8c9a9f3fc53eecc356f63363035a149c8c9a9f3fc53eec
20,MWO000020,344,497,233,66,12,12,5,Liberty MaintenanceWorkOrder 20,MWO000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f05ea59e18f5228b9b81f300b4e6e0b9f05ea59e18f5228b9b81f300b4e6e0b
21,MWO000021,354,322,135,310,1,8,2,Keystone MaintenanceWorkOrder 21,MWO000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47603bfbfbce5e07a3aae0b29fea9a6747603bfbfbce5e07a3aae0b29fea9a67
22,MWO000022,81,467,335,335,5,7,3,Evergreen MaintenanceWorkOrder 22,MWO000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5074cb755806544c8861b5a7fcdefa985074cb755806544c8861b5a7fcdefa98
