FinanceCostComponentDetailKey,FinanceCostComponentDetailCode,FinanceCostComponentKey,FinanceCostComponentDetailName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FCCD000001,78,Orion FinanceCostComponentDetail 1,1,1,2026-08-24T00:00:00.000
2,FCCD000002,76,Zenith FinanceCostComponentDetail 2,1,1,2026-08-24T00:00:00.000
3,FCCD000003,91,Zenith FinanceCostComponentDetail 3,1,1,2026-08-24T00:00:00.000
4,FCCD000004,109,Keystone FinanceCostComponentDetail 4,1,1,2026-08-24T00:00:00.000
5,FCCD000005,93,Atlas FinanceCostComponentDetail 5,1,1,2026-08-24T00:00:00.000
6,FCCD000006,138,Northstar FinanceCostComponentDetail 6,1,1,2026-08-24T00:00:00.000
7,FCCD000007,237,Meridian FinanceCostComponentDetail 7,1,1,2026-08-24T00:00:00.000
8,FCCD000008,405,Forge FinanceCostComponentDetail 8,1,1,2026-08-24T00:00:00.000
9,FCCD000009,84,Quartz FinanceCostComponentDetail 9,1,1,2026-08-24T00:00:00.000
10,FCCD000010,357,Northstar FinanceCostComponentDetail 10,1,1,2026-08-24T00:00:00.000
11,FCCD000011,199,Pioneer FinanceCostComponentDetail 11,1,1,2026-08-24T00:00:00.000
12,FCCD000012,72,Cedar FinanceCostComponentDetail 12,1,1,2026-08-24T00:00:00.000
13,FCCD000013,463,Unity FinanceCostComponentDetail 13,1,1,2026-08-24T00:00:00.000
14,FCCD000014,356,Forge FinanceCostComponentDetail 14,1,1,2026-08-24T00:00:00.000
15,FCCD000015,74,Meridian FinanceCostComponentDetail 15,1,1,2026-08-24T00:00:00.000
16,FCCD000016,51,Cedar FinanceCostComponentDetail 16,1,1,2026-08-24T00:00:00.000
17,FCCD000017,118,Evergreen FinanceCostComponentDetail 17,1,1,2026-08-24T00:00:00.000
18,FCCD000018,369,Unity FinanceCostComponentDetail 18,1,1,2026-08-24T00:00:00.000
19,FCCD000019,423,Granite FinanceCostComponentDetail 19,1,1,2026-08-24T00:00:00.000
20,FCCD000020,224,Unity FinanceCostComponentDetail 20,1,1,2026-08-24T00:00:00.000
21,FCCD000021,106,Zenith FinanceCostComponentDetail 21,1,1,2026-08-24T00:00:00.000
22,FCCD000022,65,Pioneer FinanceCostComponentDetail 22,1,1,2026-08-24T00:00:00.000
23,FCCD000023,321,Junction FinanceCostComponentDetail 23,1,1,2026-08-24T00:00:00.000
24,FCCD000024,216,Zenith FinanceCostComponentDetail 24,1,1,2026-08-24T00:00:00.000
25,FCCD000025,496,Harbor FinanceCostComponentDetail 25,1,1,2026-08-24T00:00:00.000
26,FCCD000026,214,Forge FinanceCostComponentDetail 26,1,1,2026-08-24T00:00:00.000
27,FCCD000027,449,Liberty FinanceCostComponentDetail 27,1,1,2026-08-24T00:00:00.000
28,FCCD000028,204,Keystone FinanceCostComponentDetail 28,1,1,2026-08-24T00:00:00.000
29,FCCD000029,235,Meridian FinanceCostComponentDetail 29,1,1,2026-08-24T00:00:00.000
30,FCCD000030,33,Quartz FinanceCostComponentDetail 30,1,1,2026-08-24T00:00:00.000
31,FCCD000031,253,Northstar FinanceCostComponentDetail 31,1,1,2026-08-24T00:00:00.000
32,FCCD000032,395,Northstar FinanceCostComponentDetail 32,1,1,2026-08-24T00:00:00.000
33,FCCD000033,376,Quartz FinanceCostComponentDetail 33,1,1,2026-08-24T00:00:00.000
34,FCCD000034,74,Summit FinanceCostComponentDetail 34,1,1,2026-08-24T00:00:00.000
35,FCCD000035,396,Unity FinanceCostComponentDetail 35,1,1,2026-08-24T00:00:00.000
36,FCCD000036,46,Granite FinanceCostComponentDetail 36,1,1,2026-08-24T00:00:00.000
37,FCCD000037,87,Granite FinanceCostComponentDetail 37,1,1,2026-08-24T00:00:00.000
38,FCCD000038,291,Ion FinanceCostComponentDetail 38,1,1,2026-08-24T00:00:00.000
39,FCCD000039,178,Pioneer FinanceCostComponentDetail 39,1,1,2026-08-24T00:00:00.000
40,FCCD000040,418,Vertex FinanceCostComponentDetail 40,1,1,2026-08-24T00:00:00.000
41,FCCD000041,295,Riverton FinanceCostComponentDetail 41,1,1,2026-08-24T00:00:00.000
42,FCCD000042,182,Titan FinanceCostComponentDetail 42,1,1,2026-08-24T00:00:00.000
43,FCCD000043,385,Summit FinanceCostComponentDetail 43,1,1,2026-08-24T00:00:00.000
44,FCCD000044,289,Northstar FinanceCostComponentDetail 44,1,1,2026-08-24T00:00:00.000
45,FCCD000045,293,Vertex FinanceCostComponentDetail 45,1,1,2026-08-24T00:00:00.000
46,FCCD000046,327,Willow FinanceCostComponentDetail 46,1,1,2026-08-24T00:00:00.000
47,FCCD000047,257,Ion FinanceCostComponentDetail 47,1,1,2026-08-24T00:00:00.000
48,FCCD000048,104,Pioneer FinanceCostComponentDetail 48,1,1,2026-08-24T00:00:00.000
49,FCCD000049,395,Keystone FinanceCostComponentDetail 49,1,1,2026-08-24T00:00:00.000
50,FCCD000050,153,Cedar FinanceCostComponentDetail 50,1,1,2026-08-24T00:00:00.000
51,FCCD000051,320,Atlas FinanceCostComponentDetail 51,1,1,2026-08-24T00:00:00.000
52,FCCD000052,361,Northstar FinanceCostComponentDetail 52,1,1,2026-08-24T00:00:00.000
53,FCCD000053,142,Atlas FinanceCostComponentDetail 53,1,1,2026-08-24T00:00:00.000
54,FCCD000054,398,Ion FinanceCostComponentDetail 54,1,1,2026-08-24T00:00:00.000
55,FCCD000055,408,Atlas FinanceCostComponentDetail 55,1,1,2026-08-24T00:00:00.000
56,FCCD000056,35,Vertex FinanceCostComponentDetail 56,1,1,2026-08-24T00:00:00.000
57,FCCD000057,131,Orion FinanceCostComponentDetail 57,1,1,2026-08-24T00:00:00.000
58,FCCD000058,387,Willow FinanceCostComponentDetail 58,1,1,2026-08-24T00:00:00.000
59,FCCD000059,85,Liberty FinanceCostComponentDetail 59,1,1,2026-08-24T00:00:00.000
60,FCCD000060,244,Keystone FinanceCostComponentDetail 60,1,1,2026-08-24T00:00:00.000
61,FCCD000061,290,Forge FinanceCostComponentDetail 61,1,1,2026-08-24T00:00:00.000
62,FCCD000062,277,Riverton FinanceCostComponentDetail 62,1,1,2026-08-24T00:00:00.000
63,FCCD000063,410,Ion FinanceCostComponentDetail 63,1,1,2026-08-24T00:00:00.000
64,FCCD000064,342,Unity FinanceCostComponentDetail 64,1,1,2026-08-24T00:00:00.000
65,FCCD000065,451,Beacon FinanceCostComponentDetail 65,1,1,2026-08-24T00:00:00.000
66,FCCD000066,364,Junction FinanceCostComponentDetail 66,1,1,2026-08-24T00:00:00.000
67,FCCD000067,426,Ion FinanceCostComponentDetail 67,1,1,2026-08-24T00:00:00.000
68,FCCD000068,455,Harbor FinanceCostComponentDetail 68,1,1,2026-08-24T00:00:00.000
69,FCCD000069,315,Evergreen FinanceCostComponentDetail 69,1,1,2026-08-24T00:00:00.000
70,FCCD000070,46,Orion FinanceCostComponentDetail 70,1,1,2026-08-24T00:00:00.000
71,FCCD000071,190,Harbor FinanceCostComponentDetail 71,1,1,2026-08-24T00:00:00.000
72,FCCD000072,209,Liberty FinanceCostComponentDetail 72,1,1,2026-08-24T00:00:00.000
73,FCCD000073,310,Harbor FinanceCostComponentDetail 73,1,1,2026-08-24T00:00:00.000
74,FCCD000074,171,Delta FinanceCostComponentDetail 74,1,1,2026-08-24T00:00:00.000
