FinanceCostElementKey,FinanceCostElementCode,FinanceCostElementGroupKey,FinanceCostElementName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FCE000001,65,Pioneer FinanceCostElement 1,1,1,2026-08-24T00:00:00.000
2,FCE000002,2,Evergreen FinanceCostElement 2,1,1,2026-08-24T00:00:00.000
3,FCE000003,69,Evergreen FinanceCostElement 3,1,1,2026-08-24T00:00:00.000
4,FCE000004,12,Vertex FinanceCostElement 4,1,1,2026-08-24T00:00:00.000
5,FCE000005,56,Unity FinanceCostElement 5,1,1,2026-08-24T00:00:00.000
6,FCE000006,59,Liberty FinanceCostElement 6,1,1,2026-08-24T00:00:00.000
7,FCE000007,38,Northstar FinanceCostElement 7,1,1,2026-08-24T00:00:00.000
8,FCE000008,14,Granite FinanceCostElement 8,1,1,2026-08-24T00:00:00.000
9,FCE000009,9,Atlas FinanceCostElement 9,1,1,2026-08-24T00:00:00.000
10,FCE000010,58,Ion FinanceCostElement 10,1,1,2026-08-24T00:00:00.000
11,FCE000011,24,Titan FinanceCostElement 11,1,1,2026-08-24T00:00:00.000
12,FCE000012,2,Cedar FinanceCostElement 12,1,1,2026-08-24T00:00:00.000
13,FCE000013,67,Pioneer FinanceCostElement 13,1,1,2026-08-24T00:00:00.000
14,FCE000014,68,Junction FinanceCostElement 14,1,1,2026-08-24T00:00:00.000
15,FCE000015,31,Junction FinanceCostElement 15,1,1,2026-08-24T00:00:00.000
16,FCE000016,74,Titan FinanceCostElement 16,1,1,2026-08-24T00:00:00.000
17,FCE000017,90,Summit FinanceCostElement 17,1,1,2026-08-24T00:00:00.000
18,FCE000018,70,Orion FinanceCostElement 18,1,1,2026-08-24T00:00:00.000
19,FCE000019,47,Zenith FinanceCostElement 19,1,1,2026-08-24T00:00:00.000
20,FCE000020,88,Riverton FinanceCostElement 20,1,1,2026-08-24T00:00:00.000
21,FCE000021,3,Liberty FinanceCostElement 21,1,1,2026-08-24T00:00:00.000
