LaborJobRoleKey,LaborJobRoleCode,LaborJobFunctionKey,LaborJobRoleName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LJR000001,26,Vertex LaborJobRole 1,1,1,2026-08-24T00:00:00.000
2,LJR000002,24,Junction LaborJobRole 2,1,1,2026-08-24T00:00:00.000
3,LJR000003,31,Harbor LaborJobRole 3,1,1,2026-08-24T00:00:00.000
4,LJR000004,41,Zenith LaborJobRole 4,1,1,2026-08-24T00:00:00.000
5,LJR000005,28,Keystone LaborJobRole 5,1,1,2026-08-24T00:00:00.000
6,LJR000006,29,Meridian LaborJobRole 6,1,1,2026-08-24T00:00:00.000
7,LJR000007,13,Orion LaborJobRole 7,1,1,2026-08-24T00:00:00.000
8,LJR000008,44,Keystone LaborJobRole 8,1,1,2026-08-24T00:00:00.000
9,LJR000009,38,Cedar LaborJobRole 9,1,1,2026-08-24T00:00:00.000
10,LJR000010,39,Atlas LaborJobRole 10,1,1,2026-08-24T00:00:00.000
11,LJR000011,36,Vertex LaborJobRole 11,1,1,2026-08-24T00:00:00.000
12,LJR000012,10,Willow LaborJobRole 12,1,1,2026-08-24T00:00:00.000
13,LJR000013,13,Northstar LaborJobRole 13,1,1,2026-08-24T00:00:00.000
14,LJR000014,41,Northstar LaborJobRole 14,1,1,2026-08-24T00:00:00.000
15,LJR000015,11,Evergreen LaborJobRole 15,1,1,2026-08-24T00:00:00.000
16,LJR000016,37,Willow LaborJobRole 16,1,1,2026-08-24T00:00:00.000
17,LJR000017,35,Northstar LaborJobRole 17,1,1,2026-08-24T00:00:00.000
18,LJR000018,17,Titan LaborJobRole 18,1,1,2026-08-24T00:00:00.000
19,LJR000019,5,Pioneer LaborJobRole 19,1,1,2026-08-24T00:00:00.000
20,LJR000020,2,Ion LaborJobRole 20,1,1,2026-08-24T00:00:00.000
21,LJR000021,24,Beacon LaborJobRole 21,1,1,2026-08-24T00:00:00.000
22,LJR000022,6,Evergreen LaborJobRole 22,1,1,2026-08-24T00:00:00.000
23,LJR000023,25,Ion LaborJobRole 23,1,1,2026-08-24T00:00:00.000
24,LJR000024,47,Ion LaborJobRole 24,1,1,2026-08-24T00:00:00.000
25,LJR000025,48,Beacon LaborJobRole 25,1,1,2026-08-24T00:00:00.000
26,LJR000026,14,Summit LaborJobRole 26,1,1,2026-08-24T00:00:00.000
27,LJR000027,47,Atlas LaborJobRole 27,1,1,2026-08-24T00:00:00.000
28,LJR000028,27,Forge LaborJobRole 28,1,1,2026-08-24T00:00:00.000
29,LJR000029,38,Granite LaborJobRole 29,1,1,2026-08-24T00:00:00.000
30,LJR000030,43,Meridian LaborJobRole 30,1,1,2026-08-24T00:00:00.000
31,LJR000031,25,Quartz LaborJobRole 31,1,1,2026-08-24T00:00:00.000
32,LJR000032,14,Delta LaborJobRole 32,1,1,2026-08-24T00:00:00.000
33,LJR000033,40,Pioneer LaborJobRole 33,1,1,2026-08-24T00:00:00.000
34,LJR000034,47,Meridian LaborJobRole 34,1,1,2026-08-24T00:00:00.000
35,LJR000035,47,Northstar LaborJobRole 35,1,1,2026-08-24T00:00:00.000
36,LJR000036,18,Summit LaborJobRole 36,1,1,2026-08-24T00:00:00.000
37,LJR000037,24,Zenith LaborJobRole 37,1,1,2026-08-24T00:00:00.000
38,LJR000038,30,Harbor LaborJobRole 38,1,1,2026-08-24T00:00:00.000
39,LJR000039,10,Orion LaborJobRole 39,1,1,2026-08-24T00:00:00.000
40,LJR000040,15,Granite LaborJobRole 40,1,1,2026-08-24T00:00:00.000
41,LJR000041,38,Beacon LaborJobRole 41,1,1,2026-08-24T00:00:00.000
42,LJR000042,42,Liberty LaborJobRole 42,1,1,2026-08-24T00:00:00.000
43,LJR000043,1,Forge LaborJobRole 43,1,1,2026-08-24T00:00:00.000
44,LJR000044,22,Evergreen LaborJobRole 44,1,1,2026-08-24T00:00:00.000
45,LJR000045,46,Northstar LaborJobRole 45,1,1,2026-08-24T00:00:00.000
46,LJR000046,44,Liberty LaborJobRole 46,1,1,2026-08-24T00:00:00.000
47,LJR000047,47,Titan LaborJobRole 47,1,1,2026-08-24T00:00:00.000
48,LJR000048,48,Atlas LaborJobRole 48,1,1,2026-08-24T00:00:00.000
49,LJR000049,46,Willow LaborJobRole 49,1,1,2026-08-24T00:00:00.000
50,LJR000050,22,Orion LaborJobRole 50,1,1,2026-08-24T00:00:00.000
51,LJR000051,7,Forge LaborJobRole 51,1,1,2026-08-24T00:00:00.000
52,LJR000052,1,Atlas LaborJobRole 52,1,1,2026-08-24T00:00:00.000
53,LJR000053,13,Pioneer LaborJobRole 53,1,1,2026-08-24T00:00:00.000
54,LJR000054,38,Summit LaborJobRole 54,1,1,2026-08-24T00:00:00.000
55,LJR000055,36,Evergreen LaborJobRole 55,1,1,2026-08-24T00:00:00.000
56,LJR000056,37,Summit LaborJobRole 56,1,1,2026-08-24T00:00:00.000
57,LJR000057,48,Meridian LaborJobRole 57,1,1,2026-08-24T00:00:00.000
58,LJR000058,11,Junction LaborJobRole 58,1,1,2026-08-24T00:00:00.000
59,LJR000059,48,Forge LaborJobRole 59,1,1,2026-08-24T00:00:00.000
60,LJR000060,20,Vertex LaborJobRole 60,1,1,2026-08-24T00:00:00.000
61,LJR000061,29,Pioneer LaborJobRole 61,1,1,2026-08-24T00:00:00.000
62,LJR000062,12,Keystone LaborJobRole 62,1,1,2026-08-24T00:00:00.000
63,LJR000063,12,Zenith LaborJobRole 63,1,1,2026-08-24T00:00:00.000
64,LJR000064,48,Orion LaborJobRole 64,1,1,2026-08-24T00:00:00.000
65,LJR000065,16,Northstar LaborJobRole 65,1,1,2026-08-24T00:00:00.000
66,LJR000066,6,Forge LaborJobRole 66,1,1,2026-08-24T00:00:00.000
67,LJR000067,9,Northstar LaborJobRole 67,1,1,2026-08-24T00:00:00.000
68,LJR000068,26,Liberty LaborJobRole 68,1,1,2026-08-24T00:00:00.000
69,LJR000069,20,Titan LaborJobRole 69,1,1,2026-08-24T00:00:00.000
70,LJR000070,34,Riverton LaborJobRole 70,1,1,2026-08-24T00:00:00.000
71,LJR000071,42,Orion LaborJobRole 71,1,1,2026-08-24T00:00:00.000
72,LJR000072,36,Pioneer LaborJobRole 72,1,1,2026-08-24T00:00:00.000
73,LJR000073,5,Unity LaborJobRole 73,1,1,2026-08-24T00:00:00.000
74,LJR000074,19,Cedar LaborJobRole 74,1,1,2026-08-24T00:00:00.000
75,LJR000075,30,Ion LaborJobRole 75,1,1,2026-08-24T00:00:00.000
76,LJR000076,1,Harbor LaborJobRole 76,1,1,2026-08-24T00:00:00.000
77,LJR000077,44,Atlas LaborJobRole 77,1,1,2026-08-24T00:00:00.000
78,LJR000078,7,Riverton LaborJobRole 78,1,1,2026-08-24T00:00:00.000
79,LJR000079,45,Pioneer LaborJobRole 79,1,1,2026-08-24T00:00:00.000
80,LJR000080,41,Granite LaborJobRole 80,1,1,2026-08-24T00:00:00.000
81,LJR000081,47,Beacon LaborJobRole 81,1,1,2026-08-24T00:00:00.000
82,LJR000082,16,Riverton LaborJobRole 82,1,1,2026-08-24T00:00:00.000
83,LJR000083,47,Granite LaborJobRole 83,1,1,2026-08-24T00:00:00.000
84,LJR000084,15,Keystone LaborJobRole 84,1,1,2026-08-24T00:00:00.000
85,LJR000085,30,Vertex LaborJobRole 85,1,1,2026-08-24T00:00:00.000
86,LJR000086,19,Meridian LaborJobRole 86,1,1,2026-08-24T00:00:00.000
87,LJR000087,4,Orion LaborJobRole 87,1,1,2026-08-24T00:00:00.000
