QualityDefectSubCategoryKey,QualityDefectSubCategoryCode,QualityDefectCategoryKey,QualityDefectSubCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QDSC000001,5,Titan QualityDefectSubCategory 1,1,1,2026-08-24T00:00:00.000
2,QDSC000002,35,Vertex QualityDefectSubCategory 2,1,1,2026-08-24T00:00:00.000
3,QDSC000003,34,Ion QualityDefectSubCategory 3,1,1,2026-08-24T00:00:00.000
4,QDSC000004,62,Ion QualityDefectSubCategory 4,1,1,2026-08-24T00:00:00.000
5,QDSC000005,34,Harbor QualityDefectSubCategory 5,1,1,2026-08-24T00:00:00.000
6,QDSC000006,21,Summit QualityDefectSubCategory 6,1,1,2026-08-24T00:00:00.000
7,QDSC000007,21,Unity QualityDefectSubCategory 7,1,1,2026-08-24T00:00:00.000
8,QDSC000008,52,Orion QualityDefectSubCategory 8,1,1,2026-08-24T00:00:00.000
9,QDSC000009,71,Zenith QualityDefectSubCategory 9,1,1,2026-08-24T00:00:00.000
10,QDSC000010,21,Harbor QualityDefectSubCategory 10,1,1,2026-08-24T00:00:00.000
11,QDSC000011,12,Cedar QualityDefectSubCategory 11,1,1,2026-08-24T00:00:00.000
12,QDSC000012,16,Granite QualityDefectSubCategory 12,1,1,2026-08-24T00:00:00.000
13,QDSC000013,20,Riverton QualityDefectSubCategory 13,1,1,2026-08-24T00:00:00.000
14,QDSC000014,35,Harbor QualityDefectSubCategory 14,1,1,2026-08-24T00:00:00.000
15,QDSC000015,3,Riverton QualityDefectSubCategory 15,1,1,2026-08-24T00:00:00.000
16,QDSC000016,26,Titan QualityDefectSubCategory 16,1,1,2026-08-24T00:00:00.000
17,QDSC000017,40,Beacon QualityDefectSubCategory 17,1,1,2026-08-24T00:00:00.000
18,QDSC000018,38,Zenith QualityDefectSubCategory 18,1,1,2026-08-24T00:00:00.000
19,QDSC000019,53,Junction QualityDefectSubCategory 19,1,1,2026-08-24T00:00:00.000
20,QDSC000020,40,Forge QualityDefectSubCategory 20,1,1,2026-08-24T00:00:00.000
21,QDSC000021,30,Keystone QualityDefectSubCategory 21,1,1,2026-08-24T00:00:00.000
22,QDSC000022,8,Summit QualityDefectSubCategory 22,1,1,2026-08-24T00:00:00.000
23,QDSC000023,29,Orion QualityDefectSubCategory 23,1,1,2026-08-24T00:00:00.000
24,QDSC000024,23,Harbor QualityDefectSubCategory 24,1,1,2026-08-24T00:00:00.000
25,QDSC000025,5,Atlas QualityDefectSubCategory 25,1,1,2026-08-24T00:00:00.000
26,QDSC000026,6,Ion QualityDefectSubCategory 26,1,1,2026-08-24T00:00:00.000
27,QDSC000027,58,Vertex QualityDefectSubCategory 27,1,1,2026-08-24T00:00:00.000
28,QDSC000028,72,Beacon QualityDefectSubCategory 28,1,1,2026-08-24T00:00:00.000
29,QDSC000029,42,Harbor QualityDefectSubCategory 29,1,1,2026-08-24T00:00:00.000
30,QDSC000030,49,Harbor QualityDefectSubCategory 30,1,1,2026-08-24T00:00:00.000
31,QDSC000031,49,Keystone QualityDefectSubCategory 31,1,1,2026-08-24T00:00:00.000
32,QDSC000032,47,Pioneer QualityDefectSubCategory 32,1,1,2026-08-24T00:00:00.000
33,QDSC000033,26,Summit QualityDefectSubCategory 33,1,1,2026-08-24T00:00:00.000
34,QDSC000034,68,Beacon QualityDefectSubCategory 34,1,1,2026-08-24T00:00:00.000
35,QDSC000035,45,Orion QualityDefectSubCategory 35,1,1,2026-08-24T00:00:00.000
36,QDSC000036,68,Vertex QualityDefectSubCategory 36,1,1,2026-08-24T00:00:00.000
37,QDSC000037,12,Vertex QualityDefectSubCategory 37,1,1,2026-08-24T00:00:00.000
38,QDSC000038,65,Zenith QualityDefectSubCategory 38,1,1,2026-08-24T00:00:00.000
39,QDSC000039,65,Orion QualityDefectSubCategory 39,1,1,2026-08-24T00:00:00.000
40,QDSC000040,79,Quartz QualityDefectSubCategory 40,1,1,2026-08-24T00:00:00.000
41,QDSC000041,49,Titan QualityDefectSubCategory 41,1,1,2026-08-24T00:00:00.000
42,QDSC000042,26,Junction QualityDefectSubCategory 42,1,1,2026-08-24T00:00:00.000
43,QDSC000043,23,Quartz QualityDefectSubCategory 43,1,1,2026-08-24T00:00:00.000
44,QDSC000044,58,Granite QualityDefectSubCategory 44,1,1,2026-08-24T00:00:00.000
45,QDSC000045,37,Orion QualityDefectSubCategory 45,1,1,2026-08-24T00:00:00.000
46,QDSC000046,39,Meridian QualityDefectSubCategory 46,1,1,2026-08-24T00:00:00.000
47,QDSC000047,60,Beacon QualityDefectSubCategory 47,1,1,2026-08-24T00:00:00.000
48,QDSC000048,2,Liberty QualityDefectSubCategory 48,1,1,2026-08-24T00:00:00.000
49,QDSC000049,61,Meridian QualityDefectSubCategory 49,1,1,2026-08-24T00:00:00.000
50,QDSC000050,47,Beacon QualityDefectSubCategory 50,1,1,2026-08-24T00:00:00.000
51,QDSC000051,24,Pioneer QualityDefectSubCategory 51,1,1,2026-08-24T00:00:00.000
52,QDSC000052,22,Cedar QualityDefectSubCategory 52,1,1,2026-08-24T00:00:00.000
53,QDSC000053,3,Titan QualityDefectSubCategory 53,1,1,2026-08-24T00:00:00.000
54,QDSC000054,46,Summit QualityDefectSubCategory 54,1,1,2026-08-24T00:00:00.000
55,QDSC000055,8,Summit QualityDefectSubCategory 55,1,1,2026-08-24T00:00:00.000
56,QDSC000056,60,Harbor QualityDefectSubCategory 56,1,1,2026-08-24T00:00:00.000
57,QDSC000057,69,Granite QualityDefectSubCategory 57,1,1,2026-08-24T00:00:00.000
58,QDSC000058,1,Junction QualityDefectSubCategory 58,1,1,2026-08-24T00:00:00.000
59,QDSC000059,73,Granite QualityDefectSubCategory 59,1,1,2026-08-24T00:00:00.000
60,QDSC000060,53,Beacon QualityDefectSubCategory 60,1,1,2026-08-24T00:00:00.000
61,QDSC000061,28,Zenith QualityDefectSubCategory 61,1,1,2026-08-24T00:00:00.000
62,QDSC000062,79,Liberty QualityDefectSubCategory 62,1,1,2026-08-24T00:00:00.000
63,QDSC000063,5,Forge QualityDefectSubCategory 63,1,1,2026-08-24T00:00:00.000
64,QDSC000064,38,Beacon QualityDefectSubCategory 64,1,1,2026-08-24T00:00:00.000
65,QDSC000065,74,Riverton QualityDefectSubCategory 65,1,1,2026-08-24T00:00:00.000
66,QDSC000066,31,Granite QualityDefectSubCategory 66,1,1,2026-08-24T00:00:00.000
67,QDSC000067,25,Delta QualityDefectSubCategory 67,1,1,2026-08-24T00:00:00.000
68,QDSC000068,45,Ion QualityDefectSubCategory 68,1,1,2026-08-24T00:00:00.000
69,QDSC000069,50,Granite QualityDefectSubCategory 69,1,1,2026-08-24T00:00:00.000
