CalendarQuarterKey,CalendarQuarterCode,CalendarYearKey,CalendarQuarterName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,CQ000001,17,Forge CalendarQuarter 1,1,1,2026-08-24T00:00:00.000
2,CQ000002,3,Forge CalendarQuarter 2,1,1,2026-08-24T00:00:00.000
3,CQ000003,6,Cedar CalendarQuarter 3,1,1,2026-08-24T00:00:00.000
4,CQ000004,8,Vertex CalendarQuarter 4,1,1,2026-08-24T00:00:00.000
5,CQ000005,12,Cedar CalendarQuarter 5,1,1,2026-08-24T00:00:00.000
6,CQ000006,1,Liberty CalendarQuarter 6,1,1,2026-08-24T00:00:00.000
7,CQ000007,13,Quartz CalendarQuarter 7,1,1,2026-08-24T00:00:00.000
8,CQ000008,16,Vertex CalendarQuarter 8,1,1,2026-08-24T00:00:00.000
9,CQ000009,7,Ion CalendarQuarter 9,1,1,2026-08-24T00:00:00.000
10,CQ000010,19,Pioneer CalendarQuarter 10,1,1,2026-08-24T00:00:00.000
11,CQ000011,17,Liberty CalendarQuarter 11,1,1,2026-08-24T00:00:00.000
12,CQ000012,6,Vertex CalendarQuarter 12,1,1,2026-08-24T00:00:00.000
13,CQ000013,4,Willow CalendarQuarter 13,1,1,2026-08-24T00:00:00.000
14,CQ000014,15,Vertex CalendarQuarter 14,1,1,2026-08-24T00:00:00.000
15,CQ000015,3,Pioneer CalendarQuarter 15,1,1,2026-08-24T00:00:00.000
16,CQ000016,8,Riverton CalendarQuarter 16,1,1,2026-08-24T00:00:00.000
17,CQ000017,16,Forge CalendarQuarter 17,1,1,2026-08-24T00:00:00.000
18,CQ000018,12,Harbor CalendarQuarter 18,1,1,2026-08-24T00:00:00.000
19,CQ000019,19,Titan CalendarQuarter 19,1,1,2026-08-24T00:00:00.000
20,CQ000020,19,Harbor CalendarQuarter 20,1,1,2026-08-24T00:00:00.000
21,CQ000021,2,Summit CalendarQuarter 21,1,1,2026-08-24T00:00:00.000
22,CQ000022,12,Vertex CalendarQuarter 22,1,1,2026-08-24T00:00:00.000
23,CQ000023,3,Ion CalendarQuarter 23,1,1,2026-08-24T00:00:00.000
24,CQ000024,1,Unity CalendarQuarter 24,1,1,2026-08-24T00:00:00.000
25,CQ000025,11,Titan CalendarQuarter 25,1,1,2026-08-24T00:00:00.000
26,CQ000026,15,Vertex CalendarQuarter 26,1,1,2026-08-24T00:00:00.000
27,CQ000027,10,Harbor CalendarQuarter 27,1,1,2026-08-24T00:00:00.000
28,CQ000028,8,Evergreen CalendarQuarter 28,1,1,2026-08-24T00:00:00.000
29,CQ000029,16,Granite CalendarQuarter 29,1,1,2026-08-24T00:00:00.000
30,CQ000030,15,Vertex CalendarQuarter 30,1,1,2026-08-24T00:00:00.000
31,CQ000031,17,Ion CalendarQuarter 31,1,1,2026-08-24T00:00:00.000
32,CQ000032,12,Meridian CalendarQuarter 32,1,1,2026-08-24T00:00:00.000
33,CQ000033,15,Summit CalendarQuarter 33,1,1,2026-08-24T00:00:00.000
34,CQ000034,8,Vertex CalendarQuarter 34,1,1,2026-08-24T00:00:00.000
35,CQ000035,12,Meridian CalendarQuarter 35,1,1,2026-08-24T00:00:00.000
36,CQ000036,8,Evergreen CalendarQuarter 36,1,1,2026-08-24T00:00:00.000
37,CQ000037,8,Beacon CalendarQuarter 37,1,1,2026-08-24T00:00:00.000
38,CQ000038,9,Junction CalendarQuarter 38,1,1,2026-08-24T00:00:00.000
39,CQ000039,19,Meridian CalendarQuarter 39,1,1,2026-08-24T00:00:00.000
40,CQ000040,10,Harbor CalendarQuarter 40,1,1,2026-08-24T00:00:00.000
41,CQ000041,11,Willow CalendarQuarter 41,1,1,2026-08-24T00:00:00.000
42,CQ000042,8,Granite CalendarQuarter 42,1,1,2026-08-24T00:00:00.000
43,CQ000043,18,Evergreen CalendarQuarter 43,1,1,2026-08-24T00:00:00.000
44,CQ000044,15,Meridian CalendarQuarter 44,1,1,2026-08-24T00:00:00.000
45,CQ000045,3,Riverton CalendarQuarter 45,1,1,2026-08-24T00:00:00.000
46,CQ000046,6,Pioneer CalendarQuarter 46,1,1,2026-08-24T00:00:00.000
47,CQ000047,12,Riverton CalendarQuarter 47,1,1,2026-08-24T00:00:00.000
48,CQ000048,4,Junction CalendarQuarter 48,1,1,2026-08-24T00:00:00.000
49,CQ000049,14,Delta CalendarQuarter 49,1,1,2026-08-24T00:00:00.000
50,CQ000050,15,Harbor CalendarQuarter 50,1,1,2026-08-24T00:00:00.000
51,CQ000051,17,Keystone CalendarQuarter 51,1,1,2026-08-24T00:00:00.000
52,CQ000052,12,Evergreen CalendarQuarter 52,1,1,2026-08-24T00:00:00.000
53,CQ000053,2,Beacon CalendarQuarter 53,1,1,2026-08-24T00:00:00.000
54,CQ000054,12,Pioneer CalendarQuarter 54,1,1,2026-08-24T00:00:00.000
55,CQ000055,9,Keystone CalendarQuarter 55,1,1,2026-08-24T00:00:00.000
56,CQ000056,2,Keystone CalendarQuarter 56,1,1,2026-08-24T00:00:00.000
57,CQ000057,1,Titan CalendarQuarter 57,1,1,2026-08-24T00:00:00.000
58,CQ000058,15,Titan CalendarQuarter 58,1,1,2026-08-24T00:00:00.000
59,CQ000059,1,Titan CalendarQuarter 59,1,1,2026-08-24T00:00:00.000
60,CQ000060,17,Vertex CalendarQuarter 60,1,1,2026-08-24T00:00:00.000
61,CQ000061,20,Junction CalendarQuarter 61,1,1,2026-08-24T00:00:00.000
62,CQ000062,5,Orion CalendarQuarter 62,1,1,2026-08-24T00:00:00.000
63,CQ000063,6,Vertex CalendarQuarter 63,1,1,2026-08-24T00:00:00.000
64,CQ000064,16,Evergreen CalendarQuarter 64,1,1,2026-08-24T00:00:00.000
65,CQ000065,19,Keystone CalendarQuarter 65,1,1,2026-08-24T00:00:00.000
66,CQ000066,6,Beacon CalendarQuarter 66,1,1,2026-08-24T00:00:00.000
67,CQ000067,16,Harbor CalendarQuarter 67,1,1,2026-08-24T00:00:00.000
68,CQ000068,10,Summit CalendarQuarter 68,1,1,2026-08-24T00:00:00.000
69,CQ000069,16,Evergreen CalendarQuarter 69,1,1,2026-08-24T00:00:00.000
70,CQ000070,13,Keystone CalendarQuarter 70,1,1,2026-08-24T00:00:00.000
71,CQ000071,5,Unity CalendarQuarter 71,1,1,2026-08-24T00:00:00.000
72,CQ000072,8,Zenith CalendarQuarter 72,1,1,2026-08-24T00:00:00.000
73,CQ000073,15,Meridian CalendarQuarter 73,1,1,2026-08-24T00:00:00.000
74,CQ000074,20,Atlas CalendarQuarter 74,1,1,2026-08-24T00:00:00.000
75,CQ000075,8,Vertex CalendarQuarter 75,1,1,2026-08-24T00:00:00.000
76,CQ000076,5,Zenith CalendarQuarter 76,1,1,2026-08-24T00:00:00.000
77,CQ000077,19,Harbor CalendarQuarter 77,1,1,2026-08-24T00:00:00.000
78,CQ000078,8,Junction CalendarQuarter 78,1,1,2026-08-24T00:00:00.000
79,CQ000079,1,Forge CalendarQuarter 79,1,1,2026-08-24T00:00:00.000
80,CQ000080,14,Quartz CalendarQuarter 80,1,1,2026-08-24T00:00:00.000
