SalesTerritoryKey,SalesTerritoryCode,SalesDistrictKey,SalesTerritoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ST000001,54,Forge SalesTerritory 1,1,1,2026-08-24T00:00:00.000
2,ST000002,20,Cedar SalesTerritory 2,1,1,2026-08-24T00:00:00.000
3,ST000003,24,Willow SalesTerritory 3,1,1,2026-08-24T00:00:00.000
4,ST000004,26,Unity SalesTerritory 4,1,1,2026-08-24T00:00:00.000
5,ST000005,55,Liberty SalesTerritory 5,1,1,2026-08-24T00:00:00.000
6,ST000006,35,Harbor SalesTerritory 6,1,1,2026-08-24T00:00:00.000
7,ST000007,59,Liberty SalesTerritory 7,1,1,2026-08-24T00:00:00.000
8,ST000008,74,Quartz SalesTerritory 8,1,1,2026-08-24T00:00:00.000
9,ST000009,30,Liberty SalesTerritory 9,1,1,2026-08-24T00:00:00.000
10,ST000010,68,Granite SalesTerritory 10,1,1,2026-08-24T00:00:00.000
11,ST000011,46,Willow SalesTerritory 11,1,1,2026-08-24T00:00:00.000
12,ST000012,23,Titan SalesTerritory 12,1,1,2026-08-24T00:00:00.000
13,ST000013,42,Riverton SalesTerritory 13,1,1,2026-08-24T00:00:00.000
14,ST000014,17,Riverton SalesTerritory 14,1,1,2026-08-24T00:00:00.000
15,ST000015,31,Delta SalesTerritory 15,1,1,2026-08-24T00:00:00.000
16,ST000016,37,Beacon SalesTerritory 16,1,1,2026-08-24T00:00:00.000
17,ST000017,41,Willow SalesTerritory 17,1,1,2026-08-24T00:00:00.000
18,ST000018,77,Summit SalesTerritory 18,1,1,2026-08-24T00:00:00.000
19,ST000019,11,Zenith SalesTerritory 19,1,1,2026-08-24T00:00:00.000
20,ST000020,28,Meridian SalesTerritory 20,1,1,2026-08-24T00:00:00.000
21,ST000021,33,Willow SalesTerritory 21,1,1,2026-08-24T00:00:00.000
22,ST000022,59,Junction SalesTerritory 22,1,1,2026-08-24T00:00:00.000
23,ST000023,38,Evergreen SalesTerritory 23,1,1,2026-08-24T00:00:00.000
24,ST000024,53,Vertex SalesTerritory 24,1,1,2026-08-24T00:00:00.000
25,ST000025,77,Zenith SalesTerritory 25,1,1,2026-08-24T00:00:00.000
26,ST000026,59,Keystone SalesTerritory 26,1,1,2026-08-24T00:00:00.000
27,ST000027,50,Delta SalesTerritory 27,1,1,2026-08-24T00:00:00.000
28,ST000028,30,Willow SalesTerritory 28,1,1,2026-08-24T00:00:00.000
29,ST000029,1,Quartz SalesTerritory 29,1,1,2026-08-24T00:00:00.000
30,ST000030,30,Liberty SalesTerritory 30,1,1,2026-08-24T00:00:00.000
31,ST000031,12,Quartz SalesTerritory 31,1,1,2026-08-24T00:00:00.000
32,ST000032,79,Ion SalesTerritory 32,1,1,2026-08-24T00:00:00.000
33,ST000033,76,Liberty SalesTerritory 33,1,1,2026-08-24T00:00:00.000
34,ST000034,19,Orion SalesTerritory 34,1,1,2026-08-24T00:00:00.000
35,ST000035,35,Unity SalesTerritory 35,1,1,2026-08-24T00:00:00.000
36,ST000036,1,Unity SalesTerritory 36,1,1,2026-08-24T00:00:00.000
37,ST000037,45,Unity SalesTerritory 37,1,1,2026-08-24T00:00:00.000
38,ST000038,27,Vertex SalesTerritory 38,1,1,2026-08-24T00:00:00.000
39,ST000039,5,Ion SalesTerritory 39,1,1,2026-08-24T00:00:00.000
40,ST000040,57,Beacon SalesTerritory 40,1,1,2026-08-24T00:00:00.000
41,ST000041,67,Junction SalesTerritory 41,1,1,2026-08-24T00:00:00.000
42,ST000042,35,Unity SalesTerritory 42,1,1,2026-08-24T00:00:00.000
43,ST000043,20,Beacon SalesTerritory 43,1,1,2026-08-24T00:00:00.000
44,ST000044,36,Northstar SalesTerritory 44,1,1,2026-08-24T00:00:00.000
45,ST000045,24,Zenith SalesTerritory 45,1,1,2026-08-24T00:00:00.000
46,ST000046,46,Unity SalesTerritory 46,1,1,2026-08-24T00:00:00.000
47,ST000047,52,Evergreen SalesTerritory 47,1,1,2026-08-24T00:00:00.000
48,ST000048,64,Harbor SalesTerritory 48,1,1,2026-08-24T00:00:00.000
49,ST000049,23,Quartz SalesTerritory 49,1,1,2026-08-24T00:00:00.000
50,ST000050,38,Unity SalesTerritory 50,1,1,2026-08-24T00:00:00.000
51,ST000051,19,Northstar SalesTerritory 51,1,1,2026-08-24T00:00:00.000
52,ST000052,79,Orion SalesTerritory 52,1,1,2026-08-24T00:00:00.000
53,ST000053,49,Unity SalesTerritory 53,1,1,2026-08-24T00:00:00.000
54,ST000054,23,Riverton SalesTerritory 54,1,1,2026-08-24T00:00:00.000
55,ST000055,66,Orion SalesTerritory 55,1,1,2026-08-24T00:00:00.000
56,ST000056,6,Evergreen SalesTerritory 56,1,1,2026-08-24T00:00:00.000
57,ST000057,59,Meridian SalesTerritory 57,1,1,2026-08-24T00:00:00.000
58,ST000058,61,Forge SalesTerritory 58,1,1,2026-08-24T00:00:00.000
59,ST000059,57,Pioneer SalesTerritory 59,1,1,2026-08-24T00:00:00.000
60,ST000060,45,Northstar SalesTerritory 60,1,1,2026-08-24T00:00:00.000
61,ST000061,20,Forge SalesTerritory 61,1,1,2026-08-24T00:00:00.000
62,ST000062,6,Harbor SalesTerritory 62,1,1,2026-08-24T00:00:00.000
63,ST000063,48,Quartz SalesTerritory 63,1,1,2026-08-24T00:00:00.000
64,ST000064,11,Granite SalesTerritory 64,1,1,2026-08-24T00:00:00.000
65,ST000065,11,Titan SalesTerritory 65,1,1,2026-08-24T00:00:00.000
66,ST000066,16,Ion SalesTerritory 66,1,1,2026-08-24T00:00:00.000
67,ST000067,31,Willow SalesTerritory 67,1,1,2026-08-24T00:00:00.000
68,ST000068,14,Forge SalesTerritory 68,1,1,2026-08-24T00:00:00.000
69,ST000069,20,Quartz SalesTerritory 69,1,1,2026-08-24T00:00:00.000
70,ST000070,41,Unity SalesTerritory 70,1,1,2026-08-24T00:00:00.000
71,ST000071,23,Unity SalesTerritory 71,1,1,2026-08-24T00:00:00.000
72,ST000072,32,Zenith SalesTerritory 72,1,1,2026-08-24T00:00:00.000
73,ST000073,51,Pioneer SalesTerritory 73,1,1,2026-08-24T00:00:00.000
74,ST000074,59,Atlas SalesTerritory 74,1,1,2026-08-24T00:00:00.000
75,ST000075,78,Pioneer SalesTerritory 75,1,1,2026-08-24T00:00:00.000
76,ST000076,80,Junction SalesTerritory 76,1,1,2026-08-24T00:00:00.000
77,ST000077,66,Evergreen SalesTerritory 77,1,1,2026-08-24T00:00:00.000
78,ST000078,43,Junction SalesTerritory 78,1,1,2026-08-24T00:00:00.000
79,ST000079,60,Junction SalesTerritory 79,1,1,2026-08-24T00:00:00.000
80,ST000080,51,Orion SalesTerritory 80,1,1,2026-08-24T00:00:00.000
81,ST000081,78,Junction SalesTerritory 81,1,1,2026-08-24T00:00:00.000
82,ST000082,34,Northstar SalesTerritory 82,1,1,2026-08-24T00:00:00.000
83,ST000083,25,Ion SalesTerritory 83,1,1,2026-08-24T00:00:00.000
84,ST000084,49,Harbor SalesTerritory 84,1,1,2026-08-24T00:00:00.000
85,ST000085,38,Orion SalesTerritory 85,1,1,2026-08-24T00:00:00.000
86,ST000086,67,Orion SalesTerritory 86,1,1,2026-08-24T00:00:00.000
87,ST000087,33,Forge SalesTerritory 87,1,1,2026-08-24T00:00:00.000
88,ST000088,76,Unity SalesTerritory 88,1,1,2026-08-24T00:00:00.000
89,ST000089,62,Junction SalesTerritory 89,1,1,2026-08-24T00:00:00.000
90,ST000090,59,Meridian SalesTerritory 90,1,1,2026-08-24T00:00:00.000
91,ST000091,39,Ion SalesTerritory 91,1,1,2026-08-24T00:00:00.000
92,ST000092,2,Delta SalesTerritory 92,1,1,2026-08-24T00:00:00.000
93,ST000093,17,Summit SalesTerritory 93,1,1,2026-08-24T00:00:00.000
