EnergyEmissionFactorKey,EmissionFactorCode,EnergyCarrierKey,PlantKey,EnergySourceKey,EnergyEmissionScopeKey,UnitOfMeasureKey,FactorValue,FactorSourceName,CarbonDioxideEquivalentRatio,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,0.00000000,Unknown,0.00000000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,EEF000001,12,188,9,1,7,0.00010000,Zenith EnergyEmissionFactor 1,2.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b62959ef9595e46991664256126c3b32b62959ef9595e46991664256126c3b3
2,EEF000002,48,254,13,1,4,0.00020000,Harbor EnergyEmissionFactor 2,3.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ee430aa1a2555f5944c4acf81a72e140ee430aa1a2555f5944c4acf81a72e14
3,EEF000003,19,69,7,2,5,0.00030000,Meridian EnergyEmissionFactor 3,4.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2a743d3e3af5b709d4aadec05c08a51c2a743d3e3af5b709d4aadec05c08a51
4,EEF000004,21,126,6,2,4,0.00040000,Northstar EnergyEmissionFactor 4,5.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0140925fe6a35a91bedff30429c120870140925fe6a35a91bedff30429c12087
5,EEF000005,28,278,9,1,2,0.00050000,Willow EnergyEmissionFactor 5,6.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e000662324335356ad8a635a410785a3e000662324335356ad8a635a410785a3
6,EEF000006,48,275,5,3,6,0.00060000,Atlas EnergyEmissionFactor 6,7.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4b2fdc7291f50f2b14fcaec9217b078a4b2fdc7291f50f2b14fcaec9217b078
7,EEF000007,1,286,8,3,2,0.00070000,Vertex EnergyEmissionFactor 7,8.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de180767212a5648b52ce8cbbef2a994de180767212a5648b52ce8cbbef2a994
8,EEF000008,35,192,1,1,6,0.00080000,Pioneer EnergyEmissionFactor 8,9.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27d2906978235f2ead896da0ea144ff827d2906978235f2ead896da0ea144ff8
9,EEF000009,32,279,1,2,2,0.00090000,Beacon EnergyEmissionFactor 9,10.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39dfa06812d45baeaf4a176ca35fe28339dfa06812d45baeaf4a176ca35fe283
