LogisticsHubKey,LogisticsHubCode,LogisticsNetworkKey,LogisticsHubName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LH000001,9,Granite LogisticsHub 1,1,1,2026-08-24T00:00:00.000
2,LH000002,3,Orion LogisticsHub 2,1,1,2026-08-24T00:00:00.000
3,LH000003,6,Liberty LogisticsHub 3,1,1,2026-08-24T00:00:00.000
4,LH000004,4,Junction LogisticsHub 4,1,1,2026-08-24T00:00:00.000
5,LH000005,3,Northstar LogisticsHub 5,1,1,2026-08-24T00:00:00.000
6,LH000006,8,Unity LogisticsHub 6,1,1,2026-08-24T00:00:00.000
7,LH000007,9,Vertex LogisticsHub 7,1,1,2026-08-24T00:00:00.000
8,LH000008,8,Forge LogisticsHub 8,1,1,2026-08-24T00:00:00.000
9,LH000009,9,Harbor LogisticsHub 9,1,1,2026-08-24T00:00:00.000
10,LH000010,4,Harbor LogisticsHub 10,1,1,2026-08-24T00:00:00.000
11,LH000011,4,Cedar LogisticsHub 11,1,1,2026-08-24T00:00:00.000
12,LH000012,8,Cedar LogisticsHub 12,1,1,2026-08-24T00:00:00.000
13,LH000013,5,Titan LogisticsHub 13,1,1,2026-08-24T00:00:00.000
14,LH000014,4,Beacon LogisticsHub 14,1,1,2026-08-24T00:00:00.000
15,LH000015,4,Unity LogisticsHub 15,1,1,2026-08-24T00:00:00.000
16,LH000016,6,Liberty LogisticsHub 16,1,1,2026-08-24T00:00:00.000
17,LH000017,7,Vertex LogisticsHub 17,1,1,2026-08-24T00:00:00.000
18,LH000018,10,Riverton LogisticsHub 18,1,1,2026-08-24T00:00:00.000
19,LH000019,2,Evergreen LogisticsHub 19,1,1,2026-08-24T00:00:00.000
20,LH000020,6,Quartz LogisticsHub 20,1,1,2026-08-24T00:00:00.000
21,LH000021,9,Quartz LogisticsHub 21,1,1,2026-08-24T00:00:00.000
22,LH000022,4,Meridian LogisticsHub 22,1,1,2026-08-24T00:00:00.000
23,LH000023,2,Willow LogisticsHub 23,1,1,2026-08-24T00:00:00.000
24,LH000024,1,Unity LogisticsHub 24,1,1,2026-08-24T00:00:00.000
25,LH000025,8,Cedar LogisticsHub 25,1,1,2026-08-24T00:00:00.000
26,LH000026,8,Unity LogisticsHub 26,1,1,2026-08-24T00:00:00.000
27,LH000027,10,Pioneer LogisticsHub 27,1,1,2026-08-24T00:00:00.000
28,LH000028,7,Junction LogisticsHub 28,1,1,2026-08-24T00:00:00.000
29,LH000029,10,Willow LogisticsHub 29,1,1,2026-08-24T00:00:00.000
30,LH000030,8,Granite LogisticsHub 30,1,1,2026-08-24T00:00:00.000
31,LH000031,6,Delta LogisticsHub 31,1,1,2026-08-24T00:00:00.000
32,LH000032,9,Zenith LogisticsHub 32,1,1,2026-08-24T00:00:00.000
33,LH000033,6,Granite LogisticsHub 33,1,1,2026-08-24T00:00:00.000
34,LH000034,7,Ion LogisticsHub 34,1,1,2026-08-24T00:00:00.000
35,LH000035,4,Forge LogisticsHub 35,1,1,2026-08-24T00:00:00.000
36,LH000036,6,Unity LogisticsHub 36,1,1,2026-08-24T00:00:00.000
37,LH000037,1,Keystone LogisticsHub 37,1,1,2026-08-24T00:00:00.000
38,LH000038,7,Junction LogisticsHub 38,1,1,2026-08-24T00:00:00.000
39,LH000039,4,Atlas LogisticsHub 39,1,1,2026-08-24T00:00:00.000
40,LH000040,6,Riverton LogisticsHub 40,1,1,2026-08-24T00:00:00.000
41,LH000041,9,Vertex LogisticsHub 41,1,1,2026-08-24T00:00:00.000
42,LH000042,1,Northstar LogisticsHub 42,1,1,2026-08-24T00:00:00.000
43,LH000043,8,Titan LogisticsHub 43,1,1,2026-08-24T00:00:00.000
44,LH000044,10,Summit LogisticsHub 44,1,1,2026-08-24T00:00:00.000
45,LH000045,2,Zenith LogisticsHub 45,1,1,2026-08-24T00:00:00.000
46,LH000046,3,Riverton LogisticsHub 46,1,1,2026-08-24T00:00:00.000
47,LH000047,6,Riverton LogisticsHub 47,1,1,2026-08-24T00:00:00.000
48,LH000048,2,Riverton LogisticsHub 48,1,1,2026-08-24T00:00:00.000
49,LH000049,5,Titan LogisticsHub 49,1,1,2026-08-24T00:00:00.000
50,LH000050,8,Beacon LogisticsHub 50,1,1,2026-08-24T00:00:00.000
51,LH000051,10,Unity LogisticsHub 51,1,1,2026-08-24T00:00:00.000
52,LH000052,2,Delta LogisticsHub 52,1,1,2026-08-24T00:00:00.000
53,LH000053,5,Junction LogisticsHub 53,1,1,2026-08-24T00:00:00.000
54,LH000054,6,Orion LogisticsHub 54,1,1,2026-08-24T00:00:00.000
55,LH000055,1,Harbor LogisticsHub 55,1,1,2026-08-24T00:00:00.000
56,LH000056,8,Keystone LogisticsHub 56,1,1,2026-08-24T00:00:00.000
57,LH000057,9,Quartz LogisticsHub 57,1,1,2026-08-24T00:00:00.000
58,LH000058,8,Meridian LogisticsHub 58,1,1,2026-08-24T00:00:00.000
59,LH000059,10,Zenith LogisticsHub 59,1,1,2026-08-24T00:00:00.000
60,LH000060,8,Delta LogisticsHub 60,1,1,2026-08-24T00:00:00.000
61,LH000061,4,Zenith LogisticsHub 61,1,1,2026-08-24T00:00:00.000
62,LH000062,3,Riverton LogisticsHub 62,1,1,2026-08-24T00:00:00.000
63,LH000063,3,Forge LogisticsHub 63,1,1,2026-08-24T00:00:00.000
64,LH000064,5,Unity LogisticsHub 64,1,1,2026-08-24T00:00:00.000
65,LH000065,2,Beacon LogisticsHub 65,1,1,2026-08-24T00:00:00.000
66,LH000066,5,Riverton LogisticsHub 66,1,1,2026-08-24T00:00:00.000
67,LH000067,4,Ion LogisticsHub 67,1,1,2026-08-24T00:00:00.000
68,LH000068,10,Keystone LogisticsHub 68,1,1,2026-08-24T00:00:00.000
69,LH000069,10,Willow LogisticsHub 69,1,1,2026-08-24T00:00:00.000
70,LH000070,5,Atlas LogisticsHub 70,1,1,2026-08-24T00:00:00.000
71,LH000071,10,Quartz LogisticsHub 71,1,1,2026-08-24T00:00:00.000
72,LH000072,7,Meridian LogisticsHub 72,1,1,2026-08-24T00:00:00.000
73,LH000073,10,Titan LogisticsHub 73,1,1,2026-08-24T00:00:00.000
74,LH000074,2,Liberty LogisticsHub 74,1,1,2026-08-24T00:00:00.000
75,LH000075,9,Forge LogisticsHub 75,1,1,2026-08-24T00:00:00.000
76,LH000076,1,Liberty LogisticsHub 76,1,1,2026-08-24T00:00:00.000
77,LH000077,6,Vertex LogisticsHub 77,1,1,2026-08-24T00:00:00.000
78,LH000078,7,Junction LogisticsHub 78,1,1,2026-08-24T00:00:00.000
79,LH000079,8,Harbor LogisticsHub 79,1,1,2026-08-24T00:00:00.000
80,LH000080,6,Delta LogisticsHub 80,1,1,2026-08-24T00:00:00.000
81,LH000081,6,Riverton LogisticsHub 81,1,1,2026-08-24T00:00:00.000
82,LH000082,1,Orion LogisticsHub 82,1,1,2026-08-24T00:00:00.000
83,LH000083,4,Harbor LogisticsHub 83,1,1,2026-08-24T00:00:00.000
84,LH000084,9,Quartz LogisticsHub 84,1,1,2026-08-24T00:00:00.000
85,LH000085,9,Vertex LogisticsHub 85,1,1,2026-08-24T00:00:00.000
86,LH000086,3,Riverton LogisticsHub 86,1,1,2026-08-24T00:00:00.000
87,LH000087,5,Liberty LogisticsHub 87,1,1,2026-08-24T00:00:00.000
88,LH000088,7,Orion LogisticsHub 88,1,1,2026-08-24T00:00:00.000
89,LH000089,9,Forge LogisticsHub 89,1,1,2026-08-24T00:00:00.000
90,LH000090,8,Meridian LogisticsHub 90,1,1,2026-08-24T00:00:00.000
91,LH000091,3,Cedar LogisticsHub 91,1,1,2026-08-24T00:00:00.000
92,LH000092,4,Granite LogisticsHub 92,1,1,2026-08-24T00:00:00.000
93,LH000093,3,Quartz LogisticsHub 93,1,1,2026-08-24T00:00:00.000
94,LH000094,2,Evergreen LogisticsHub 94,1,1,2026-08-24T00:00:00.000
95,LH000095,2,Vertex LogisticsHub 95,1,1,2026-08-24T00:00:00.000
96,LH000096,1,Ion LogisticsHub 96,1,1,2026-08-24T00:00:00.000
97,LH000097,6,Orion LogisticsHub 97,1,1,2026-08-24T00:00:00.000
98,LH000098,1,Delta LogisticsHub 98,1,1,2026-08-24T00:00:00.000
99,LH000099,9,Meridian LogisticsHub 99,1,1,2026-08-24T00:00:00.000
100,LH000100,5,Evergreen LogisticsHub 100,1,1,2026-08-24T00:00:00.000
101,LH000101,3,Forge LogisticsHub 101,1,1,2026-08-24T00:00:00.000
102,LH000102,4,Delta LogisticsHub 102,1,1,2026-08-24T00:00:00.000
103,LH000103,5,Pioneer LogisticsHub 103,1,1,2026-08-24T00:00:00.000
