SafetyRiskAssessmentKey,RiskAssessmentNumber,PlantKey,WorkCenterKey,SafetyHazardConditionKey,RiskAssessmentName,InitialRiskScore,ResidualRiskScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,Unknown,0.00,0.00,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SRA000001,237,162,90,Meridian SafetyRiskAssessment 1,2.00,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fc95aff17255c25afa832ca641e763a4fc95aff17255c25afa832ca641e763a
2,SRA000002,117,124,46,Unity SafetyRiskAssessment 2,3.00,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb95a1aa99ff5e929dddaf8e5a8b0be4eb95a1aa99ff5e929dddaf8e5a8b0be4
3,SRA000003,233,405,75,Cedar SafetyRiskAssessment 3,4.00,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2013230afb255974a3896f76f090888b2013230afb255974a3896f76f090888b
4,SRA000004,329,416,155,Forge SafetyRiskAssessment 4,5.00,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,073cd1b44edc5d02aa21c232aee96dba073cd1b44edc5d02aa21c232aee96dba
5,SRA000005,135,213,424,Vertex SafetyRiskAssessment 5,6.00,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbf2726ec1e655e2a50a8a17903c6eaefbf2726ec1e655e2a50a8a17903c6eae
6,SRA000006,168,466,54,Willow SafetyRiskAssessment 6,7.00,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93c894ffe48b5325906d4fc28b7e03a493c894ffe48b5325906d4fc28b7e03a4
7,SRA000007,166,487,120,Keystone SafetyRiskAssessment 7,8.00,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc06ec1b358052de944800eee1d51c39dc06ec1b358052de944800eee1d51c39
8,SRA000008,90,397,14,Keystone SafetyRiskAssessment 8,9.00,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2502f42a6e7521aa80a33443212d78ad2502f42a6e7521aa80a33443212d78a
9,SRA000009,297,491,302,Zenith SafetyRiskAssessment 9,10.00,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ae918c702d6528c99c83f8de559eb353ae918c702d6528c99c83f8de559eb35
10,SRA000010,153,48,295,Riverton SafetyRiskAssessment 10,11.00,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1354959909c150a59847bdbec15669c91354959909c150a59847bdbec15669c9
11,SRA000011,139,146,409,Junction SafetyRiskAssessment 11,12.00,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68a0af00cf4556c580d84905384ccd5568a0af00cf4556c580d84905384ccd55
12,SRA000012,24,272,151,Zenith SafetyRiskAssessment 12,13.00,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75f28b354076535c95670bb238e8796775f28b354076535c95670bb238e87967
13,SRA000013,299,73,478,Unity SafetyRiskAssessment 13,14.00,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2479ff5323c567f80fa17cc99f8aff8f2479ff5323c567f80fa17cc99f8aff8
14,SRA000014,345,116,225,Vertex SafetyRiskAssessment 14,15.00,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,145f5d3d9e015c5a806002c6b89cb8d9145f5d3d9e015c5a806002c6b89cb8d9
15,SRA000015,6,185,262,Quartz SafetyRiskAssessment 15,16.00,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1359a89fd1bb5f68ab343a8978c060d91359a89fd1bb5f68ab343a8978c060d9
16,SRA000016,132,214,405,Harbor SafetyRiskAssessment 16,17.00,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ceaaee9159b55c98ca0c049ecc3fbc57ceaaee9159b55c98ca0c049ecc3fbc5
17,SRA000017,235,-1,234,Cedar SafetyRiskAssessment 17,18.00,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d72b3f74fcd15b9db4caa805a08235c5d72b3f74fcd15b9db4caa805a08235c5
18,SRA000018,95,163,150,Quartz SafetyRiskAssessment 18,19.00,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a0bd142ea08581c8cb3f5ad7f64383f0a0bd142ea08581c8cb3f5ad7f64383f
19,SRA000019,71,419,209,Forge SafetyRiskAssessment 19,20.00,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06c8e954a43b54c28e008cec0fcfa7c406c8e954a43b54c28e008cec0fcfa7c4
20,SRA000020,161,136,317,Riverton SafetyRiskAssessment 20,21.00,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b37fe76c902056c686653e78a4a7056db37fe76c902056c686653e78a4a7056d
21,SRA000021,157,261,447,Summit SafetyRiskAssessment 21,22.00,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9f69071345f561ca8b1a3fbe4cf4a53e9f69071345f561ca8b1a3fbe4cf4a53
22,SRA000022,220,130,33,Pioneer SafetyRiskAssessment 22,23.00,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33a04abfceaf541a9ef75b61ab99dd3d33a04abfceaf541a9ef75b61ab99dd3d
23,SRA000023,22,45,66,Meridian SafetyRiskAssessment 23,24.00,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5041f99b7545549fb6ec7e4f1be33c715041f99b7545549fb6ec7e4f1be33c71
24,SRA000024,119,90,395,Delta SafetyRiskAssessment 24,25.00,25.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac985341ffc45f96a9759cc9fb2aa0d2ac985341ffc45f96a9759cc9fb2aa0d2
25,SRA000025,2,479,477,Forge SafetyRiskAssessment 25,26.00,26.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7192c102a78501fa8ac4b86141b963ba7192c102a78501fa8ac4b86141b963b
26,SRA000026,315,34,113,Orion SafetyRiskAssessment 26,27.00,27.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8696b302e48519cbc852ccecc9463b0a8696b302e48519cbc852ccecc9463b0
27,SRA000027,196,17,200,Harbor SafetyRiskAssessment 27,28.00,28.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f0e6ffa6714596c92432e96a53fdbf31f0e6ffa6714596c92432e96a53fdbf3
