EngineeringDocumentCategoryKey,EngineeringDocumentCategoryCode,EngineeringDocumentSubClassKey,EngineeringDocumentCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EDC000001,28,Pioneer EngineeringDocumentCategory 1,1,1,2026-08-24T00:00:00.000
2,EDC000002,70,Atlas EngineeringDocumentCategory 2,1,1,2026-08-24T00:00:00.000
3,EDC000003,170,Keystone EngineeringDocumentCategory 3,1,1,2026-08-24T00:00:00.000
4,EDC000004,62,Northstar EngineeringDocumentCategory 4,1,1,2026-08-24T00:00:00.000
5,EDC000005,139,Vertex EngineeringDocumentCategory 5,1,1,2026-08-24T00:00:00.000
6,EDC000006,89,Riverton EngineeringDocumentCategory 6,1,1,2026-08-24T00:00:00.000
7,EDC000007,163,Orion EngineeringDocumentCategory 7,1,1,2026-08-24T00:00:00.000
8,EDC000008,6,Quartz EngineeringDocumentCategory 8,1,1,2026-08-24T00:00:00.000
9,EDC000009,82,Unity EngineeringDocumentCategory 9,1,1,2026-08-24T00:00:00.000
10,EDC000010,63,Orion EngineeringDocumentCategory 10,1,1,2026-08-24T00:00:00.000
11,EDC000011,159,Meridian EngineeringDocumentCategory 11,1,1,2026-08-24T00:00:00.000
12,EDC000012,45,Willow EngineeringDocumentCategory 12,1,1,2026-08-24T00:00:00.000
13,EDC000013,162,Northstar EngineeringDocumentCategory 13,1,1,2026-08-24T00:00:00.000
14,EDC000014,7,Zenith EngineeringDocumentCategory 14,1,1,2026-08-24T00:00:00.000
15,EDC000015,30,Zenith EngineeringDocumentCategory 15,1,1,2026-08-24T00:00:00.000
16,EDC000016,156,Unity EngineeringDocumentCategory 16,1,1,2026-08-24T00:00:00.000
17,EDC000017,16,Forge EngineeringDocumentCategory 17,1,1,2026-08-24T00:00:00.000
18,EDC000018,161,Forge EngineeringDocumentCategory 18,1,1,2026-08-24T00:00:00.000
19,EDC000019,123,Willow EngineeringDocumentCategory 19,1,1,2026-08-24T00:00:00.000
20,EDC000020,14,Beacon EngineeringDocumentCategory 20,1,1,2026-08-24T00:00:00.000
21,EDC000021,116,Vertex EngineeringDocumentCategory 21,1,1,2026-08-24T00:00:00.000
22,EDC000022,111,Willow EngineeringDocumentCategory 22,1,1,2026-08-24T00:00:00.000
23,EDC000023,116,Granite EngineeringDocumentCategory 23,1,1,2026-08-24T00:00:00.000
24,EDC000024,170,Beacon EngineeringDocumentCategory 24,1,1,2026-08-24T00:00:00.000
25,EDC000025,57,Atlas EngineeringDocumentCategory 25,1,1,2026-08-24T00:00:00.000
26,EDC000026,104,Meridian EngineeringDocumentCategory 26,1,1,2026-08-24T00:00:00.000
27,EDC000027,73,Beacon EngineeringDocumentCategory 27,1,1,2026-08-24T00:00:00.000
28,EDC000028,122,Riverton EngineeringDocumentCategory 28,1,1,2026-08-24T00:00:00.000
29,EDC000029,72,Titan EngineeringDocumentCategory 29,1,1,2026-08-24T00:00:00.000
30,EDC000030,41,Junction EngineeringDocumentCategory 30,1,1,2026-08-24T00:00:00.000
31,EDC000031,48,Ion EngineeringDocumentCategory 31,1,1,2026-08-24T00:00:00.000
32,EDC000032,81,Vertex EngineeringDocumentCategory 32,1,1,2026-08-24T00:00:00.000
33,EDC000033,100,Forge EngineeringDocumentCategory 33,1,1,2026-08-24T00:00:00.000
34,EDC000034,95,Quartz EngineeringDocumentCategory 34,1,1,2026-08-24T00:00:00.000
35,EDC000035,92,Harbor EngineeringDocumentCategory 35,1,1,2026-08-24T00:00:00.000
36,EDC000036,46,Quartz EngineeringDocumentCategory 36,1,1,2026-08-24T00:00:00.000
37,EDC000037,97,Orion EngineeringDocumentCategory 37,1,1,2026-08-24T00:00:00.000
38,EDC000038,179,Northstar EngineeringDocumentCategory 38,1,1,2026-08-24T00:00:00.000
39,EDC000039,178,Forge EngineeringDocumentCategory 39,1,1,2026-08-24T00:00:00.000
40,EDC000040,79,Liberty EngineeringDocumentCategory 40,1,1,2026-08-24T00:00:00.000
41,EDC000041,3,Summit EngineeringDocumentCategory 41,1,1,2026-08-24T00:00:00.000
42,EDC000042,176,Junction EngineeringDocumentCategory 42,1,1,2026-08-24T00:00:00.000
43,EDC000043,55,Zenith EngineeringDocumentCategory 43,1,1,2026-08-24T00:00:00.000
44,EDC000044,165,Willow EngineeringDocumentCategory 44,1,1,2026-08-24T00:00:00.000
45,EDC000045,108,Ion EngineeringDocumentCategory 45,1,1,2026-08-24T00:00:00.000
46,EDC000046,2,Atlas EngineeringDocumentCategory 46,1,1,2026-08-24T00:00:00.000
47,EDC000047,142,Riverton EngineeringDocumentCategory 47,1,1,2026-08-24T00:00:00.000
48,EDC000048,134,Meridian EngineeringDocumentCategory 48,1,1,2026-08-24T00:00:00.000
49,EDC000049,66,Evergreen EngineeringDocumentCategory 49,1,1,2026-08-24T00:00:00.000
50,EDC000050,90,Northstar EngineeringDocumentCategory 50,1,1,2026-08-24T00:00:00.000
51,EDC000051,81,Delta EngineeringDocumentCategory 51,1,1,2026-08-24T00:00:00.000
52,EDC000052,22,Riverton EngineeringDocumentCategory 52,1,1,2026-08-24T00:00:00.000
53,EDC000053,120,Northstar EngineeringDocumentCategory 53,1,1,2026-08-24T00:00:00.000
54,EDC000054,30,Beacon EngineeringDocumentCategory 54,1,1,2026-08-24T00:00:00.000
55,EDC000055,80,Titan EngineeringDocumentCategory 55,1,1,2026-08-24T00:00:00.000
56,EDC000056,102,Evergreen EngineeringDocumentCategory 56,1,1,2026-08-24T00:00:00.000
57,EDC000057,76,Northstar EngineeringDocumentCategory 57,1,1,2026-08-24T00:00:00.000
58,EDC000058,117,Meridian EngineeringDocumentCategory 58,1,1,2026-08-24T00:00:00.000
59,EDC000059,114,Unity EngineeringDocumentCategory 59,1,1,2026-08-24T00:00:00.000
60,EDC000060,95,Liberty EngineeringDocumentCategory 60,1,1,2026-08-24T00:00:00.000
61,EDC000061,82,Delta EngineeringDocumentCategory 61,1,1,2026-08-24T00:00:00.000
62,EDC000062,64,Granite EngineeringDocumentCategory 62,1,1,2026-08-24T00:00:00.000
63,EDC000063,41,Harbor EngineeringDocumentCategory 63,1,1,2026-08-24T00:00:00.000
64,EDC000064,122,Orion EngineeringDocumentCategory 64,1,1,2026-08-24T00:00:00.000
65,EDC000065,63,Atlas EngineeringDocumentCategory 65,1,1,2026-08-24T00:00:00.000
66,EDC000066,126,Delta EngineeringDocumentCategory 66,1,1,2026-08-24T00:00:00.000
67,EDC000067,150,Titan EngineeringDocumentCategory 67,1,1,2026-08-24T00:00:00.000
68,EDC000068,12,Beacon EngineeringDocumentCategory 68,1,1,2026-08-24T00:00:00.000
69,EDC000069,18,Harbor EngineeringDocumentCategory 69,1,1,2026-08-24T00:00:00.000
70,EDC000070,148,Orion EngineeringDocumentCategory 70,1,1,2026-08-24T00:00:00.000
71,EDC000071,64,Liberty EngineeringDocumentCategory 71,1,1,2026-08-24T00:00:00.000
72,EDC000072,131,Granite EngineeringDocumentCategory 72,1,1,2026-08-24T00:00:00.000
73,EDC000073,141,Pioneer EngineeringDocumentCategory 73,1,1,2026-08-24T00:00:00.000
