InventoryReplenishmentGroupKey,InventoryReplenishmentGroupCode,InventoryPlanningSegmentKey,InventoryReplenishmentGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IRG000001,62,Riverton InventoryReplenishmentGroup 1,1,1,2026-08-24T00:00:00.000
2,IRG000002,75,Ion InventoryReplenishmentGroup 2,1,1,2026-08-24T00:00:00.000
3,IRG000003,61,Summit InventoryReplenishmentGroup 3,1,1,2026-08-24T00:00:00.000
4,IRG000004,58,Evergreen InventoryReplenishmentGroup 4,1,1,2026-08-24T00:00:00.000
5,IRG000005,29,Evergreen InventoryReplenishmentGroup 5,1,1,2026-08-24T00:00:00.000
6,IRG000006,49,Quartz InventoryReplenishmentGroup 6,1,1,2026-08-24T00:00:00.000
7,IRG000007,65,Cedar InventoryReplenishmentGroup 7,1,1,2026-08-24T00:00:00.000
8,IRG000008,14,Meridian InventoryReplenishmentGroup 8,1,1,2026-08-24T00:00:00.000
9,IRG000009,57,Unity InventoryReplenishmentGroup 9,1,1,2026-08-24T00:00:00.000
10,IRG000010,33,Riverton InventoryReplenishmentGroup 10,1,1,2026-08-24T00:00:00.000
11,IRG000011,4,Forge InventoryReplenishmentGroup 11,1,1,2026-08-24T00:00:00.000
12,IRG000012,30,Quartz InventoryReplenishmentGroup 12,1,1,2026-08-24T00:00:00.000
13,IRG000013,18,Liberty InventoryReplenishmentGroup 13,1,1,2026-08-24T00:00:00.000
14,IRG000014,52,Northstar InventoryReplenishmentGroup 14,1,1,2026-08-24T00:00:00.000
15,IRG000015,20,Unity InventoryReplenishmentGroup 15,1,1,2026-08-24T00:00:00.000
16,IRG000016,63,Keystone InventoryReplenishmentGroup 16,1,1,2026-08-24T00:00:00.000
17,IRG000017,50,Ion InventoryReplenishmentGroup 17,1,1,2026-08-24T00:00:00.000
18,IRG000018,18,Harbor InventoryReplenishmentGroup 18,1,1,2026-08-24T00:00:00.000
19,IRG000019,51,Zenith InventoryReplenishmentGroup 19,1,1,2026-08-24T00:00:00.000
20,IRG000020,63,Beacon InventoryReplenishmentGroup 20,1,1,2026-08-24T00:00:00.000
21,IRG000021,27,Riverton InventoryReplenishmentGroup 21,1,1,2026-08-24T00:00:00.000
22,IRG000022,34,Beacon InventoryReplenishmentGroup 22,1,1,2026-08-24T00:00:00.000
23,IRG000023,24,Delta InventoryReplenishmentGroup 23,1,1,2026-08-24T00:00:00.000
24,IRG000024,42,Delta InventoryReplenishmentGroup 24,1,1,2026-08-24T00:00:00.000
25,IRG000025,36,Northstar InventoryReplenishmentGroup 25,1,1,2026-08-24T00:00:00.000
26,IRG000026,10,Unity InventoryReplenishmentGroup 26,1,1,2026-08-24T00:00:00.000
27,IRG000027,38,Vertex InventoryReplenishmentGroup 27,1,1,2026-08-24T00:00:00.000
28,IRG000028,53,Keystone InventoryReplenishmentGroup 28,1,1,2026-08-24T00:00:00.000
29,IRG000029,54,Granite InventoryReplenishmentGroup 29,1,1,2026-08-24T00:00:00.000
30,IRG000030,6,Atlas InventoryReplenishmentGroup 30,1,1,2026-08-24T00:00:00.000
31,IRG000031,62,Delta InventoryReplenishmentGroup 31,1,1,2026-08-24T00:00:00.000
32,IRG000032,23,Unity InventoryReplenishmentGroup 32,1,1,2026-08-24T00:00:00.000
33,IRG000033,49,Riverton InventoryReplenishmentGroup 33,1,1,2026-08-24T00:00:00.000
34,IRG000034,16,Summit InventoryReplenishmentGroup 34,1,1,2026-08-24T00:00:00.000
35,IRG000035,23,Vertex InventoryReplenishmentGroup 35,1,1,2026-08-24T00:00:00.000
36,IRG000036,38,Unity InventoryReplenishmentGroup 36,1,1,2026-08-24T00:00:00.000
37,IRG000037,56,Evergreen InventoryReplenishmentGroup 37,1,1,2026-08-24T00:00:00.000
38,IRG000038,35,Ion InventoryReplenishmentGroup 38,1,1,2026-08-24T00:00:00.000
39,IRG000039,40,Unity InventoryReplenishmentGroup 39,1,1,2026-08-24T00:00:00.000
40,IRG000040,44,Northstar InventoryReplenishmentGroup 40,1,1,2026-08-24T00:00:00.000
41,IRG000041,19,Evergreen InventoryReplenishmentGroup 41,1,1,2026-08-24T00:00:00.000
42,IRG000042,33,Delta InventoryReplenishmentGroup 42,1,1,2026-08-24T00:00:00.000
43,IRG000043,27,Riverton InventoryReplenishmentGroup 43,1,1,2026-08-24T00:00:00.000
44,IRG000044,79,Keystone InventoryReplenishmentGroup 44,1,1,2026-08-24T00:00:00.000
45,IRG000045,9,Keystone InventoryReplenishmentGroup 45,1,1,2026-08-24T00:00:00.000
46,IRG000046,21,Harbor InventoryReplenishmentGroup 46,1,1,2026-08-24T00:00:00.000
47,IRG000047,61,Unity InventoryReplenishmentGroup 47,1,1,2026-08-24T00:00:00.000
48,IRG000048,30,Orion InventoryReplenishmentGroup 48,1,1,2026-08-24T00:00:00.000
49,IRG000049,73,Atlas InventoryReplenishmentGroup 49,1,1,2026-08-24T00:00:00.000
50,IRG000050,66,Unity InventoryReplenishmentGroup 50,1,1,2026-08-24T00:00:00.000
51,IRG000051,36,Quartz InventoryReplenishmentGroup 51,1,1,2026-08-24T00:00:00.000
52,IRG000052,70,Riverton InventoryReplenishmentGroup 52,1,1,2026-08-24T00:00:00.000
53,IRG000053,22,Evergreen InventoryReplenishmentGroup 53,1,1,2026-08-24T00:00:00.000
54,IRG000054,35,Northstar InventoryReplenishmentGroup 54,1,1,2026-08-24T00:00:00.000
55,IRG000055,39,Granite InventoryReplenishmentGroup 55,1,1,2026-08-24T00:00:00.000
56,IRG000056,62,Atlas InventoryReplenishmentGroup 56,1,1,2026-08-24T00:00:00.000
57,IRG000057,32,Evergreen InventoryReplenishmentGroup 57,1,1,2026-08-24T00:00:00.000
58,IRG000058,42,Delta InventoryReplenishmentGroup 58,1,1,2026-08-24T00:00:00.000
59,IRG000059,77,Cedar InventoryReplenishmentGroup 59,1,1,2026-08-24T00:00:00.000
60,IRG000060,71,Willow InventoryReplenishmentGroup 60,1,1,2026-08-24T00:00:00.000
61,IRG000061,2,Meridian InventoryReplenishmentGroup 61,1,1,2026-08-24T00:00:00.000
62,IRG000062,67,Delta InventoryReplenishmentGroup 62,1,1,2026-08-24T00:00:00.000
63,IRG000063,25,Pioneer InventoryReplenishmentGroup 63,1,1,2026-08-24T00:00:00.000
64,IRG000064,41,Harbor InventoryReplenishmentGroup 64,1,1,2026-08-24T00:00:00.000
65,IRG000065,2,Vertex InventoryReplenishmentGroup 65,1,1,2026-08-24T00:00:00.000
66,IRG000066,25,Atlas InventoryReplenishmentGroup 66,1,1,2026-08-24T00:00:00.000
67,IRG000067,30,Evergreen InventoryReplenishmentGroup 67,1,1,2026-08-24T00:00:00.000
68,IRG000068,28,Meridian InventoryReplenishmentGroup 68,1,1,2026-08-24T00:00:00.000
69,IRG000069,27,Meridian InventoryReplenishmentGroup 69,1,1,2026-08-24T00:00:00.000
70,IRG000070,72,Keystone InventoryReplenishmentGroup 70,1,1,2026-08-24T00:00:00.000
71,IRG000071,68,Junction InventoryReplenishmentGroup 71,1,1,2026-08-24T00:00:00.000
72,IRG000072,3,Pioneer InventoryReplenishmentGroup 72,1,1,2026-08-24T00:00:00.000
73,IRG000073,4,Delta InventoryReplenishmentGroup 73,1,1,2026-08-24T00:00:00.000
74,IRG000074,57,Northstar InventoryReplenishmentGroup 74,1,1,2026-08-24T00:00:00.000
75,IRG000075,68,Northstar InventoryReplenishmentGroup 75,1,1,2026-08-24T00:00:00.000
76,IRG000076,25,Junction InventoryReplenishmentGroup 76,1,1,2026-08-24T00:00:00.000
77,IRG000077,41,Northstar InventoryReplenishmentGroup 77,1,1,2026-08-24T00:00:00.000
78,IRG000078,59,Willow InventoryReplenishmentGroup 78,1,1,2026-08-24T00:00:00.000
79,IRG000079,27,Zenith InventoryReplenishmentGroup 79,1,1,2026-08-24T00:00:00.000
80,IRG000080,16,Junction InventoryReplenishmentGroup 80,1,1,2026-08-24T00:00:00.000
81,IRG000081,40,Quartz InventoryReplenishmentGroup 81,1,1,2026-08-24T00:00:00.000
82,IRG000082,33,Northstar InventoryReplenishmentGroup 82,1,1,2026-08-24T00:00:00.000
83,IRG000083,52,Keystone InventoryReplenishmentGroup 83,1,1,2026-08-24T00:00:00.000
84,IRG000084,2,Harbor InventoryReplenishmentGroup 84,1,1,2026-08-24T00:00:00.000
85,IRG000085,63,Liberty InventoryReplenishmentGroup 85,1,1,2026-08-24T00:00:00.000
86,IRG000086,6,Summit InventoryReplenishmentGroup 86,1,1,2026-08-24T00:00:00.000
87,IRG000087,59,Pioneer InventoryReplenishmentGroup 87,1,1,2026-08-24T00:00:00.000
88,IRG000088,19,Keystone InventoryReplenishmentGroup 88,1,1,2026-08-24T00:00:00.000
89,IRG000089,17,Zenith InventoryReplenishmentGroup 89,1,1,2026-08-24T00:00:00.000
90,IRG000090,69,Titan InventoryReplenishmentGroup 90,1,1,2026-08-24T00:00:00.000
91,IRG000091,4,Orion InventoryReplenishmentGroup 91,1,1,2026-08-24T00:00:00.000
92,IRG000092,22,Pioneer InventoryReplenishmentGroup 92,1,1,2026-08-24T00:00:00.000
93,IRG000093,59,Ion InventoryReplenishmentGroup 93,1,1,2026-08-24T00:00:00.000
94,IRG000094,55,Granite InventoryReplenishmentGroup 94,1,1,2026-08-24T00:00:00.000
95,IRG000095,62,Willow InventoryReplenishmentGroup 95,1,1,2026-08-24T00:00:00.000
96,IRG000096,37,Quartz InventoryReplenishmentGroup 96,1,1,2026-08-24T00:00:00.000
97,IRG000097,18,Willow InventoryReplenishmentGroup 97,1,1,2026-08-24T00:00:00.000
98,IRG000098,57,Cedar InventoryReplenishmentGroup 98,1,1,2026-08-24T00:00:00.000
99,IRG000099,71,Harbor InventoryReplenishmentGroup 99,1,1,2026-08-24T00:00:00.000
100,IRG000100,73,Cedar InventoryReplenishmentGroup 100,1,1,2026-08-24T00:00:00.000
101,IRG000101,48,Atlas InventoryReplenishmentGroup 101,1,1,2026-08-24T00:00:00.000
