WarrantyComplaintTypeKey,ComplaintTypeCode,ServiceRepairCategoryKey,PriorityKey,ComplaintTypeName,RequiresFollowUp,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,0,-1,0,1900-01-01T00:00:00.000
1,WCT000001,22,1,Granite WarrantyComplaintType 1,1,1,1,2026-08-24T00:00:00.000
2,WCT000002,27,3,Quartz WarrantyComplaintType 2,0,1,1,2026-08-24T00:00:00.000
3,WCT000003,14,1,Quartz WarrantyComplaintType 3,1,1,1,2026-08-24T00:00:00.000
4,WCT000004,30,4,Atlas WarrantyComplaintType 4,0,1,1,2026-08-24T00:00:00.000
5,WCT000005,16,4,Atlas WarrantyComplaintType 5,1,1,1,2026-08-24T00:00:00.000
6,WCT000006,22,4,Summit WarrantyComplaintType 6,0,1,1,2026-08-24T00:00:00.000
7,WCT000007,33,1,Keystone WarrantyComplaintType 7,1,1,1,2026-08-24T00:00:00.000
8,WCT000008,19,3,Orion WarrantyComplaintType 8,0,1,1,2026-08-24T00:00:00.000
9,WCT000009,15,1,Cedar WarrantyComplaintType 9,1,1,1,2026-08-24T00:00:00.000
10,WCT000010,13,1,Evergreen WarrantyComplaintType 10,0,1,1,2026-08-24T00:00:00.000
11,WCT000011,15,5,Pioneer WarrantyComplaintType 11,1,1,1,2026-08-24T00:00:00.000
12,WCT000012,28,2,Delta WarrantyComplaintType 12,0,1,1,2026-08-24T00:00:00.000
13,WCT000013,25,2,Northstar WarrantyComplaintType 13,1,1,1,2026-08-24T00:00:00.000
14,WCT000014,9,3,Willow WarrantyComplaintType 14,0,1,1,2026-08-24T00:00:00.000
15,WCT000015,12,3,Harbor WarrantyComplaintType 15,1,1,1,2026-08-24T00:00:00.000
16,WCT000016,24,5,Quartz WarrantyComplaintType 16,0,1,1,2026-08-24T00:00:00.000
17,WCT000017,19,3,Willow WarrantyComplaintType 17,1,1,1,2026-08-24T00:00:00.000
18,WCT000018,19,3,Evergreen WarrantyComplaintType 18,0,1,1,2026-08-24T00:00:00.000
