ProductionCrewRoleKey,ProductionCrewRoleCode,ProductionCrewTypeKey,ProductionCrewRoleName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PCR000001,37,Delta ProductionCrewRole 1,1,1,2026-08-24T00:00:00.000
2,PCR000002,86,Granite ProductionCrewRole 2,1,1,2026-08-24T00:00:00.000
3,PCR000003,31,Willow ProductionCrewRole 3,1,1,2026-08-24T00:00:00.000
4,PCR000004,87,Liberty ProductionCrewRole 4,1,1,2026-08-24T00:00:00.000
5,PCR000005,5,Northstar ProductionCrewRole 5,1,1,2026-08-24T00:00:00.000
6,PCR000006,103,Willow ProductionCrewRole 6,1,1,2026-08-24T00:00:00.000
7,PCR000007,131,Forge ProductionCrewRole 7,1,1,2026-08-24T00:00:00.000
8,PCR000008,76,Evergreen ProductionCrewRole 8,1,1,2026-08-24T00:00:00.000
9,PCR000009,54,Liberty ProductionCrewRole 9,1,1,2026-08-24T00:00:00.000
10,PCR000010,111,Titan ProductionCrewRole 10,1,1,2026-08-24T00:00:00.000
11,PCR000011,66,Cedar ProductionCrewRole 11,1,1,2026-08-24T00:00:00.000
12,PCR000012,12,Beacon ProductionCrewRole 12,1,1,2026-08-24T00:00:00.000
13,PCR000013,73,Keystone ProductionCrewRole 13,1,1,2026-08-24T00:00:00.000
14,PCR000014,136,Evergreen ProductionCrewRole 14,1,1,2026-08-24T00:00:00.000
15,PCR000015,27,Vertex ProductionCrewRole 15,1,1,2026-08-24T00:00:00.000
16,PCR000016,83,Quartz ProductionCrewRole 16,1,1,2026-08-24T00:00:00.000
17,PCR000017,25,Keystone ProductionCrewRole 17,1,1,2026-08-24T00:00:00.000
18,PCR000018,57,Delta ProductionCrewRole 18,1,1,2026-08-24T00:00:00.000
19,PCR000019,80,Meridian ProductionCrewRole 19,1,1,2026-08-24T00:00:00.000
20,PCR000020,47,Riverton ProductionCrewRole 20,1,1,2026-08-24T00:00:00.000
21,PCR000021,17,Delta ProductionCrewRole 21,1,1,2026-08-24T00:00:00.000
22,PCR000022,115,Willow ProductionCrewRole 22,1,1,2026-08-24T00:00:00.000
23,PCR000023,74,Forge ProductionCrewRole 23,1,1,2026-08-24T00:00:00.000
24,PCR000024,17,Titan ProductionCrewRole 24,1,1,2026-08-24T00:00:00.000
25,PCR000025,8,Keystone ProductionCrewRole 25,1,1,2026-08-24T00:00:00.000
26,PCR000026,12,Evergreen ProductionCrewRole 26,1,1,2026-08-24T00:00:00.000
27,PCR000027,21,Meridian ProductionCrewRole 27,1,1,2026-08-24T00:00:00.000
28,PCR000028,53,Northstar ProductionCrewRole 28,1,1,2026-08-24T00:00:00.000
29,PCR000029,45,Ion ProductionCrewRole 29,1,1,2026-08-24T00:00:00.000
30,PCR000030,103,Riverton ProductionCrewRole 30,1,1,2026-08-24T00:00:00.000
31,PCR000031,16,Summit ProductionCrewRole 31,1,1,2026-08-24T00:00:00.000
32,PCR000032,88,Forge ProductionCrewRole 32,1,1,2026-08-24T00:00:00.000
33,PCR000033,7,Beacon ProductionCrewRole 33,1,1,2026-08-24T00:00:00.000
34,PCR000034,17,Vertex ProductionCrewRole 34,1,1,2026-08-24T00:00:00.000
35,PCR000035,84,Willow ProductionCrewRole 35,1,1,2026-08-24T00:00:00.000
36,PCR000036,124,Titan ProductionCrewRole 36,1,1,2026-08-24T00:00:00.000
37,PCR000037,39,Evergreen ProductionCrewRole 37,1,1,2026-08-24T00:00:00.000
38,PCR000038,40,Meridian ProductionCrewRole 38,1,1,2026-08-24T00:00:00.000
39,PCR000039,67,Willow ProductionCrewRole 39,1,1,2026-08-24T00:00:00.000
40,PCR000040,42,Pioneer ProductionCrewRole 40,1,1,2026-08-24T00:00:00.000
41,PCR000041,131,Pioneer ProductionCrewRole 41,1,1,2026-08-24T00:00:00.000
42,PCR000042,62,Willow ProductionCrewRole 42,1,1,2026-08-24T00:00:00.000
43,PCR000043,91,Atlas ProductionCrewRole 43,1,1,2026-08-24T00:00:00.000
44,PCR000044,87,Northstar ProductionCrewRole 44,1,1,2026-08-24T00:00:00.000
45,PCR000045,9,Vertex ProductionCrewRole 45,1,1,2026-08-24T00:00:00.000
46,PCR000046,17,Northstar ProductionCrewRole 46,1,1,2026-08-24T00:00:00.000
47,PCR000047,21,Zenith ProductionCrewRole 47,1,1,2026-08-24T00:00:00.000
48,PCR000048,97,Harbor ProductionCrewRole 48,1,1,2026-08-24T00:00:00.000
49,PCR000049,68,Riverton ProductionCrewRole 49,1,1,2026-08-24T00:00:00.000
50,PCR000050,63,Beacon ProductionCrewRole 50,1,1,2026-08-24T00:00:00.000
51,PCR000051,94,Pioneer ProductionCrewRole 51,1,1,2026-08-24T00:00:00.000
52,PCR000052,133,Atlas ProductionCrewRole 52,1,1,2026-08-24T00:00:00.000
53,PCR000053,19,Evergreen ProductionCrewRole 53,1,1,2026-08-24T00:00:00.000
