SafetyObligationKey,SafetyObligationCode,SafetyComplianceTopicKey,SafetyObligationName,CitationReference,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,-1,0,1900-01-01T00:00:00.000
1,SO000001,156,Harbor SafetyObligation 1,SafetyObligation-CitationReference-1,1,1,2026-08-24T00:00:00.000
2,SO000002,255,Granite SafetyObligation 2,SafetyObligation-CitationReference-2,1,1,2026-08-24T00:00:00.000
3,SO000003,289,Vertex SafetyObligation 3,SafetyObligation-CitationReference-3,1,1,2026-08-24T00:00:00.000
4,SO000004,344,Cedar SafetyObligation 4,SafetyObligation-CitationReference-4,1,1,2026-08-24T00:00:00.000
5,SO000005,246,Junction SafetyObligation 5,SafetyObligation-CitationReference-5,1,1,2026-08-24T00:00:00.000
6,SO000006,152,Keystone SafetyObligation 6,SafetyObligation-CitationReference-6,1,1,2026-08-24T00:00:00.000
7,SO000007,222,Riverton SafetyObligation 7,SafetyObligation-CitationReference-7,1,1,2026-08-24T00:00:00.000
8,SO000008,191,Beacon SafetyObligation 8,SafetyObligation-CitationReference-8,1,1,2026-08-24T00:00:00.000
9,SO000009,8,Atlas SafetyObligation 9,SafetyObligation-CitationReference-9,1,1,2026-08-24T00:00:00.000
10,SO000010,324,Riverton SafetyObligation 10,SafetyObligation-CitationReference-10,1,1,2026-08-24T00:00:00.000
11,SO000011,91,Northstar SafetyObligation 11,SafetyObligation-CitationReference-11,1,1,2026-08-24T00:00:00.000
12,SO000012,184,Orion SafetyObligation 12,SafetyObligation-CitationReference-12,1,1,2026-08-24T00:00:00.000
13,SO000013,262,Harbor SafetyObligation 13,SafetyObligation-CitationReference-13,1,1,2026-08-24T00:00:00.000
14,SO000014,152,Forge SafetyObligation 14,SafetyObligation-CitationReference-14,1,1,2026-08-24T00:00:00.000
15,SO000015,147,Pioneer SafetyObligation 15,SafetyObligation-CitationReference-15,1,1,2026-08-24T00:00:00.000
16,SO000016,304,Titan SafetyObligation 16,SafetyObligation-CitationReference-16,1,1,2026-08-24T00:00:00.000
17,SO000017,63,Keystone SafetyObligation 17,SafetyObligation-CitationReference-17,1,1,2026-08-24T00:00:00.000
18,SO000018,308,Unity SafetyObligation 18,SafetyObligation-CitationReference-18,1,1,2026-08-24T00:00:00.000
19,SO000019,172,Zenith SafetyObligation 19,SafetyObligation-CitationReference-19,1,1,2026-08-24T00:00:00.000
20,SO000020,167,Titan SafetyObligation 20,SafetyObligation-CitationReference-20,1,1,2026-08-24T00:00:00.000
21,SO000021,320,Riverton SafetyObligation 21,SafetyObligation-CitationReference-21,1,1,2026-08-24T00:00:00.000
22,SO000022,121,Keystone SafetyObligation 22,SafetyObligation-CitationReference-22,1,1,2026-08-24T00:00:00.000
23,SO000023,89,Delta SafetyObligation 23,SafetyObligation-CitationReference-23,1,1,2026-08-24T00:00:00.000
24,SO000024,215,Delta SafetyObligation 24,SafetyObligation-CitationReference-24,1,1,2026-08-24T00:00:00.000
25,SO000025,309,Titan SafetyObligation 25,SafetyObligation-CitationReference-25,1,1,2026-08-24T00:00:00.000
26,SO000026,26,Forge SafetyObligation 26,SafetyObligation-CitationReference-26,1,1,2026-08-24T00:00:00.000
27,SO000027,137,Delta SafetyObligation 27,SafetyObligation-CitationReference-27,1,1,2026-08-24T00:00:00.000
28,SO000028,24,Junction SafetyObligation 28,SafetyObligation-CitationReference-28,1,1,2026-08-24T00:00:00.000
29,SO000029,209,Titan SafetyObligation 29,SafetyObligation-CitationReference-29,1,1,2026-08-24T00:00:00.000
30,SO000030,31,Atlas SafetyObligation 30,SafetyObligation-CitationReference-30,1,1,2026-08-24T00:00:00.000
31,SO000031,209,Riverton SafetyObligation 31,SafetyObligation-CitationReference-31,1,1,2026-08-24T00:00:00.000
32,SO000032,84,Riverton SafetyObligation 32,SafetyObligation-CitationReference-32,1,1,2026-08-24T00:00:00.000
33,SO000033,314,Summit SafetyObligation 33,SafetyObligation-CitationReference-33,1,1,2026-08-24T00:00:00.000
34,SO000034,91,Meridian SafetyObligation 34,SafetyObligation-CitationReference-34,1,1,2026-08-24T00:00:00.000
35,SO000035,217,Summit SafetyObligation 35,SafetyObligation-CitationReference-35,1,1,2026-08-24T00:00:00.000
36,SO000036,34,Quartz SafetyObligation 36,SafetyObligation-CitationReference-36,1,1,2026-08-24T00:00:00.000
37,SO000037,225,Granite SafetyObligation 37,SafetyObligation-CitationReference-37,1,1,2026-08-24T00:00:00.000
38,SO000038,259,Cedar SafetyObligation 38,SafetyObligation-CitationReference-38,1,1,2026-08-24T00:00:00.000
39,SO000039,173,Granite SafetyObligation 39,SafetyObligation-CitationReference-39,1,1,2026-08-24T00:00:00.000
40,SO000040,258,Unity SafetyObligation 40,SafetyObligation-CitationReference-40,1,1,2026-08-24T00:00:00.000
41,SO000041,117,Quartz SafetyObligation 41,SafetyObligation-CitationReference-41,1,1,2026-08-24T00:00:00.000
42,SO000042,7,Willow SafetyObligation 42,SafetyObligation-CitationReference-42,1,1,2026-08-24T00:00:00.000
43,SO000043,256,Forge SafetyObligation 43,SafetyObligation-CitationReference-43,1,1,2026-08-24T00:00:00.000
44,SO000044,106,Willow SafetyObligation 44,SafetyObligation-CitationReference-44,1,1,2026-08-24T00:00:00.000
45,SO000045,63,Ion SafetyObligation 45,SafetyObligation-CitationReference-45,1,1,2026-08-24T00:00:00.000
46,SO000046,164,Vertex SafetyObligation 46,SafetyObligation-CitationReference-46,1,1,2026-08-24T00:00:00.000
47,SO000047,293,Ion SafetyObligation 47,SafetyObligation-CitationReference-47,1,1,2026-08-24T00:00:00.000
48,SO000048,315,Riverton SafetyObligation 48,SafetyObligation-CitationReference-48,1,1,2026-08-24T00:00:00.000
49,SO000049,237,Pioneer SafetyObligation 49,SafetyObligation-CitationReference-49,1,1,2026-08-24T00:00:00.000
50,SO000050,220,Cedar SafetyObligation 50,SafetyObligation-CitationReference-50,1,1,2026-08-24T00:00:00.000
51,SO000051,109,Junction SafetyObligation 51,SafetyObligation-CitationReference-51,1,1,2026-08-24T00:00:00.000
52,SO000052,87,Willow SafetyObligation 52,SafetyObligation-CitationReference-52,1,1,2026-08-24T00:00:00.000
53,SO000053,16,Ion SafetyObligation 53,SafetyObligation-CitationReference-53,1,1,2026-08-24T00:00:00.000
54,SO000054,119,Vertex SafetyObligation 54,SafetyObligation-CitationReference-54,1,1,2026-08-24T00:00:00.000
55,SO000055,194,Titan SafetyObligation 55,SafetyObligation-CitationReference-55,1,1,2026-08-24T00:00:00.000
56,SO000056,334,Ion SafetyObligation 56,SafetyObligation-CitationReference-56,1,1,2026-08-24T00:00:00.000
57,SO000057,75,Forge SafetyObligation 57,SafetyObligation-CitationReference-57,1,1,2026-08-24T00:00:00.000
58,SO000058,162,Atlas SafetyObligation 58,SafetyObligation-CitationReference-58,1,1,2026-08-24T00:00:00.000
59,SO000059,105,Granite SafetyObligation 59,SafetyObligation-CitationReference-59,1,1,2026-08-24T00:00:00.000
60,SO000060,252,Pioneer SafetyObligation 60,SafetyObligation-CitationReference-60,1,1,2026-08-24T00:00:00.000
61,SO000061,12,Evergreen SafetyObligation 61,SafetyObligation-CitationReference-61,1,1,2026-08-24T00:00:00.000
62,SO000062,100,Granite SafetyObligation 62,SafetyObligation-CitationReference-62,1,1,2026-08-24T00:00:00.000
63,SO000063,231,Vertex SafetyObligation 63,SafetyObligation-CitationReference-63,1,1,2026-08-24T00:00:00.000
64,SO000064,226,Vertex SafetyObligation 64,SafetyObligation-CitationReference-64,1,1,2026-08-24T00:00:00.000
65,SO000065,119,Summit SafetyObligation 65,SafetyObligation-CitationReference-65,1,1,2026-08-24T00:00:00.000
66,SO000066,270,Ion SafetyObligation 66,SafetyObligation-CitationReference-66,1,1,2026-08-24T00:00:00.000
