PurchaseBuyerAssignmentKey,PurchaseBuyerAssignmentCode,PurchaseSourcingDeskKey,PurchaseBuyerAssignmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PBA000001,60,Quartz PurchaseBuyerAssignment 1,1,1,2026-08-24T00:00:00.000
2,PBA000002,24,Beacon PurchaseBuyerAssignment 2,1,1,2026-08-24T00:00:00.000
3,PBA000003,21,Zenith PurchaseBuyerAssignment 3,1,1,2026-08-24T00:00:00.000
4,PBA000004,1,Unity PurchaseBuyerAssignment 4,1,1,2026-08-24T00:00:00.000
5,PBA000005,213,Keystone PurchaseBuyerAssignment 5,1,1,2026-08-24T00:00:00.000
6,PBA000006,92,Atlas PurchaseBuyerAssignment 6,1,1,2026-08-24T00:00:00.000
7,PBA000007,221,Liberty PurchaseBuyerAssignment 7,1,1,2026-08-24T00:00:00.000
8,PBA000008,74,Liberty PurchaseBuyerAssignment 8,1,1,2026-08-24T00:00:00.000
9,PBA000009,131,Keystone PurchaseBuyerAssignment 9,1,1,2026-08-24T00:00:00.000
10,PBA000010,194,Granite PurchaseBuyerAssignment 10,1,1,2026-08-24T00:00:00.000
11,PBA000011,149,Beacon PurchaseBuyerAssignment 11,1,1,2026-08-24T00:00:00.000
12,PBA000012,144,Junction PurchaseBuyerAssignment 12,1,1,2026-08-24T00:00:00.000
13,PBA000013,207,Junction PurchaseBuyerAssignment 13,1,1,2026-08-24T00:00:00.000
14,PBA000014,130,Forge PurchaseBuyerAssignment 14,1,1,2026-08-24T00:00:00.000
15,PBA000015,187,Evergreen PurchaseBuyerAssignment 15,1,1,2026-08-24T00:00:00.000
16,PBA000016,216,Summit PurchaseBuyerAssignment 16,1,1,2026-08-24T00:00:00.000
17,PBA000017,230,Liberty PurchaseBuyerAssignment 17,1,1,2026-08-24T00:00:00.000
18,PBA000018,138,Cedar PurchaseBuyerAssignment 18,1,1,2026-08-24T00:00:00.000
19,PBA000019,46,Evergreen PurchaseBuyerAssignment 19,1,1,2026-08-24T00:00:00.000
20,PBA000020,82,Atlas PurchaseBuyerAssignment 20,1,1,2026-08-24T00:00:00.000
21,PBA000021,28,Quartz PurchaseBuyerAssignment 21,1,1,2026-08-24T00:00:00.000
22,PBA000022,25,Meridian PurchaseBuyerAssignment 22,1,1,2026-08-24T00:00:00.000
23,PBA000023,34,Ion PurchaseBuyerAssignment 23,1,1,2026-08-24T00:00:00.000
24,PBA000024,162,Unity PurchaseBuyerAssignment 24,1,1,2026-08-24T00:00:00.000
25,PBA000025,16,Delta PurchaseBuyerAssignment 25,1,1,2026-08-24T00:00:00.000
26,PBA000026,181,Delta PurchaseBuyerAssignment 26,1,1,2026-08-24T00:00:00.000
27,PBA000027,120,Liberty PurchaseBuyerAssignment 27,1,1,2026-08-24T00:00:00.000
28,PBA000028,58,Ion PurchaseBuyerAssignment 28,1,1,2026-08-24T00:00:00.000
29,PBA000029,161,Atlas PurchaseBuyerAssignment 29,1,1,2026-08-24T00:00:00.000
30,PBA000030,232,Liberty PurchaseBuyerAssignment 30,1,1,2026-08-24T00:00:00.000
31,PBA000031,71,Liberty PurchaseBuyerAssignment 31,1,1,2026-08-24T00:00:00.000
32,PBA000032,122,Forge PurchaseBuyerAssignment 32,1,1,2026-08-24T00:00:00.000
33,PBA000033,218,Pioneer PurchaseBuyerAssignment 33,1,1,2026-08-24T00:00:00.000
34,PBA000034,13,Orion PurchaseBuyerAssignment 34,1,1,2026-08-24T00:00:00.000
35,PBA000035,27,Titan PurchaseBuyerAssignment 35,1,1,2026-08-24T00:00:00.000
36,PBA000036,210,Harbor PurchaseBuyerAssignment 36,1,1,2026-08-24T00:00:00.000
37,PBA000037,116,Unity PurchaseBuyerAssignment 37,1,1,2026-08-24T00:00:00.000
38,PBA000038,95,Pioneer PurchaseBuyerAssignment 38,1,1,2026-08-24T00:00:00.000
39,PBA000039,151,Evergreen PurchaseBuyerAssignment 39,1,1,2026-08-24T00:00:00.000
40,PBA000040,202,Summit PurchaseBuyerAssignment 40,1,1,2026-08-24T00:00:00.000
41,PBA000041,224,Quartz PurchaseBuyerAssignment 41,1,1,2026-08-24T00:00:00.000
42,PBA000042,161,Granite PurchaseBuyerAssignment 42,1,1,2026-08-24T00:00:00.000
43,PBA000043,134,Quartz PurchaseBuyerAssignment 43,1,1,2026-08-24T00:00:00.000
44,PBA000044,83,Evergreen PurchaseBuyerAssignment 44,1,1,2026-08-24T00:00:00.000
45,PBA000045,212,Atlas PurchaseBuyerAssignment 45,1,1,2026-08-24T00:00:00.000
46,PBA000046,214,Summit PurchaseBuyerAssignment 46,1,1,2026-08-24T00:00:00.000
47,PBA000047,39,Evergreen PurchaseBuyerAssignment 47,1,1,2026-08-24T00:00:00.000
48,PBA000048,179,Willow PurchaseBuyerAssignment 48,1,1,2026-08-24T00:00:00.000
49,PBA000049,141,Riverton PurchaseBuyerAssignment 49,1,1,2026-08-24T00:00:00.000
50,PBA000050,26,Delta PurchaseBuyerAssignment 50,1,1,2026-08-24T00:00:00.000
51,PBA000051,232,Keystone PurchaseBuyerAssignment 51,1,1,2026-08-24T00:00:00.000
52,PBA000052,229,Harbor PurchaseBuyerAssignment 52,1,1,2026-08-24T00:00:00.000
53,PBA000053,212,Granite PurchaseBuyerAssignment 53,1,1,2026-08-24T00:00:00.000
54,PBA000054,210,Willow PurchaseBuyerAssignment 54,1,1,2026-08-24T00:00:00.000
55,PBA000055,192,Zenith PurchaseBuyerAssignment 55,1,1,2026-08-24T00:00:00.000
56,PBA000056,151,Vertex PurchaseBuyerAssignment 56,1,1,2026-08-24T00:00:00.000
57,PBA000057,16,Meridian PurchaseBuyerAssignment 57,1,1,2026-08-24T00:00:00.000
58,PBA000058,223,Beacon PurchaseBuyerAssignment 58,1,1,2026-08-24T00:00:00.000
59,PBA000059,160,Summit PurchaseBuyerAssignment 59,1,1,2026-08-24T00:00:00.000
60,PBA000060,137,Unity PurchaseBuyerAssignment 60,1,1,2026-08-24T00:00:00.000
61,PBA000061,81,Harbor PurchaseBuyerAssignment 61,1,1,2026-08-24T00:00:00.000
62,PBA000062,239,Pioneer PurchaseBuyerAssignment 62,1,1,2026-08-24T00:00:00.000
63,PBA000063,136,Junction PurchaseBuyerAssignment 63,1,1,2026-08-24T00:00:00.000
64,PBA000064,107,Zenith PurchaseBuyerAssignment 64,1,1,2026-08-24T00:00:00.000
65,PBA000065,155,Harbor PurchaseBuyerAssignment 65,1,1,2026-08-24T00:00:00.000
66,PBA000066,149,Cedar PurchaseBuyerAssignment 66,1,1,2026-08-24T00:00:00.000
67,PBA000067,130,Atlas PurchaseBuyerAssignment 67,1,1,2026-08-24T00:00:00.000
68,PBA000068,84,Cedar PurchaseBuyerAssignment 68,1,1,2026-08-24T00:00:00.000
69,PBA000069,9,Willow PurchaseBuyerAssignment 69,1,1,2026-08-24T00:00:00.000
70,PBA000070,103,Titan PurchaseBuyerAssignment 70,1,1,2026-08-24T00:00:00.000
71,PBA000071,14,Northstar PurchaseBuyerAssignment 71,1,1,2026-08-24T00:00:00.000
72,PBA000072,14,Titan PurchaseBuyerAssignment 72,1,1,2026-08-24T00:00:00.000
73,PBA000073,57,Northstar PurchaseBuyerAssignment 73,1,1,2026-08-24T00:00:00.000
74,PBA000074,103,Unity PurchaseBuyerAssignment 74,1,1,2026-08-24T00:00:00.000
75,PBA000075,84,Keystone PurchaseBuyerAssignment 75,1,1,2026-08-24T00:00:00.000
76,PBA000076,68,Forge PurchaseBuyerAssignment 76,1,1,2026-08-24T00:00:00.000
77,PBA000077,100,Delta PurchaseBuyerAssignment 77,1,1,2026-08-24T00:00:00.000
78,PBA000078,203,Northstar PurchaseBuyerAssignment 78,1,1,2026-08-24T00:00:00.000
79,PBA000079,146,Beacon PurchaseBuyerAssignment 79,1,1,2026-08-24T00:00:00.000
80,PBA000080,60,Riverton PurchaseBuyerAssignment 80,1,1,2026-08-24T00:00:00.000
81,PBA000081,9,Pioneer PurchaseBuyerAssignment 81,1,1,2026-08-24T00:00:00.000
82,PBA000082,59,Riverton PurchaseBuyerAssignment 82,1,1,2026-08-24T00:00:00.000
83,PBA000083,196,Cedar PurchaseBuyerAssignment 83,1,1,2026-08-24T00:00:00.000
84,PBA000084,95,Keystone PurchaseBuyerAssignment 84,1,1,2026-08-24T00:00:00.000
85,PBA000085,26,Beacon PurchaseBuyerAssignment 85,1,1,2026-08-24T00:00:00.000
86,PBA000086,134,Riverton PurchaseBuyerAssignment 86,1,1,2026-08-24T00:00:00.000
87,PBA000087,200,Meridian PurchaseBuyerAssignment 87,1,1,2026-08-24T00:00:00.000
88,PBA000088,29,Titan PurchaseBuyerAssignment 88,1,1,2026-08-24T00:00:00.000
89,PBA000089,226,Northstar PurchaseBuyerAssignment 89,1,1,2026-08-24T00:00:00.000
90,PBA000090,182,Evergreen PurchaseBuyerAssignment 90,1,1,2026-08-24T00:00:00.000
91,PBA000091,177,Beacon PurchaseBuyerAssignment 91,1,1,2026-08-24T00:00:00.000
92,PBA000092,151,Meridian PurchaseBuyerAssignment 92,1,1,2026-08-24T00:00:00.000
93,PBA000093,162,Zenith PurchaseBuyerAssignment 93,1,1,2026-08-24T00:00:00.000
94,PBA000094,179,Willow PurchaseBuyerAssignment 94,1,1,2026-08-24T00:00:00.000
95,PBA000095,230,Willow PurchaseBuyerAssignment 95,1,1,2026-08-24T00:00:00.000
96,PBA000096,71,Orion PurchaseBuyerAssignment 96,1,1,2026-08-24T00:00:00.000
97,PBA000097,79,Unity PurchaseBuyerAssignment 97,1,1,2026-08-24T00:00:00.000
98,PBA000098,164,Orion PurchaseBuyerAssignment 98,1,1,2026-08-24T00:00:00.000
99,PBA000099,205,Cedar PurchaseBuyerAssignment 99,1,1,2026-08-24T00:00:00.000
100,PBA000100,107,Titan PurchaseBuyerAssignment 100,1,1,2026-08-24T00:00:00.000
101,PBA000101,95,Riverton PurchaseBuyerAssignment 101,1,1,2026-08-24T00:00:00.000
102,PBA000102,131,Willow PurchaseBuyerAssignment 102,1,1,2026-08-24T00:00:00.000
103,PBA000103,179,Riverton PurchaseBuyerAssignment 103,1,1,2026-08-24T00:00:00.000
104,PBA000104,30,Delta PurchaseBuyerAssignment 104,1,1,2026-08-24T00:00:00.000
105,PBA000105,42,Cedar PurchaseBuyerAssignment 105,1,1,2026-08-24T00:00:00.000
106,PBA000106,235,Riverton PurchaseBuyerAssignment 106,1,1,2026-08-24T00:00:00.000
107,PBA000107,204,Delta PurchaseBuyerAssignment 107,1,1,2026-08-24T00:00:00.000
108,PBA000108,169,Unity PurchaseBuyerAssignment 108,1,1,2026-08-24T00:00:00.000
109,PBA000109,187,Pioneer PurchaseBuyerAssignment 109,1,1,2026-08-24T00:00:00.000
110,PBA000110,43,Keystone PurchaseBuyerAssignment 110,1,1,2026-08-24T00:00:00.000
111,PBA000111,101,Harbor PurchaseBuyerAssignment 111,1,1,2026-08-24T00:00:00.000
112,PBA000112,42,Summit PurchaseBuyerAssignment 112,1,1,2026-08-24T00:00:00.000
113,PBA000113,81,Atlas PurchaseBuyerAssignment 113,1,1,2026-08-24T00:00:00.000
114,PBA000114,218,Zenith PurchaseBuyerAssignment 114,1,1,2026-08-24T00:00:00.000
115,PBA000115,237,Riverton PurchaseBuyerAssignment 115,1,1,2026-08-24T00:00:00.000
116,PBA000116,183,Delta PurchaseBuyerAssignment 116,1,1,2026-08-24T00:00:00.000
117,PBA000117,198,Willow PurchaseBuyerAssignment 117,1,1,2026-08-24T00:00:00.000
118,PBA000118,186,Granite PurchaseBuyerAssignment 118,1,1,2026-08-24T00:00:00.000
119,PBA000119,9,Forge PurchaseBuyerAssignment 119,1,1,2026-08-24T00:00:00.000
120,PBA000120,103,Cedar PurchaseBuyerAssignment 120,1,1,2026-08-24T00:00:00.000
121,PBA000121,157,Junction PurchaseBuyerAssignment 121,1,1,2026-08-24T00:00:00.000
122,PBA000122,84,Northstar PurchaseBuyerAssignment 122,1,1,2026-08-24T00:00:00.000
123,PBA000123,161,Delta PurchaseBuyerAssignment 123,1,1,2026-08-24T00:00:00.000
124,PBA000124,218,Titan PurchaseBuyerAssignment 124,1,1,2026-08-24T00:00:00.000
125,PBA000125,104,Delta PurchaseBuyerAssignment 125,1,1,2026-08-24T00:00:00.000
126,PBA000126,25,Riverton PurchaseBuyerAssignment 126,1,1,2026-08-24T00:00:00.000
127,PBA000127,165,Northstar PurchaseBuyerAssignment 127,1,1,2026-08-24T00:00:00.000
128,PBA000128,235,Liberty PurchaseBuyerAssignment 128,1,1,2026-08-24T00:00:00.000
129,PBA000129,113,Riverton PurchaseBuyerAssignment 129,1,1,2026-08-24T00:00:00.000
130,PBA000130,50,Riverton PurchaseBuyerAssignment 130,1,1,2026-08-24T00:00:00.000
131,PBA000131,240,Granite PurchaseBuyerAssignment 131,1,1,2026-08-24T00:00:00.000
132,PBA000132,81,Atlas PurchaseBuyerAssignment 132,1,1,2026-08-24T00:00:00.000
133,PBA000133,192,Harbor PurchaseBuyerAssignment 133,1,1,2026-08-24T00:00:00.000
134,PBA000134,168,Titan PurchaseBuyerAssignment 134,1,1,2026-08-24T00:00:00.000
135,PBA000135,153,Delta PurchaseBuyerAssignment 135,1,1,2026-08-24T00:00:00.000
136,PBA000136,210,Granite PurchaseBuyerAssignment 136,1,1,2026-08-24T00:00:00.000
137,PBA000137,12,Liberty PurchaseBuyerAssignment 137,1,1,2026-08-24T00:00:00.000
