LogisticsContainerKey,ContainerNumber,LogisticsCarrierKey,UnitOfMeasureKey,ContainerName,ContainerSizeCode,MaximumWeightKg,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,UNKNOWN,0.0000,-1,0,1900-01-01T00:00:00.000
1,LC000001,392,3,Titan LogisticsContainer 1,LC000001,2.0000,1,1,2026-08-24T00:00:00.000
2,LC000002,327,4,Pioneer LogisticsContainer 2,LC000002,3.0000,1,1,2026-08-24T00:00:00.000
3,LC000003,438,1,Titan LogisticsContainer 3,LC000003,4.0000,1,1,2026-08-24T00:00:00.000
4,LC000004,233,5,Ion LogisticsContainer 4,LC000004,5.0000,1,1,2026-08-24T00:00:00.000
5,LC000005,336,1,Summit LogisticsContainer 5,LC000005,6.0000,1,1,2026-08-24T00:00:00.000
6,LC000006,63,2,Granite LogisticsContainer 6,LC000006,7.0000,1,1,2026-08-24T00:00:00.000
7,LC000007,143,1,Pioneer LogisticsContainer 7,LC000007,8.0000,1,1,2026-08-24T00:00:00.000
8,LC000008,219,5,Cedar LogisticsContainer 8,LC000008,9.0000,1,1,2026-08-24T00:00:00.000
9,LC000009,184,4,Cedar LogisticsContainer 9,LC000009,10.0000,1,1,2026-08-24T00:00:00.000
10,LC000010,435,3,Evergreen LogisticsContainer 10,LC000010,11.0000,1,1,2026-08-24T00:00:00.000
11,LC000011,61,4,Liberty LogisticsContainer 11,LC000011,12.0000,1,1,2026-08-24T00:00:00.000
12,LC000012,493,3,Summit LogisticsContainer 12,LC000012,13.0000,1,1,2026-08-24T00:00:00.000
13,LC000013,154,1,Keystone LogisticsContainer 13,LC000013,14.0000,1,1,2026-08-24T00:00:00.000
14,LC000014,298,5,Titan LogisticsContainer 14,LC000014,15.0000,1,1,2026-08-24T00:00:00.000
15,LC000015,155,7,Zenith LogisticsContainer 15,LC000015,16.0000,1,1,2026-08-24T00:00:00.000
16,LC000016,64,5,Forge LogisticsContainer 16,LC000016,17.0000,1,1,2026-08-24T00:00:00.000
17,LC000017,-1,5,Cedar LogisticsContainer 17,LC000017,18.0000,1,1,2026-08-24T00:00:00.000
18,LC000018,79,7,Willow LogisticsContainer 18,LC000018,19.0000,1,1,2026-08-24T00:00:00.000
19,LC000019,100,7,Quartz LogisticsContainer 19,LC000019,20.0000,1,1,2026-08-24T00:00:00.000
20,LC000020,121,1,Beacon LogisticsContainer 20,LC000020,21.0000,1,1,2026-08-24T00:00:00.000
21,LC000021,128,4,Evergreen LogisticsContainer 21,LC000021,22.0000,1,1,2026-08-24T00:00:00.000
22,LC000022,347,5,Delta LogisticsContainer 22,LC000022,23.0000,1,1,2026-08-24T00:00:00.000
