LaborLeaveEntitlementKey,LeaveEntitlementCode,LaborJobGradeKey,LaborAbsenceReasonKey,LeaveEntitlementName,AnnualHours,CarryoverHours,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,Unknown,0.00,0.00,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LLE000001,4,9,Keystone LaborLeaveEntitlement 1,2.00,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09fb21cb037950d3bd6ade26923925f309fb21cb037950d3bd6ade26923925f3
2,LLE000002,20,5,Pioneer LaborLeaveEntitlement 2,3.00,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9c87b6a41b25f418c8d1dc9682d33f5e9c87b6a41b25f418c8d1dc9682d33f5
3,LLE000003,28,16,Summit LaborLeaveEntitlement 3,4.00,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b33f0f0ede205cc29a7443da88aa8038b33f0f0ede205cc29a7443da88aa8038
4,LLE000004,28,14,Vertex LaborLeaveEntitlement 4,5.00,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b49d5f6526e75778a108dd4030dc3757b49d5f6526e75778a108dd4030dc3757
5,LLE000005,6,8,Evergreen LaborLeaveEntitlement 5,6.00,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9fc937012ea556a9a8466b8fccd2666c9fc937012ea556a9a8466b8fccd2666
6,LLE000006,22,7,Forge LaborLeaveEntitlement 6,7.00,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6821f7273495572f802539812316222a6821f7273495572f802539812316222a
7,LLE000007,14,5,Harbor LaborLeaveEntitlement 7,8.00,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f85e7882edf0554b97fdf659b5506559f85e7882edf0554b97fdf659b5506559
8,LLE000008,21,6,Quartz LaborLeaveEntitlement 8,9.00,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7247c63f33bb59ff92e70ae31fe502a07247c63f33bb59ff92e70ae31fe502a0
9,LLE000009,26,17,Liberty LaborLeaveEntitlement 9,10.00,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d429f22ae1d521692434ca8302faea07d429f22ae1d521692434ca8302faea0
10,LLE000010,5,1,Keystone LaborLeaveEntitlement 10,11.00,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c62b8eb94a525a79a5d7dd57a1c01167c62b8eb94a525a79a5d7dd57a1c01167
