LaborSkillCategoryKey,LaborSkillCategoryCode,LaborSkillDomainKey,LaborSkillCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LSC000001,7,Quartz LaborSkillCategory 1,1,1,2026-08-24T00:00:00.000
2,LSC000002,8,Zenith LaborSkillCategory 2,1,1,2026-08-24T00:00:00.000
3,LSC000003,4,Atlas LaborSkillCategory 3,1,1,2026-08-24T00:00:00.000
4,LSC000004,9,Ion LaborSkillCategory 4,1,1,2026-08-24T00:00:00.000
5,LSC000005,3,Vertex LaborSkillCategory 5,1,1,2026-08-24T00:00:00.000
6,LSC000006,2,Harbor LaborSkillCategory 6,1,1,2026-08-24T00:00:00.000
7,LSC000007,4,Beacon LaborSkillCategory 7,1,1,2026-08-24T00:00:00.000
8,LSC000008,10,Junction LaborSkillCategory 8,1,1,2026-08-24T00:00:00.000
9,LSC000009,8,Delta LaborSkillCategory 9,1,1,2026-08-24T00:00:00.000
10,LSC000010,7,Granite LaborSkillCategory 10,1,1,2026-08-24T00:00:00.000
11,LSC000011,6,Riverton LaborSkillCategory 11,1,1,2026-08-24T00:00:00.000
12,LSC000012,12,Delta LaborSkillCategory 12,1,1,2026-08-24T00:00:00.000
13,LSC000013,9,Riverton LaborSkillCategory 13,1,1,2026-08-24T00:00:00.000
14,LSC000014,10,Titan LaborSkillCategory 14,1,1,2026-08-24T00:00:00.000
15,LSC000015,13,Summit LaborSkillCategory 15,1,1,2026-08-24T00:00:00.000
16,LSC000016,13,Atlas LaborSkillCategory 16,1,1,2026-08-24T00:00:00.000
17,LSC000017,14,Evergreen LaborSkillCategory 17,1,1,2026-08-24T00:00:00.000
18,LSC000018,2,Vertex LaborSkillCategory 18,1,1,2026-08-24T00:00:00.000
19,LSC000019,10,Orion LaborSkillCategory 19,1,1,2026-08-24T00:00:00.000
20,LSC000020,1,Zenith LaborSkillCategory 20,1,1,2026-08-24T00:00:00.000
21,LSC000021,4,Quartz LaborSkillCategory 21,1,1,2026-08-24T00:00:00.000
22,LSC000022,1,Unity LaborSkillCategory 22,1,1,2026-08-24T00:00:00.000
23,LSC000023,7,Forge LaborSkillCategory 23,1,1,2026-08-24T00:00:00.000
24,LSC000024,11,Quartz LaborSkillCategory 24,1,1,2026-08-24T00:00:00.000
25,LSC000025,8,Meridian LaborSkillCategory 25,1,1,2026-08-24T00:00:00.000
26,LSC000026,3,Keystone LaborSkillCategory 26,1,1,2026-08-24T00:00:00.000
27,LSC000027,8,Delta LaborSkillCategory 27,1,1,2026-08-24T00:00:00.000
28,LSC000028,3,Ion LaborSkillCategory 28,1,1,2026-08-24T00:00:00.000
29,LSC000029,8,Ion LaborSkillCategory 29,1,1,2026-08-24T00:00:00.000
30,LSC000030,3,Liberty LaborSkillCategory 30,1,1,2026-08-24T00:00:00.000
31,LSC000031,2,Titan LaborSkillCategory 31,1,1,2026-08-24T00:00:00.000
32,LSC000032,9,Summit LaborSkillCategory 32,1,1,2026-08-24T00:00:00.000
33,LSC000033,2,Riverton LaborSkillCategory 33,1,1,2026-08-24T00:00:00.000
34,LSC000034,1,Evergreen LaborSkillCategory 34,1,1,2026-08-24T00:00:00.000
35,LSC000035,11,Harbor LaborSkillCategory 35,1,1,2026-08-24T00:00:00.000
36,LSC000036,5,Vertex LaborSkillCategory 36,1,1,2026-08-24T00:00:00.000
37,LSC000037,4,Summit LaborSkillCategory 37,1,1,2026-08-24T00:00:00.000
38,LSC000038,6,Unity LaborSkillCategory 38,1,1,2026-08-24T00:00:00.000
39,LSC000039,2,Meridian LaborSkillCategory 39,1,1,2026-08-24T00:00:00.000
40,LSC000040,4,Titan LaborSkillCategory 40,1,1,2026-08-24T00:00:00.000
41,LSC000041,3,Willow LaborSkillCategory 41,1,1,2026-08-24T00:00:00.000
42,LSC000042,11,Zenith LaborSkillCategory 42,1,1,2026-08-24T00:00:00.000
43,LSC000043,3,Unity LaborSkillCategory 43,1,1,2026-08-24T00:00:00.000
44,LSC000044,7,Vertex LaborSkillCategory 44,1,1,2026-08-24T00:00:00.000
45,LSC000045,9,Evergreen LaborSkillCategory 45,1,1,2026-08-24T00:00:00.000
46,LSC000046,1,Riverton LaborSkillCategory 46,1,1,2026-08-24T00:00:00.000
47,LSC000047,5,Junction LaborSkillCategory 47,1,1,2026-08-24T00:00:00.000
48,LSC000048,8,Granite LaborSkillCategory 48,1,1,2026-08-24T00:00:00.000
49,LSC000049,10,Pioneer LaborSkillCategory 49,1,1,2026-08-24T00:00:00.000
50,LSC000050,4,Cedar LaborSkillCategory 50,1,1,2026-08-24T00:00:00.000
51,LSC000051,7,Unity LaborSkillCategory 51,1,1,2026-08-24T00:00:00.000
52,LSC000052,8,Beacon LaborSkillCategory 52,1,1,2026-08-24T00:00:00.000
53,LSC000053,6,Liberty LaborSkillCategory 53,1,1,2026-08-24T00:00:00.000
54,LSC000054,13,Granite LaborSkillCategory 54,1,1,2026-08-24T00:00:00.000
55,LSC000055,12,Forge LaborSkillCategory 55,1,1,2026-08-24T00:00:00.000
56,LSC000056,11,Keystone LaborSkillCategory 56,1,1,2026-08-24T00:00:00.000
57,LSC000057,8,Zenith LaborSkillCategory 57,1,1,2026-08-24T00:00:00.000
58,LSC000058,6,Summit LaborSkillCategory 58,1,1,2026-08-24T00:00:00.000
59,LSC000059,3,Orion LaborSkillCategory 59,1,1,2026-08-24T00:00:00.000
60,LSC000060,8,Quartz LaborSkillCategory 60,1,1,2026-08-24T00:00:00.000
61,LSC000061,4,Keystone LaborSkillCategory 61,1,1,2026-08-24T00:00:00.000
62,LSC000062,3,Pioneer LaborSkillCategory 62,1,1,2026-08-24T00:00:00.000
63,LSC000063,8,Northstar LaborSkillCategory 63,1,1,2026-08-24T00:00:00.000
64,LSC000064,1,Cedar LaborSkillCategory 64,1,1,2026-08-24T00:00:00.000
65,LSC000065,12,Evergreen LaborSkillCategory 65,1,1,2026-08-24T00:00:00.000
66,LSC000066,9,Riverton LaborSkillCategory 66,1,1,2026-08-24T00:00:00.000
67,LSC000067,1,Delta LaborSkillCategory 67,1,1,2026-08-24T00:00:00.000
68,LSC000068,2,Evergreen LaborSkillCategory 68,1,1,2026-08-24T00:00:00.000
69,LSC000069,14,Unity LaborSkillCategory 69,1,1,2026-08-24T00:00:00.000
70,LSC000070,13,Forge LaborSkillCategory 70,1,1,2026-08-24T00:00:00.000
71,LSC000071,14,Forge LaborSkillCategory 71,1,1,2026-08-24T00:00:00.000
72,LSC000072,3,Atlas LaborSkillCategory 72,1,1,2026-08-24T00:00:00.000
73,LSC000073,4,Titan LaborSkillCategory 73,1,1,2026-08-24T00:00:00.000
74,LSC000074,7,Northstar LaborSkillCategory 74,1,1,2026-08-24T00:00:00.000
75,LSC000075,14,Keystone LaborSkillCategory 75,1,1,2026-08-24T00:00:00.000
76,LSC000076,14,Evergreen LaborSkillCategory 76,1,1,2026-08-24T00:00:00.000
77,LSC000077,11,Evergreen LaborSkillCategory 77,1,1,2026-08-24T00:00:00.000
78,LSC000078,6,Keystone LaborSkillCategory 78,1,1,2026-08-24T00:00:00.000
79,LSC000079,10,Unity LaborSkillCategory 79,1,1,2026-08-24T00:00:00.000
80,LSC000080,10,Titan LaborSkillCategory 80,1,1,2026-08-24T00:00:00.000
81,LSC000081,6,Riverton LaborSkillCategory 81,1,1,2026-08-24T00:00:00.000
82,LSC000082,5,Summit LaborSkillCategory 82,1,1,2026-08-24T00:00:00.000
83,LSC000083,9,Atlas LaborSkillCategory 83,1,1,2026-08-24T00:00:00.000
84,LSC000084,11,Delta LaborSkillCategory 84,1,1,2026-08-24T00:00:00.000
85,LSC000085,10,Summit LaborSkillCategory 85,1,1,2026-08-24T00:00:00.000
86,LSC000086,2,Atlas LaborSkillCategory 86,1,1,2026-08-24T00:00:00.000
87,LSC000087,2,Pioneer LaborSkillCategory 87,1,1,2026-08-24T00:00:00.000
88,LSC000088,10,Meridian LaborSkillCategory 88,1,1,2026-08-24T00:00:00.000
89,LSC000089,7,Titan LaborSkillCategory 89,1,1,2026-08-24T00:00:00.000
90,LSC000090,6,Beacon LaborSkillCategory 90,1,1,2026-08-24T00:00:00.000
