PurchaseContractLineFamilyKey,PurchaseContractLineFamilyCode,PurchaseContractScheduleKey,PurchaseContractLineFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PCLF000001,471,Cedar PurchaseContractLineFamily 1,1,1,2026-08-24T00:00:00.000
2,PCLF000002,71,Granite PurchaseContractLineFamily 2,1,1,2026-08-24T00:00:00.000
3,PCLF000003,284,Cedar PurchaseContractLineFamily 3,1,1,2026-08-24T00:00:00.000
4,PCLF000004,86,Cedar PurchaseContractLineFamily 4,1,1,2026-08-24T00:00:00.000
5,PCLF000005,453,Pioneer PurchaseContractLineFamily 5,1,1,2026-08-24T00:00:00.000
6,PCLF000006,148,Junction PurchaseContractLineFamily 6,1,1,2026-08-24T00:00:00.000
7,PCLF000007,269,Orion PurchaseContractLineFamily 7,1,1,2026-08-24T00:00:00.000
8,PCLF000008,146,Atlas PurchaseContractLineFamily 8,1,1,2026-08-24T00:00:00.000
9,PCLF000009,394,Riverton PurchaseContractLineFamily 9,1,1,2026-08-24T00:00:00.000
10,PCLF000010,53,Summit PurchaseContractLineFamily 10,1,1,2026-08-24T00:00:00.000
11,PCLF000011,447,Orion PurchaseContractLineFamily 11,1,1,2026-08-24T00:00:00.000
12,PCLF000012,441,Unity PurchaseContractLineFamily 12,1,1,2026-08-24T00:00:00.000
13,PCLF000013,2,Keystone PurchaseContractLineFamily 13,1,1,2026-08-24T00:00:00.000
14,PCLF000014,227,Pioneer PurchaseContractLineFamily 14,1,1,2026-08-24T00:00:00.000
15,PCLF000015,149,Ion PurchaseContractLineFamily 15,1,1,2026-08-24T00:00:00.000
16,PCLF000016,122,Ion PurchaseContractLineFamily 16,1,1,2026-08-24T00:00:00.000
17,PCLF000017,436,Meridian PurchaseContractLineFamily 17,1,1,2026-08-24T00:00:00.000
18,PCLF000018,247,Atlas PurchaseContractLineFamily 18,1,1,2026-08-24T00:00:00.000
19,PCLF000019,83,Summit PurchaseContractLineFamily 19,1,1,2026-08-24T00:00:00.000
20,PCLF000020,58,Beacon PurchaseContractLineFamily 20,1,1,2026-08-24T00:00:00.000
