GeoStateProvinceKey,GeoStateProvinceCode,GeoCountryKey,GeoStateProvinceName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,GSP000001,115,Zenith GeoStateProvince 1,1,1,2026-08-24T00:00:00.000
2,GSP000002,161,Forge GeoStateProvince 2,1,1,2026-08-24T00:00:00.000
3,GSP000003,21,Evergreen GeoStateProvince 3,1,1,2026-08-24T00:00:00.000
4,GSP000004,102,Pioneer GeoStateProvince 4,1,1,2026-08-24T00:00:00.000
5,GSP000005,69,Evergreen GeoStateProvince 5,1,1,2026-08-24T00:00:00.000
6,GSP000006,174,Junction GeoStateProvince 6,1,1,2026-08-24T00:00:00.000
7,GSP000007,153,Pioneer GeoStateProvince 7,1,1,2026-08-24T00:00:00.000
8,GSP000008,100,Forge GeoStateProvince 8,1,1,2026-08-24T00:00:00.000
9,GSP000009,137,Summit GeoStateProvince 9,1,1,2026-08-24T00:00:00.000
10,GSP000010,55,Keystone GeoStateProvince 10,1,1,2026-08-24T00:00:00.000
11,GSP000011,127,Unity GeoStateProvince 11,1,1,2026-08-24T00:00:00.000
12,GSP000012,120,Northstar GeoStateProvince 12,1,1,2026-08-24T00:00:00.000
13,GSP000013,126,Quartz GeoStateProvince 13,1,1,2026-08-24T00:00:00.000
14,GSP000014,25,Atlas GeoStateProvince 14,1,1,2026-08-24T00:00:00.000
15,GSP000015,22,Zenith GeoStateProvince 15,1,1,2026-08-24T00:00:00.000
16,GSP000016,5,Unity GeoStateProvince 16,1,1,2026-08-24T00:00:00.000
17,GSP000017,81,Zenith GeoStateProvince 17,1,1,2026-08-24T00:00:00.000
18,GSP000018,159,Atlas GeoStateProvince 18,1,1,2026-08-24T00:00:00.000
19,GSP000019,81,Orion GeoStateProvince 19,1,1,2026-08-24T00:00:00.000
20,GSP000020,93,Willow GeoStateProvince 20,1,1,2026-08-24T00:00:00.000
21,GSP000021,19,Forge GeoStateProvince 21,1,1,2026-08-24T00:00:00.000
22,GSP000022,116,Harbor GeoStateProvince 22,1,1,2026-08-24T00:00:00.000
23,GSP000023,87,Ion GeoStateProvince 23,1,1,2026-08-24T00:00:00.000
24,GSP000024,22,Titan GeoStateProvince 24,1,1,2026-08-24T00:00:00.000
25,GSP000025,80,Zenith GeoStateProvince 25,1,1,2026-08-24T00:00:00.000
26,GSP000026,176,Quartz GeoStateProvince 26,1,1,2026-08-24T00:00:00.000
27,GSP000027,100,Keystone GeoStateProvince 27,1,1,2026-08-24T00:00:00.000
28,GSP000028,145,Northstar GeoStateProvince 28,1,1,2026-08-24T00:00:00.000
29,GSP000029,32,Atlas GeoStateProvince 29,1,1,2026-08-24T00:00:00.000
30,GSP000030,49,Northstar GeoStateProvince 30,1,1,2026-08-24T00:00:00.000
31,GSP000031,161,Beacon GeoStateProvince 31,1,1,2026-08-24T00:00:00.000
32,GSP000032,166,Evergreen GeoStateProvince 32,1,1,2026-08-24T00:00:00.000
33,GSP000033,63,Zenith GeoStateProvince 33,1,1,2026-08-24T00:00:00.000
34,GSP000034,22,Forge GeoStateProvince 34,1,1,2026-08-24T00:00:00.000
35,GSP000035,55,Northstar GeoStateProvince 35,1,1,2026-08-24T00:00:00.000
36,GSP000036,100,Forge GeoStateProvince 36,1,1,2026-08-24T00:00:00.000
37,GSP000037,42,Harbor GeoStateProvince 37,1,1,2026-08-24T00:00:00.000
38,GSP000038,73,Summit GeoStateProvince 38,1,1,2026-08-24T00:00:00.000
39,GSP000039,171,Granite GeoStateProvince 39,1,1,2026-08-24T00:00:00.000
40,GSP000040,55,Summit GeoStateProvince 40,1,1,2026-08-24T00:00:00.000
41,GSP000041,113,Delta GeoStateProvince 41,1,1,2026-08-24T00:00:00.000
42,GSP000042,30,Unity GeoStateProvince 42,1,1,2026-08-24T00:00:00.000
43,GSP000043,78,Granite GeoStateProvince 43,1,1,2026-08-24T00:00:00.000
44,GSP000044,110,Vertex GeoStateProvince 44,1,1,2026-08-24T00:00:00.000
45,GSP000045,40,Forge GeoStateProvince 45,1,1,2026-08-24T00:00:00.000
46,GSP000046,43,Pioneer GeoStateProvince 46,1,1,2026-08-24T00:00:00.000
47,GSP000047,32,Titan GeoStateProvince 47,1,1,2026-08-24T00:00:00.000
48,GSP000048,163,Pioneer GeoStateProvince 48,1,1,2026-08-24T00:00:00.000
49,GSP000049,100,Meridian GeoStateProvince 49,1,1,2026-08-24T00:00:00.000
50,GSP000050,156,Willow GeoStateProvince 50,1,1,2026-08-24T00:00:00.000
51,GSP000051,49,Meridian GeoStateProvince 51,1,1,2026-08-24T00:00:00.000
52,GSP000052,7,Pioneer GeoStateProvince 52,1,1,2026-08-24T00:00:00.000
53,GSP000053,139,Vertex GeoStateProvince 53,1,1,2026-08-24T00:00:00.000
54,GSP000054,92,Beacon GeoStateProvince 54,1,1,2026-08-24T00:00:00.000
55,GSP000055,33,Liberty GeoStateProvince 55,1,1,2026-08-24T00:00:00.000
56,GSP000056,147,Ion GeoStateProvince 56,1,1,2026-08-24T00:00:00.000
57,GSP000057,70,Cedar GeoStateProvince 57,1,1,2026-08-24T00:00:00.000
58,GSP000058,65,Cedar GeoStateProvince 58,1,1,2026-08-24T00:00:00.000
59,GSP000059,100,Quartz GeoStateProvince 59,1,1,2026-08-24T00:00:00.000
60,GSP000060,140,Meridian GeoStateProvince 60,1,1,2026-08-24T00:00:00.000
61,GSP000061,61,Ion GeoStateProvince 61,1,1,2026-08-24T00:00:00.000
62,GSP000062,65,Vertex GeoStateProvince 62,1,1,2026-08-24T00:00:00.000
63,GSP000063,115,Atlas GeoStateProvince 63,1,1,2026-08-24T00:00:00.000
64,GSP000064,49,Quartz GeoStateProvince 64,1,1,2026-08-24T00:00:00.000
65,GSP000065,114,Beacon GeoStateProvince 65,1,1,2026-08-24T00:00:00.000
66,GSP000066,152,Atlas GeoStateProvince 66,1,1,2026-08-24T00:00:00.000
67,GSP000067,20,Forge GeoStateProvince 67,1,1,2026-08-24T00:00:00.000
68,GSP000068,15,Northstar GeoStateProvince 68,1,1,2026-08-24T00:00:00.000
69,GSP000069,108,Meridian GeoStateProvince 69,1,1,2026-08-24T00:00:00.000
70,GSP000070,82,Titan GeoStateProvince 70,1,1,2026-08-24T00:00:00.000
71,GSP000071,125,Unity GeoStateProvince 71,1,1,2026-08-24T00:00:00.000
72,GSP000072,122,Willow GeoStateProvince 72,1,1,2026-08-24T00:00:00.000
