MachineCapacityClassKey,MachineCapacityClassCode,MachineCapacityFamilyKey,MachineCapacityClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MCC000001,8,Vertex MachineCapacityClass 1,1,1,2026-08-24T00:00:00.000
2,MCC000002,3,Riverton MachineCapacityClass 2,1,1,2026-08-24T00:00:00.000
3,MCC000003,3,Northstar MachineCapacityClass 3,1,1,2026-08-24T00:00:00.000
4,MCC000004,10,Quartz MachineCapacityClass 4,1,1,2026-08-24T00:00:00.000
5,MCC000005,3,Summit MachineCapacityClass 5,1,1,2026-08-24T00:00:00.000
6,MCC000006,6,Titan MachineCapacityClass 6,1,1,2026-08-24T00:00:00.000
7,MCC000007,5,Forge MachineCapacityClass 7,1,1,2026-08-24T00:00:00.000
8,MCC000008,3,Titan MachineCapacityClass 8,1,1,2026-08-24T00:00:00.000
9,MCC000009,1,Pioneer MachineCapacityClass 9,1,1,2026-08-24T00:00:00.000
10,MCC000010,8,Zenith MachineCapacityClass 10,1,1,2026-08-24T00:00:00.000
11,MCC000011,1,Northstar MachineCapacityClass 11,1,1,2026-08-24T00:00:00.000
12,MCC000012,4,Junction MachineCapacityClass 12,1,1,2026-08-24T00:00:00.000
13,MCC000013,5,Quartz MachineCapacityClass 13,1,1,2026-08-24T00:00:00.000
14,MCC000014,1,Beacon MachineCapacityClass 14,1,1,2026-08-24T00:00:00.000
15,MCC000015,7,Beacon MachineCapacityClass 15,1,1,2026-08-24T00:00:00.000
16,MCC000016,6,Zenith MachineCapacityClass 16,1,1,2026-08-24T00:00:00.000
17,MCC000017,11,Titan MachineCapacityClass 17,1,1,2026-08-24T00:00:00.000
18,MCC000018,6,Riverton MachineCapacityClass 18,1,1,2026-08-24T00:00:00.000
19,MCC000019,2,Pioneer MachineCapacityClass 19,1,1,2026-08-24T00:00:00.000
20,MCC000020,1,Forge MachineCapacityClass 20,1,1,2026-08-24T00:00:00.000
21,MCC000021,4,Evergreen MachineCapacityClass 21,1,1,2026-08-24T00:00:00.000
22,MCC000022,2,Titan MachineCapacityClass 22,1,1,2026-08-24T00:00:00.000
23,MCC000023,9,Atlas MachineCapacityClass 23,1,1,2026-08-24T00:00:00.000
24,MCC000024,5,Zenith MachineCapacityClass 24,1,1,2026-08-24T00:00:00.000
25,MCC000025,12,Summit MachineCapacityClass 25,1,1,2026-08-24T00:00:00.000
26,MCC000026,6,Evergreen MachineCapacityClass 26,1,1,2026-08-24T00:00:00.000
27,MCC000027,12,Beacon MachineCapacityClass 27,1,1,2026-08-24T00:00:00.000
28,MCC000028,4,Keystone MachineCapacityClass 28,1,1,2026-08-24T00:00:00.000
29,MCC000029,6,Orion MachineCapacityClass 29,1,1,2026-08-24T00:00:00.000
30,MCC000030,1,Quartz MachineCapacityClass 30,1,1,2026-08-24T00:00:00.000
31,MCC000031,11,Northstar MachineCapacityClass 31,1,1,2026-08-24T00:00:00.000
32,MCC000032,11,Riverton MachineCapacityClass 32,1,1,2026-08-24T00:00:00.000
33,MCC000033,8,Summit MachineCapacityClass 33,1,1,2026-08-24T00:00:00.000
34,MCC000034,12,Quartz MachineCapacityClass 34,1,1,2026-08-24T00:00:00.000
35,MCC000035,12,Titan MachineCapacityClass 35,1,1,2026-08-24T00:00:00.000
36,MCC000036,7,Willow MachineCapacityClass 36,1,1,2026-08-24T00:00:00.000
37,MCC000037,9,Unity MachineCapacityClass 37,1,1,2026-08-24T00:00:00.000
38,MCC000038,3,Pioneer MachineCapacityClass 38,1,1,2026-08-24T00:00:00.000
39,MCC000039,10,Unity MachineCapacityClass 39,1,1,2026-08-24T00:00:00.000
40,MCC000040,9,Liberty MachineCapacityClass 40,1,1,2026-08-24T00:00:00.000
41,MCC000041,9,Summit MachineCapacityClass 41,1,1,2026-08-24T00:00:00.000
42,MCC000042,6,Beacon MachineCapacityClass 42,1,1,2026-08-24T00:00:00.000
43,MCC000043,4,Unity MachineCapacityClass 43,1,1,2026-08-24T00:00:00.000
44,MCC000044,7,Willow MachineCapacityClass 44,1,1,2026-08-24T00:00:00.000
45,MCC000045,11,Granite MachineCapacityClass 45,1,1,2026-08-24T00:00:00.000
46,MCC000046,4,Meridian MachineCapacityClass 46,1,1,2026-08-24T00:00:00.000
47,MCC000047,7,Riverton MachineCapacityClass 47,1,1,2026-08-24T00:00:00.000
48,MCC000048,9,Liberty MachineCapacityClass 48,1,1,2026-08-24T00:00:00.000
49,MCC000049,1,Liberty MachineCapacityClass 49,1,1,2026-08-24T00:00:00.000
50,MCC000050,5,Northstar MachineCapacityClass 50,1,1,2026-08-24T00:00:00.000
51,MCC000051,4,Zenith MachineCapacityClass 51,1,1,2026-08-24T00:00:00.000
52,MCC000052,12,Atlas MachineCapacityClass 52,1,1,2026-08-24T00:00:00.000
53,MCC000053,11,Keystone MachineCapacityClass 53,1,1,2026-08-24T00:00:00.000
54,MCC000054,9,Pioneer MachineCapacityClass 54,1,1,2026-08-24T00:00:00.000
55,MCC000055,9,Cedar MachineCapacityClass 55,1,1,2026-08-24T00:00:00.000
56,MCC000056,7,Ion MachineCapacityClass 56,1,1,2026-08-24T00:00:00.000
57,MCC000057,3,Vertex MachineCapacityClass 57,1,1,2026-08-24T00:00:00.000
58,MCC000058,10,Forge MachineCapacityClass 58,1,1,2026-08-24T00:00:00.000
59,MCC000059,8,Atlas MachineCapacityClass 59,1,1,2026-08-24T00:00:00.000
60,MCC000060,5,Delta MachineCapacityClass 60,1,1,2026-08-24T00:00:00.000
