InventoryPolicySegmentKey,InventoryPolicySegmentCode,InventoryReplenishmentGroupKey,InventoryPolicySegmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IPS000001,73,Zenith InventoryPolicySegment 1,1,1,2026-08-24T00:00:00.000
2,IPS000002,48,Meridian InventoryPolicySegment 2,1,1,2026-08-24T00:00:00.000
3,IPS000003,104,Summit InventoryPolicySegment 3,1,1,2026-08-24T00:00:00.000
4,IPS000004,101,Harbor InventoryPolicySegment 4,1,1,2026-08-24T00:00:00.000
5,IPS000005,116,Orion InventoryPolicySegment 5,1,1,2026-08-24T00:00:00.000
6,IPS000006,89,Titan InventoryPolicySegment 6,1,1,2026-08-24T00:00:00.000
7,IPS000007,20,Delta InventoryPolicySegment 7,1,1,2026-08-24T00:00:00.000
8,IPS000008,335,Vertex InventoryPolicySegment 8,1,1,2026-08-24T00:00:00.000
9,IPS000009,312,Ion InventoryPolicySegment 9,1,1,2026-08-24T00:00:00.000
10,IPS000010,157,Forge InventoryPolicySegment 10,1,1,2026-08-24T00:00:00.000
11,IPS000011,95,Zenith InventoryPolicySegment 11,1,1,2026-08-24T00:00:00.000
12,IPS000012,275,Granite InventoryPolicySegment 12,1,1,2026-08-24T00:00:00.000
13,IPS000013,246,Willow InventoryPolicySegment 13,1,1,2026-08-24T00:00:00.000
14,IPS000014,150,Granite InventoryPolicySegment 14,1,1,2026-08-24T00:00:00.000
15,IPS000015,245,Unity InventoryPolicySegment 15,1,1,2026-08-24T00:00:00.000
16,IPS000016,224,Pioneer InventoryPolicySegment 16,1,1,2026-08-24T00:00:00.000
17,IPS000017,337,Liberty InventoryPolicySegment 17,1,1,2026-08-24T00:00:00.000
18,IPS000018,289,Junction InventoryPolicySegment 18,1,1,2026-08-24T00:00:00.000
19,IPS000019,228,Vertex InventoryPolicySegment 19,1,1,2026-08-24T00:00:00.000
20,IPS000020,171,Ion InventoryPolicySegment 20,1,1,2026-08-24T00:00:00.000
21,IPS000021,21,Vertex InventoryPolicySegment 21,1,1,2026-08-24T00:00:00.000
22,IPS000022,187,Summit InventoryPolicySegment 22,1,1,2026-08-24T00:00:00.000
23,IPS000023,120,Summit InventoryPolicySegment 23,1,1,2026-08-24T00:00:00.000
24,IPS000024,276,Junction InventoryPolicySegment 24,1,1,2026-08-24T00:00:00.000
25,IPS000025,118,Riverton InventoryPolicySegment 25,1,1,2026-08-24T00:00:00.000
26,IPS000026,265,Orion InventoryPolicySegment 26,1,1,2026-08-24T00:00:00.000
27,IPS000027,51,Northstar InventoryPolicySegment 27,1,1,2026-08-24T00:00:00.000
28,IPS000028,248,Summit InventoryPolicySegment 28,1,1,2026-08-24T00:00:00.000
29,IPS000029,197,Harbor InventoryPolicySegment 29,1,1,2026-08-24T00:00:00.000
30,IPS000030,60,Harbor InventoryPolicySegment 30,1,1,2026-08-24T00:00:00.000
31,IPS000031,248,Beacon InventoryPolicySegment 31,1,1,2026-08-24T00:00:00.000
32,IPS000032,71,Keystone InventoryPolicySegment 32,1,1,2026-08-24T00:00:00.000
33,IPS000033,187,Vertex InventoryPolicySegment 33,1,1,2026-08-24T00:00:00.000
34,IPS000034,254,Riverton InventoryPolicySegment 34,1,1,2026-08-24T00:00:00.000
35,IPS000035,324,Harbor InventoryPolicySegment 35,1,1,2026-08-24T00:00:00.000
36,IPS000036,49,Atlas InventoryPolicySegment 36,1,1,2026-08-24T00:00:00.000
37,IPS000037,332,Junction InventoryPolicySegment 37,1,1,2026-08-24T00:00:00.000
38,IPS000038,182,Orion InventoryPolicySegment 38,1,1,2026-08-24T00:00:00.000
39,IPS000039,352,Northstar InventoryPolicySegment 39,1,1,2026-08-24T00:00:00.000
40,IPS000040,254,Cedar InventoryPolicySegment 40,1,1,2026-08-24T00:00:00.000
41,IPS000041,117,Liberty InventoryPolicySegment 41,1,1,2026-08-24T00:00:00.000
42,IPS000042,258,Unity InventoryPolicySegment 42,1,1,2026-08-24T00:00:00.000
43,IPS000043,202,Summit InventoryPolicySegment 43,1,1,2026-08-24T00:00:00.000
44,IPS000044,259,Zenith InventoryPolicySegment 44,1,1,2026-08-24T00:00:00.000
45,IPS000045,89,Junction InventoryPolicySegment 45,1,1,2026-08-24T00:00:00.000
46,IPS000046,153,Harbor InventoryPolicySegment 46,1,1,2026-08-24T00:00:00.000
47,IPS000047,122,Evergreen InventoryPolicySegment 47,1,1,2026-08-24T00:00:00.000
48,IPS000048,239,Orion InventoryPolicySegment 48,1,1,2026-08-24T00:00:00.000
49,IPS000049,278,Junction InventoryPolicySegment 49,1,1,2026-08-24T00:00:00.000
50,IPS000050,15,Zenith InventoryPolicySegment 50,1,1,2026-08-24T00:00:00.000
51,IPS000051,182,Willow InventoryPolicySegment 51,1,1,2026-08-24T00:00:00.000
52,IPS000052,199,Zenith InventoryPolicySegment 52,1,1,2026-08-24T00:00:00.000
53,IPS000053,98,Atlas InventoryPolicySegment 53,1,1,2026-08-24T00:00:00.000
54,IPS000054,189,Granite InventoryPolicySegment 54,1,1,2026-08-24T00:00:00.000
55,IPS000055,111,Unity InventoryPolicySegment 55,1,1,2026-08-24T00:00:00.000
56,IPS000056,126,Atlas InventoryPolicySegment 56,1,1,2026-08-24T00:00:00.000
57,IPS000057,249,Cedar InventoryPolicySegment 57,1,1,2026-08-24T00:00:00.000
58,IPS000058,293,Granite InventoryPolicySegment 58,1,1,2026-08-24T00:00:00.000
59,IPS000059,340,Atlas InventoryPolicySegment 59,1,1,2026-08-24T00:00:00.000
60,IPS000060,286,Vertex InventoryPolicySegment 60,1,1,2026-08-24T00:00:00.000
61,IPS000061,318,Liberty InventoryPolicySegment 61,1,1,2026-08-24T00:00:00.000
62,IPS000062,165,Liberty InventoryPolicySegment 62,1,1,2026-08-24T00:00:00.000
63,IPS000063,311,Northstar InventoryPolicySegment 63,1,1,2026-08-24T00:00:00.000
64,IPS000064,265,Unity InventoryPolicySegment 64,1,1,2026-08-24T00:00:00.000
65,IPS000065,217,Ion InventoryPolicySegment 65,1,1,2026-08-24T00:00:00.000
66,IPS000066,16,Riverton InventoryPolicySegment 66,1,1,2026-08-24T00:00:00.000
67,IPS000067,280,Ion InventoryPolicySegment 67,1,1,2026-08-24T00:00:00.000
68,IPS000068,169,Zenith InventoryPolicySegment 68,1,1,2026-08-24T00:00:00.000
69,IPS000069,265,Cedar InventoryPolicySegment 69,1,1,2026-08-24T00:00:00.000
70,IPS000070,76,Evergreen InventoryPolicySegment 70,1,1,2026-08-24T00:00:00.000
71,IPS000071,59,Riverton InventoryPolicySegment 71,1,1,2026-08-24T00:00:00.000
72,IPS000072,62,Junction InventoryPolicySegment 72,1,1,2026-08-24T00:00:00.000
73,IPS000073,257,Delta InventoryPolicySegment 73,1,1,2026-08-24T00:00:00.000
74,IPS000074,342,Junction InventoryPolicySegment 74,1,1,2026-08-24T00:00:00.000
75,IPS000075,130,Junction InventoryPolicySegment 75,1,1,2026-08-24T00:00:00.000
76,IPS000076,29,Evergreen InventoryPolicySegment 76,1,1,2026-08-24T00:00:00.000
77,IPS000077,128,Beacon InventoryPolicySegment 77,1,1,2026-08-24T00:00:00.000
78,IPS000078,323,Vertex InventoryPolicySegment 78,1,1,2026-08-24T00:00:00.000
79,IPS000079,242,Forge InventoryPolicySegment 79,1,1,2026-08-24T00:00:00.000
80,IPS000080,128,Junction InventoryPolicySegment 80,1,1,2026-08-24T00:00:00.000
81,IPS000081,241,Delta InventoryPolicySegment 81,1,1,2026-08-24T00:00:00.000
82,IPS000082,96,Riverton InventoryPolicySegment 82,1,1,2026-08-24T00:00:00.000
83,IPS000083,143,Ion InventoryPolicySegment 83,1,1,2026-08-24T00:00:00.000
84,IPS000084,341,Ion InventoryPolicySegment 84,1,1,2026-08-24T00:00:00.000
85,IPS000085,137,Harbor InventoryPolicySegment 85,1,1,2026-08-24T00:00:00.000
86,IPS000086,284,Forge InventoryPolicySegment 86,1,1,2026-08-24T00:00:00.000
87,IPS000087,148,Liberty InventoryPolicySegment 87,1,1,2026-08-24T00:00:00.000
88,IPS000088,163,Willow InventoryPolicySegment 88,1,1,2026-08-24T00:00:00.000
89,IPS000089,21,Northstar InventoryPolicySegment 89,1,1,2026-08-24T00:00:00.000
90,IPS000090,14,Forge InventoryPolicySegment 90,1,1,2026-08-24T00:00:00.000
91,IPS000091,229,Granite InventoryPolicySegment 91,1,1,2026-08-24T00:00:00.000
92,IPS000092,198,Atlas InventoryPolicySegment 92,1,1,2026-08-24T00:00:00.000
93,IPS000093,354,Granite InventoryPolicySegment 93,1,1,2026-08-24T00:00:00.000
94,IPS000094,71,Northstar InventoryPolicySegment 94,1,1,2026-08-24T00:00:00.000
95,IPS000095,84,Summit InventoryPolicySegment 95,1,1,2026-08-24T00:00:00.000
96,IPS000096,347,Ion InventoryPolicySegment 96,1,1,2026-08-24T00:00:00.000
97,IPS000097,59,Cedar InventoryPolicySegment 97,1,1,2026-08-24T00:00:00.000
98,IPS000098,9,Ion InventoryPolicySegment 98,1,1,2026-08-24T00:00:00.000
99,IPS000099,301,Ion InventoryPolicySegment 99,1,1,2026-08-24T00:00:00.000
100,IPS000100,153,Zenith InventoryPolicySegment 100,1,1,2026-08-24T00:00:00.000
101,IPS000101,311,Harbor InventoryPolicySegment 101,1,1,2026-08-24T00:00:00.000
102,IPS000102,345,Meridian InventoryPolicySegment 102,1,1,2026-08-24T00:00:00.000
103,IPS000103,113,Meridian InventoryPolicySegment 103,1,1,2026-08-24T00:00:00.000
104,IPS000104,140,Keystone InventoryPolicySegment 104,1,1,2026-08-24T00:00:00.000
105,IPS000105,328,Liberty InventoryPolicySegment 105,1,1,2026-08-24T00:00:00.000
106,IPS000106,141,Unity InventoryPolicySegment 106,1,1,2026-08-24T00:00:00.000
107,IPS000107,44,Willow InventoryPolicySegment 107,1,1,2026-08-24T00:00:00.000
108,IPS000108,175,Beacon InventoryPolicySegment 108,1,1,2026-08-24T00:00:00.000
109,IPS000109,71,Summit InventoryPolicySegment 109,1,1,2026-08-24T00:00:00.000
110,IPS000110,127,Summit InventoryPolicySegment 110,1,1,2026-08-24T00:00:00.000
111,IPS000111,249,Zenith InventoryPolicySegment 111,1,1,2026-08-24T00:00:00.000
112,IPS000112,7,Riverton InventoryPolicySegment 112,1,1,2026-08-24T00:00:00.000
113,IPS000113,86,Meridian InventoryPolicySegment 113,1,1,2026-08-24T00:00:00.000
114,IPS000114,251,Titan InventoryPolicySegment 114,1,1,2026-08-24T00:00:00.000
115,IPS000115,145,Titan InventoryPolicySegment 115,1,1,2026-08-24T00:00:00.000
116,IPS000116,247,Riverton InventoryPolicySegment 116,1,1,2026-08-24T00:00:00.000
117,IPS000117,60,Cedar InventoryPolicySegment 117,1,1,2026-08-24T00:00:00.000
118,IPS000118,354,Summit InventoryPolicySegment 118,1,1,2026-08-24T00:00:00.000
119,IPS000119,60,Riverton InventoryPolicySegment 119,1,1,2026-08-24T00:00:00.000
120,IPS000120,60,Ion InventoryPolicySegment 120,1,1,2026-08-24T00:00:00.000
121,IPS000121,352,Willow InventoryPolicySegment 121,1,1,2026-08-24T00:00:00.000
122,IPS000122,133,Pioneer InventoryPolicySegment 122,1,1,2026-08-24T00:00:00.000
123,IPS000123,22,Granite InventoryPolicySegment 123,1,1,2026-08-24T00:00:00.000
124,IPS000124,133,Orion InventoryPolicySegment 124,1,1,2026-08-24T00:00:00.000
125,IPS000125,211,Ion InventoryPolicySegment 125,1,1,2026-08-24T00:00:00.000
126,IPS000126,333,Orion InventoryPolicySegment 126,1,1,2026-08-24T00:00:00.000
127,IPS000127,34,Riverton InventoryPolicySegment 127,1,1,2026-08-24T00:00:00.000
128,IPS000128,284,Vertex InventoryPolicySegment 128,1,1,2026-08-24T00:00:00.000
129,IPS000129,334,Meridian InventoryPolicySegment 129,1,1,2026-08-24T00:00:00.000
130,IPS000130,184,Summit InventoryPolicySegment 130,1,1,2026-08-24T00:00:00.000
131,IPS000131,90,Northstar InventoryPolicySegment 131,1,1,2026-08-24T00:00:00.000
132,IPS000132,98,Quartz InventoryPolicySegment 132,1,1,2026-08-24T00:00:00.000
133,IPS000133,113,Delta InventoryPolicySegment 133,1,1,2026-08-24T00:00:00.000
134,IPS000134,261,Summit InventoryPolicySegment 134,1,1,2026-08-24T00:00:00.000
135,IPS000135,237,Quartz InventoryPolicySegment 135,1,1,2026-08-24T00:00:00.000
136,IPS000136,299,Summit InventoryPolicySegment 136,1,1,2026-08-24T00:00:00.000
137,IPS000137,321,Titan InventoryPolicySegment 137,1,1,2026-08-24T00:00:00.000
138,IPS000138,167,Junction InventoryPolicySegment 138,1,1,2026-08-24T00:00:00.000
139,IPS000139,247,Beacon InventoryPolicySegment 139,1,1,2026-08-24T00:00:00.000
140,IPS000140,191,Summit InventoryPolicySegment 140,1,1,2026-08-24T00:00:00.000
141,IPS000141,248,Delta InventoryPolicySegment 141,1,1,2026-08-24T00:00:00.000
142,IPS000142,134,Liberty InventoryPolicySegment 142,1,1,2026-08-24T00:00:00.000
143,IPS000143,52,Beacon InventoryPolicySegment 143,1,1,2026-08-24T00:00:00.000
144,IPS000144,20,Orion InventoryPolicySegment 144,1,1,2026-08-24T00:00:00.000
145,IPS000145,334,Riverton InventoryPolicySegment 145,1,1,2026-08-24T00:00:00.000
146,IPS000146,139,Harbor InventoryPolicySegment 146,1,1,2026-08-24T00:00:00.000
147,IPS000147,220,Pioneer InventoryPolicySegment 147,1,1,2026-08-24T00:00:00.000
148,IPS000148,230,Unity InventoryPolicySegment 148,1,1,2026-08-24T00:00:00.000
149,IPS000149,305,Beacon InventoryPolicySegment 149,1,1,2026-08-24T00:00:00.000
150,IPS000150,175,Riverton InventoryPolicySegment 150,1,1,2026-08-24T00:00:00.000
151,IPS000151,161,Ion InventoryPolicySegment 151,1,1,2026-08-24T00:00:00.000
152,IPS000152,282,Riverton InventoryPolicySegment 152,1,1,2026-08-24T00:00:00.000
153,IPS000153,250,Willow InventoryPolicySegment 153,1,1,2026-08-24T00:00:00.000
154,IPS000154,133,Harbor InventoryPolicySegment 154,1,1,2026-08-24T00:00:00.000
155,IPS000155,124,Titan InventoryPolicySegment 155,1,1,2026-08-24T00:00:00.000
156,IPS000156,123,Willow InventoryPolicySegment 156,1,1,2026-08-24T00:00:00.000
157,IPS000157,178,Vertex InventoryPolicySegment 157,1,1,2026-08-24T00:00:00.000
158,IPS000158,223,Junction InventoryPolicySegment 158,1,1,2026-08-24T00:00:00.000
159,IPS000159,307,Orion InventoryPolicySegment 159,1,1,2026-08-24T00:00:00.000
160,IPS000160,287,Quartz InventoryPolicySegment 160,1,1,2026-08-24T00:00:00.000
161,IPS000161,356,Pioneer InventoryPolicySegment 161,1,1,2026-08-24T00:00:00.000
162,IPS000162,99,Unity InventoryPolicySegment 162,1,1,2026-08-24T00:00:00.000
163,IPS000163,267,Liberty InventoryPolicySegment 163,1,1,2026-08-24T00:00:00.000
164,IPS000164,284,Ion InventoryPolicySegment 164,1,1,2026-08-24T00:00:00.000
165,IPS000165,330,Quartz InventoryPolicySegment 165,1,1,2026-08-24T00:00:00.000
166,IPS000166,173,Willow InventoryPolicySegment 166,1,1,2026-08-24T00:00:00.000
167,IPS000167,14,Liberty InventoryPolicySegment 167,1,1,2026-08-24T00:00:00.000
168,IPS000168,70,Willow InventoryPolicySegment 168,1,1,2026-08-24T00:00:00.000
169,IPS000169,288,Willow InventoryPolicySegment 169,1,1,2026-08-24T00:00:00.000
170,IPS000170,147,Harbor InventoryPolicySegment 170,1,1,2026-08-24T00:00:00.000
171,IPS000171,176,Titan InventoryPolicySegment 171,1,1,2026-08-24T00:00:00.000
172,IPS000172,275,Delta InventoryPolicySegment 172,1,1,2026-08-24T00:00:00.000
173,IPS000173,158,Beacon InventoryPolicySegment 173,1,1,2026-08-24T00:00:00.000
174,IPS000174,317,Forge InventoryPolicySegment 174,1,1,2026-08-24T00:00:00.000
175,IPS000175,284,Quartz InventoryPolicySegment 175,1,1,2026-08-24T00:00:00.000
176,IPS000176,3,Evergreen InventoryPolicySegment 176,1,1,2026-08-24T00:00:00.000
177,IPS000177,285,Northstar InventoryPolicySegment 177,1,1,2026-08-24T00:00:00.000
178,IPS000178,43,Pioneer InventoryPolicySegment 178,1,1,2026-08-24T00:00:00.000
179,IPS000179,262,Delta InventoryPolicySegment 179,1,1,2026-08-24T00:00:00.000
180,IPS000180,205,Harbor InventoryPolicySegment 180,1,1,2026-08-24T00:00:00.000
181,IPS000181,232,Keystone InventoryPolicySegment 181,1,1,2026-08-24T00:00:00.000
182,IPS000182,255,Unity InventoryPolicySegment 182,1,1,2026-08-24T00:00:00.000
183,IPS000183,352,Summit InventoryPolicySegment 183,1,1,2026-08-24T00:00:00.000
184,IPS000184,193,Willow InventoryPolicySegment 184,1,1,2026-08-24T00:00:00.000
185,IPS000185,29,Summit InventoryPolicySegment 185,1,1,2026-08-24T00:00:00.000
186,IPS000186,248,Delta InventoryPolicySegment 186,1,1,2026-08-24T00:00:00.000
187,IPS000187,278,Orion InventoryPolicySegment 187,1,1,2026-08-24T00:00:00.000
188,IPS000188,327,Vertex InventoryPolicySegment 188,1,1,2026-08-24T00:00:00.000
189,IPS000189,153,Liberty InventoryPolicySegment 189,1,1,2026-08-24T00:00:00.000
190,IPS000190,57,Orion InventoryPolicySegment 190,1,1,2026-08-24T00:00:00.000
191,IPS000191,212,Titan InventoryPolicySegment 191,1,1,2026-08-24T00:00:00.000
192,IPS000192,298,Meridian InventoryPolicySegment 192,1,1,2026-08-24T00:00:00.000
