QualityLabCellKey,QualityLabCellCode,QualityLabGroupKey,QualityLabCellName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QLC000001,146,Junction QualityLabCell 1,1,1,2026-08-24T00:00:00.000
2,QLC000002,47,Keystone QualityLabCell 2,1,1,2026-08-24T00:00:00.000
3,QLC000003,101,Delta QualityLabCell 3,1,1,2026-08-24T00:00:00.000
4,QLC000004,1,Delta QualityLabCell 4,1,1,2026-08-24T00:00:00.000
5,QLC000005,60,Atlas QualityLabCell 5,1,1,2026-08-24T00:00:00.000
6,QLC000006,78,Riverton QualityLabCell 6,1,1,2026-08-24T00:00:00.000
7,QLC000007,82,Titan QualityLabCell 7,1,1,2026-08-24T00:00:00.000
8,QLC000008,11,Summit QualityLabCell 8,1,1,2026-08-24T00:00:00.000
9,QLC000009,31,Titan QualityLabCell 9,1,1,2026-08-24T00:00:00.000
10,QLC000010,79,Beacon QualityLabCell 10,1,1,2026-08-24T00:00:00.000
11,QLC000011,112,Summit QualityLabCell 11,1,1,2026-08-24T00:00:00.000
12,QLC000012,99,Summit QualityLabCell 12,1,1,2026-08-24T00:00:00.000
13,QLC000013,90,Willow QualityLabCell 13,1,1,2026-08-24T00:00:00.000
14,QLC000014,23,Liberty QualityLabCell 14,1,1,2026-08-24T00:00:00.000
15,QLC000015,37,Willow QualityLabCell 15,1,1,2026-08-24T00:00:00.000
16,QLC000016,70,Forge QualityLabCell 16,1,1,2026-08-24T00:00:00.000
17,QLC000017,154,Titan QualityLabCell 17,1,1,2026-08-24T00:00:00.000
18,QLC000018,115,Vertex QualityLabCell 18,1,1,2026-08-24T00:00:00.000
19,QLC000019,112,Summit QualityLabCell 19,1,1,2026-08-24T00:00:00.000
20,QLC000020,13,Northstar QualityLabCell 20,1,1,2026-08-24T00:00:00.000
21,QLC000021,74,Beacon QualityLabCell 21,1,1,2026-08-24T00:00:00.000
22,QLC000022,120,Cedar QualityLabCell 22,1,1,2026-08-24T00:00:00.000
23,QLC000023,114,Riverton QualityLabCell 23,1,1,2026-08-24T00:00:00.000
24,QLC000024,130,Harbor QualityLabCell 24,1,1,2026-08-24T00:00:00.000
25,QLC000025,92,Northstar QualityLabCell 25,1,1,2026-08-24T00:00:00.000
26,QLC000026,75,Granite QualityLabCell 26,1,1,2026-08-24T00:00:00.000
27,QLC000027,68,Keystone QualityLabCell 27,1,1,2026-08-24T00:00:00.000
28,QLC000028,30,Ion QualityLabCell 28,1,1,2026-08-24T00:00:00.000
29,QLC000029,103,Willow QualityLabCell 29,1,1,2026-08-24T00:00:00.000
30,QLC000030,122,Ion QualityLabCell 30,1,1,2026-08-24T00:00:00.000
31,QLC000031,156,Cedar QualityLabCell 31,1,1,2026-08-24T00:00:00.000
32,QLC000032,63,Harbor QualityLabCell 32,1,1,2026-08-24T00:00:00.000
33,QLC000033,114,Beacon QualityLabCell 33,1,1,2026-08-24T00:00:00.000
34,QLC000034,126,Forge QualityLabCell 34,1,1,2026-08-24T00:00:00.000
35,QLC000035,113,Forge QualityLabCell 35,1,1,2026-08-24T00:00:00.000
36,QLC000036,73,Granite QualityLabCell 36,1,1,2026-08-24T00:00:00.000
37,QLC000037,70,Forge QualityLabCell 37,1,1,2026-08-24T00:00:00.000
38,QLC000038,45,Quartz QualityLabCell 38,1,1,2026-08-24T00:00:00.000
39,QLC000039,20,Ion QualityLabCell 39,1,1,2026-08-24T00:00:00.000
40,QLC000040,62,Vertex QualityLabCell 40,1,1,2026-08-24T00:00:00.000
41,QLC000041,111,Willow QualityLabCell 41,1,1,2026-08-24T00:00:00.000
42,QLC000042,130,Ion QualityLabCell 42,1,1,2026-08-24T00:00:00.000
43,QLC000043,7,Cedar QualityLabCell 43,1,1,2026-08-24T00:00:00.000
44,QLC000044,62,Evergreen QualityLabCell 44,1,1,2026-08-24T00:00:00.000
45,QLC000045,9,Ion QualityLabCell 45,1,1,2026-08-24T00:00:00.000
46,QLC000046,151,Cedar QualityLabCell 46,1,1,2026-08-24T00:00:00.000
47,QLC000047,82,Ion QualityLabCell 47,1,1,2026-08-24T00:00:00.000
48,QLC000048,160,Pioneer QualityLabCell 48,1,1,2026-08-24T00:00:00.000
49,QLC000049,13,Ion QualityLabCell 49,1,1,2026-08-24T00:00:00.000
50,QLC000050,107,Zenith QualityLabCell 50,1,1,2026-08-24T00:00:00.000
51,QLC000051,2,Northstar QualityLabCell 51,1,1,2026-08-24T00:00:00.000
52,QLC000052,59,Cedar QualityLabCell 52,1,1,2026-08-24T00:00:00.000
53,QLC000053,4,Zenith QualityLabCell 53,1,1,2026-08-24T00:00:00.000
54,QLC000054,77,Riverton QualityLabCell 54,1,1,2026-08-24T00:00:00.000
55,QLC000055,160,Vertex QualityLabCell 55,1,1,2026-08-24T00:00:00.000
56,QLC000056,87,Orion QualityLabCell 56,1,1,2026-08-24T00:00:00.000
57,QLC000057,25,Cedar QualityLabCell 57,1,1,2026-08-24T00:00:00.000
58,QLC000058,15,Unity QualityLabCell 58,1,1,2026-08-24T00:00:00.000
59,QLC000059,7,Forge QualityLabCell 59,1,1,2026-08-24T00:00:00.000
60,QLC000060,139,Summit QualityLabCell 60,1,1,2026-08-24T00:00:00.000
61,QLC000061,89,Titan QualityLabCell 61,1,1,2026-08-24T00:00:00.000
62,QLC000062,90,Pioneer QualityLabCell 62,1,1,2026-08-24T00:00:00.000
63,QLC000063,14,Granite QualityLabCell 63,1,1,2026-08-24T00:00:00.000
64,QLC000064,125,Beacon QualityLabCell 64,1,1,2026-08-24T00:00:00.000
65,QLC000065,65,Forge QualityLabCell 65,1,1,2026-08-24T00:00:00.000
66,QLC000066,58,Vertex QualityLabCell 66,1,1,2026-08-24T00:00:00.000
67,QLC000067,131,Ion QualityLabCell 67,1,1,2026-08-24T00:00:00.000
68,QLC000068,82,Quartz QualityLabCell 68,1,1,2026-08-24T00:00:00.000
69,QLC000069,48,Vertex QualityLabCell 69,1,1,2026-08-24T00:00:00.000
70,QLC000070,114,Cedar QualityLabCell 70,1,1,2026-08-24T00:00:00.000
71,QLC000071,138,Atlas QualityLabCell 71,1,1,2026-08-24T00:00:00.000
72,QLC000072,3,Beacon QualityLabCell 72,1,1,2026-08-24T00:00:00.000
73,QLC000073,109,Evergreen QualityLabCell 73,1,1,2026-08-24T00:00:00.000
74,QLC000074,138,Meridian QualityLabCell 74,1,1,2026-08-24T00:00:00.000
75,QLC000075,61,Harbor QualityLabCell 75,1,1,2026-08-24T00:00:00.000
76,QLC000076,144,Forge QualityLabCell 76,1,1,2026-08-24T00:00:00.000
77,QLC000077,41,Harbor QualityLabCell 77,1,1,2026-08-24T00:00:00.000
78,QLC000078,136,Riverton QualityLabCell 78,1,1,2026-08-24T00:00:00.000
79,QLC000079,81,Titan QualityLabCell 79,1,1,2026-08-24T00:00:00.000
80,QLC000080,118,Riverton QualityLabCell 80,1,1,2026-08-24T00:00:00.000
81,QLC000081,84,Keystone QualityLabCell 81,1,1,2026-08-24T00:00:00.000
82,QLC000082,15,Beacon QualityLabCell 82,1,1,2026-08-24T00:00:00.000
83,QLC000083,95,Riverton QualityLabCell 83,1,1,2026-08-24T00:00:00.000
84,QLC000084,26,Beacon QualityLabCell 84,1,1,2026-08-24T00:00:00.000
85,QLC000085,36,Quartz QualityLabCell 85,1,1,2026-08-24T00:00:00.000
86,QLC000086,131,Northstar QualityLabCell 86,1,1,2026-08-24T00:00:00.000
87,QLC000087,21,Pioneer QualityLabCell 87,1,1,2026-08-24T00:00:00.000
88,QLC000088,155,Vertex QualityLabCell 88,1,1,2026-08-24T00:00:00.000
89,QLC000089,128,Beacon QualityLabCell 89,1,1,2026-08-24T00:00:00.000
90,QLC000090,108,Atlas QualityLabCell 90,1,1,2026-08-24T00:00:00.000
91,QLC000091,140,Quartz QualityLabCell 91,1,1,2026-08-24T00:00:00.000
92,QLC000092,36,Cedar QualityLabCell 92,1,1,2026-08-24T00:00:00.000
93,QLC000093,29,Unity QualityLabCell 93,1,1,2026-08-24T00:00:00.000
