MachineChangeoverKey,ChangeoverCode,MachineKey,FromProductKey,ToProductKey,OeeCalculationMethodKey,MachineChangeoverName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MC000001,499,11,76,3,Orion MachineChangeover 1,MC000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,876f7ea84f3651a282017ba78c4b20db876f7ea84f3651a282017ba78c4b20db
2,MC000002,46,192,28,4,Harbor MachineChangeover 2,MC000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69951abdbc7d5220b47e6fd30880f94969951abdbc7d5220b47e6fd30880f949
3,MC000003,263,305,277,8,Northstar MachineChangeover 3,MC000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b6c22ad9d87598db3b960680763986f3b6c22ad9d87598db3b960680763986f
4,MC000004,398,290,431,8,Liberty MachineChangeover 4,MC000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a64496c87ef5dd892b242d18ff31dd61a64496c87ef5dd892b242d18ff31dd6
5,MC000005,420,244,82,12,Meridian MachineChangeover 5,MC000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e70c6d5e04e5e1daea9338c7153f1ce0e70c6d5e04e5e1daea9338c7153f1ce
6,MC000006,54,285,232,2,Liberty MachineChangeover 6,MC000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,505466a5c0af5d4689cda58f7b90f780505466a5c0af5d4689cda58f7b90f780
7,MC000007,317,337,248,7,Delta MachineChangeover 7,MC000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1a4b836b8765445ab1465b5d6dfa653a1a4b836b8765445ab1465b5d6dfa653
8,MC000008,438,165,415,12,Pioneer MachineChangeover 8,MC000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47d85a566f735bae8c0faf5d472fc83247d85a566f735bae8c0faf5d472fc832
9,MC000009,310,108,219,1,Delta MachineChangeover 9,MC000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a57bbe8e07c552bc9482e1c52c352e81a57bbe8e07c552bc9482e1c52c352e81
