BomSubClassKey,BomSubClassCode,BomClassKey,BomSubClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,BSC000001,69,Vertex BomSubClass 1,1,1,2026-08-24T00:00:00.000
2,BSC000002,17,Meridian BomSubClass 2,1,1,2026-08-24T00:00:00.000
3,BSC000003,28,Unity BomSubClass 3,1,1,2026-08-24T00:00:00.000
4,BSC000004,47,Granite BomSubClass 4,1,1,2026-08-24T00:00:00.000
5,BSC000005,59,Summit BomSubClass 5,1,1,2026-08-24T00:00:00.000
6,BSC000006,26,Harbor BomSubClass 6,1,1,2026-08-24T00:00:00.000
7,BSC000007,36,Zenith BomSubClass 7,1,1,2026-08-24T00:00:00.000
8,BSC000008,26,Riverton BomSubClass 8,1,1,2026-08-24T00:00:00.000
9,BSC000009,13,Northstar BomSubClass 9,1,1,2026-08-24T00:00:00.000
10,BSC000010,40,Meridian BomSubClass 10,1,1,2026-08-24T00:00:00.000
11,BSC000011,72,Orion BomSubClass 11,1,1,2026-08-24T00:00:00.000
12,BSC000012,6,Willow BomSubClass 12,1,1,2026-08-24T00:00:00.000
13,BSC000013,9,Meridian BomSubClass 13,1,1,2026-08-24T00:00:00.000
14,BSC000014,78,Orion BomSubClass 14,1,1,2026-08-24T00:00:00.000
15,BSC000015,6,Forge BomSubClass 15,1,1,2026-08-24T00:00:00.000
16,BSC000016,47,Vertex BomSubClass 16,1,1,2026-08-24T00:00:00.000
17,BSC000017,5,Atlas BomSubClass 17,1,1,2026-08-24T00:00:00.000
18,BSC000018,11,Keystone BomSubClass 18,1,1,2026-08-24T00:00:00.000
19,BSC000019,57,Junction BomSubClass 19,1,1,2026-08-24T00:00:00.000
20,BSC000020,58,Granite BomSubClass 20,1,1,2026-08-24T00:00:00.000
21,BSC000021,8,Keystone BomSubClass 21,1,1,2026-08-24T00:00:00.000
22,BSC000022,59,Junction BomSubClass 22,1,1,2026-08-24T00:00:00.000
23,BSC000023,55,Atlas BomSubClass 23,1,1,2026-08-24T00:00:00.000
24,BSC000024,40,Delta BomSubClass 24,1,1,2026-08-24T00:00:00.000
25,BSC000025,30,Summit BomSubClass 25,1,1,2026-08-24T00:00:00.000
26,BSC000026,61,Cedar BomSubClass 26,1,1,2026-08-24T00:00:00.000
27,BSC000027,69,Quartz BomSubClass 27,1,1,2026-08-24T00:00:00.000
28,BSC000028,65,Orion BomSubClass 28,1,1,2026-08-24T00:00:00.000
29,BSC000029,1,Delta BomSubClass 29,1,1,2026-08-24T00:00:00.000
30,BSC000030,12,Unity BomSubClass 30,1,1,2026-08-24T00:00:00.000
31,BSC000031,61,Zenith BomSubClass 31,1,1,2026-08-24T00:00:00.000
32,BSC000032,15,Unity BomSubClass 32,1,1,2026-08-24T00:00:00.000
33,BSC000033,5,Riverton BomSubClass 33,1,1,2026-08-24T00:00:00.000
34,BSC000034,46,Pioneer BomSubClass 34,1,1,2026-08-24T00:00:00.000
35,BSC000035,45,Unity BomSubClass 35,1,1,2026-08-24T00:00:00.000
36,BSC000036,60,Riverton BomSubClass 36,1,1,2026-08-24T00:00:00.000
37,BSC000037,57,Titan BomSubClass 37,1,1,2026-08-24T00:00:00.000
38,BSC000038,8,Keystone BomSubClass 38,1,1,2026-08-24T00:00:00.000
39,BSC000039,44,Atlas BomSubClass 39,1,1,2026-08-24T00:00:00.000
40,BSC000040,49,Meridian BomSubClass 40,1,1,2026-08-24T00:00:00.000
