LogisticsTradeCorridorKey,LogisticsTradeCorridorCode,LogisticsTradeRegionKey,LogisticsTradeCorridorName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LTC000001,20,Granite LogisticsTradeCorridor 1,1,1,2026-08-24T00:00:00.000
2,LTC000002,7,Granite LogisticsTradeCorridor 2,1,1,2026-08-24T00:00:00.000
3,LTC000003,24,Summit LogisticsTradeCorridor 3,1,1,2026-08-24T00:00:00.000
4,LTC000004,3,Atlas LogisticsTradeCorridor 4,1,1,2026-08-24T00:00:00.000
5,LTC000005,21,Meridian LogisticsTradeCorridor 5,1,1,2026-08-24T00:00:00.000
6,LTC000006,11,Titan LogisticsTradeCorridor 6,1,1,2026-08-24T00:00:00.000
7,LTC000007,8,Cedar LogisticsTradeCorridor 7,1,1,2026-08-24T00:00:00.000
8,LTC000008,7,Quartz LogisticsTradeCorridor 8,1,1,2026-08-24T00:00:00.000
9,LTC000009,7,Willow LogisticsTradeCorridor 9,1,1,2026-08-24T00:00:00.000
10,LTC000010,24,Liberty LogisticsTradeCorridor 10,1,1,2026-08-24T00:00:00.000
11,LTC000011,10,Pioneer LogisticsTradeCorridor 11,1,1,2026-08-24T00:00:00.000
12,LTC000012,17,Unity LogisticsTradeCorridor 12,1,1,2026-08-24T00:00:00.000
13,LTC000013,13,Keystone LogisticsTradeCorridor 13,1,1,2026-08-24T00:00:00.000
14,LTC000014,22,Granite LogisticsTradeCorridor 14,1,1,2026-08-24T00:00:00.000
15,LTC000015,13,Evergreen LogisticsTradeCorridor 15,1,1,2026-08-24T00:00:00.000
16,LTC000016,19,Granite LogisticsTradeCorridor 16,1,1,2026-08-24T00:00:00.000
17,LTC000017,11,Zenith LogisticsTradeCorridor 17,1,1,2026-08-24T00:00:00.000
18,LTC000018,6,Quartz LogisticsTradeCorridor 18,1,1,2026-08-24T00:00:00.000
19,LTC000019,9,Quartz LogisticsTradeCorridor 19,1,1,2026-08-24T00:00:00.000
20,LTC000020,15,Northstar LogisticsTradeCorridor 20,1,1,2026-08-24T00:00:00.000
21,LTC000021,9,Zenith LogisticsTradeCorridor 21,1,1,2026-08-24T00:00:00.000
22,LTC000022,28,Harbor LogisticsTradeCorridor 22,1,1,2026-08-24T00:00:00.000
23,LTC000023,5,Junction LogisticsTradeCorridor 23,1,1,2026-08-24T00:00:00.000
24,LTC000024,2,Cedar LogisticsTradeCorridor 24,1,1,2026-08-24T00:00:00.000
25,LTC000025,18,Pioneer LogisticsTradeCorridor 25,1,1,2026-08-24T00:00:00.000
26,LTC000026,27,Quartz LogisticsTradeCorridor 26,1,1,2026-08-24T00:00:00.000
27,LTC000027,25,Willow LogisticsTradeCorridor 27,1,1,2026-08-24T00:00:00.000
28,LTC000028,20,Willow LogisticsTradeCorridor 28,1,1,2026-08-24T00:00:00.000
29,LTC000029,16,Titan LogisticsTradeCorridor 29,1,1,2026-08-24T00:00:00.000
30,LTC000030,2,Beacon LogisticsTradeCorridor 30,1,1,2026-08-24T00:00:00.000
31,LTC000031,14,Harbor LogisticsTradeCorridor 31,1,1,2026-08-24T00:00:00.000
32,LTC000032,19,Summit LogisticsTradeCorridor 32,1,1,2026-08-24T00:00:00.000
33,LTC000033,9,Zenith LogisticsTradeCorridor 33,1,1,2026-08-24T00:00:00.000
34,LTC000034,4,Zenith LogisticsTradeCorridor 34,1,1,2026-08-24T00:00:00.000
35,LTC000035,9,Beacon LogisticsTradeCorridor 35,1,1,2026-08-24T00:00:00.000
36,LTC000036,11,Vertex LogisticsTradeCorridor 36,1,1,2026-08-24T00:00:00.000
37,LTC000037,6,Beacon LogisticsTradeCorridor 37,1,1,2026-08-24T00:00:00.000
38,LTC000038,13,Forge LogisticsTradeCorridor 38,1,1,2026-08-24T00:00:00.000
39,LTC000039,4,Titan LogisticsTradeCorridor 39,1,1,2026-08-24T00:00:00.000
40,LTC000040,25,Delta LogisticsTradeCorridor 40,1,1,2026-08-24T00:00:00.000
41,LTC000041,9,Junction LogisticsTradeCorridor 41,1,1,2026-08-24T00:00:00.000
42,LTC000042,7,Beacon LogisticsTradeCorridor 42,1,1,2026-08-24T00:00:00.000
43,LTC000043,27,Delta LogisticsTradeCorridor 43,1,1,2026-08-24T00:00:00.000
44,LTC000044,29,Zenith LogisticsTradeCorridor 44,1,1,2026-08-24T00:00:00.000
45,LTC000045,16,Zenith LogisticsTradeCorridor 45,1,1,2026-08-24T00:00:00.000
46,LTC000046,21,Riverton LogisticsTradeCorridor 46,1,1,2026-08-24T00:00:00.000
47,LTC000047,29,Northstar LogisticsTradeCorridor 47,1,1,2026-08-24T00:00:00.000
48,LTC000048,10,Keystone LogisticsTradeCorridor 48,1,1,2026-08-24T00:00:00.000
49,LTC000049,6,Atlas LogisticsTradeCorridor 49,1,1,2026-08-24T00:00:00.000
50,LTC000050,12,Riverton LogisticsTradeCorridor 50,1,1,2026-08-24T00:00:00.000
51,LTC000051,22,Forge LogisticsTradeCorridor 51,1,1,2026-08-24T00:00:00.000
52,LTC000052,15,Harbor LogisticsTradeCorridor 52,1,1,2026-08-24T00:00:00.000
53,LTC000053,4,Liberty LogisticsTradeCorridor 53,1,1,2026-08-24T00:00:00.000
54,LTC000054,28,Northstar LogisticsTradeCorridor 54,1,1,2026-08-24T00:00:00.000
55,LTC000055,8,Beacon LogisticsTradeCorridor 55,1,1,2026-08-24T00:00:00.000
56,LTC000056,25,Meridian LogisticsTradeCorridor 56,1,1,2026-08-24T00:00:00.000
57,LTC000057,10,Quartz LogisticsTradeCorridor 57,1,1,2026-08-24T00:00:00.000
58,LTC000058,13,Vertex LogisticsTradeCorridor 58,1,1,2026-08-24T00:00:00.000
59,LTC000059,10,Evergreen LogisticsTradeCorridor 59,1,1,2026-08-24T00:00:00.000
60,LTC000060,21,Evergreen LogisticsTradeCorridor 60,1,1,2026-08-24T00:00:00.000
61,LTC000061,24,Unity LogisticsTradeCorridor 61,1,1,2026-08-24T00:00:00.000
62,LTC000062,11,Vertex LogisticsTradeCorridor 62,1,1,2026-08-24T00:00:00.000
63,LTC000063,18,Riverton LogisticsTradeCorridor 63,1,1,2026-08-24T00:00:00.000
64,LTC000064,4,Pioneer LogisticsTradeCorridor 64,1,1,2026-08-24T00:00:00.000
