FinanceCostComponentGroupKey,FinanceCostComponentGroupCode,FinanceCostComponentClassKey,FinanceCostComponentGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FCCG000001,1,Atlas FinanceCostComponentGroup 1,1,1,2026-08-24T00:00:00.000
2,FCCG000002,9,Junction FinanceCostComponentGroup 2,1,1,2026-08-24T00:00:00.000
3,FCCG000003,10,Zenith FinanceCostComponentGroup 3,1,1,2026-08-24T00:00:00.000
4,FCCG000004,3,Quartz FinanceCostComponentGroup 4,1,1,2026-08-24T00:00:00.000
5,FCCG000005,7,Evergreen FinanceCostComponentGroup 5,1,1,2026-08-24T00:00:00.000
6,FCCG000006,5,Quartz FinanceCostComponentGroup 6,1,1,2026-08-24T00:00:00.000
7,FCCG000007,1,Atlas FinanceCostComponentGroup 7,1,1,2026-08-24T00:00:00.000
8,FCCG000008,10,Orion FinanceCostComponentGroup 8,1,1,2026-08-24T00:00:00.000
9,FCCG000009,3,Evergreen FinanceCostComponentGroup 9,1,1,2026-08-24T00:00:00.000
10,FCCG000010,1,Beacon FinanceCostComponentGroup 10,1,1,2026-08-24T00:00:00.000
11,FCCG000011,1,Forge FinanceCostComponentGroup 11,1,1,2026-08-24T00:00:00.000
12,FCCG000012,9,Delta FinanceCostComponentGroup 12,1,1,2026-08-24T00:00:00.000
13,FCCG000013,4,Quartz FinanceCostComponentGroup 13,1,1,2026-08-24T00:00:00.000
14,FCCG000014,1,Ion FinanceCostComponentGroup 14,1,1,2026-08-24T00:00:00.000
15,FCCG000015,2,Orion FinanceCostComponentGroup 15,1,1,2026-08-24T00:00:00.000
16,FCCG000016,1,Summit FinanceCostComponentGroup 16,1,1,2026-08-24T00:00:00.000
17,FCCG000017,6,Atlas FinanceCostComponentGroup 17,1,1,2026-08-24T00:00:00.000
18,FCCG000018,5,Atlas FinanceCostComponentGroup 18,1,1,2026-08-24T00:00:00.000
19,FCCG000019,4,Orion FinanceCostComponentGroup 19,1,1,2026-08-24T00:00:00.000
20,FCCG000020,3,Granite FinanceCostComponentGroup 20,1,1,2026-08-24T00:00:00.000
21,FCCG000021,3,Atlas FinanceCostComponentGroup 21,1,1,2026-08-24T00:00:00.000
22,FCCG000022,3,Evergreen FinanceCostComponentGroup 22,1,1,2026-08-24T00:00:00.000
23,FCCG000023,10,Atlas FinanceCostComponentGroup 23,1,1,2026-08-24T00:00:00.000
24,FCCG000024,7,Ion FinanceCostComponentGroup 24,1,1,2026-08-24T00:00:00.000
25,FCCG000025,8,Willow FinanceCostComponentGroup 25,1,1,2026-08-24T00:00:00.000
26,FCCG000026,6,Pioneer FinanceCostComponentGroup 26,1,1,2026-08-24T00:00:00.000
27,FCCG000027,2,Atlas FinanceCostComponentGroup 27,1,1,2026-08-24T00:00:00.000
28,FCCG000028,7,Vertex FinanceCostComponentGroup 28,1,1,2026-08-24T00:00:00.000
29,FCCG000029,2,Riverton FinanceCostComponentGroup 29,1,1,2026-08-24T00:00:00.000
30,FCCG000030,8,Willow FinanceCostComponentGroup 30,1,1,2026-08-24T00:00:00.000
31,FCCG000031,6,Atlas FinanceCostComponentGroup 31,1,1,2026-08-24T00:00:00.000
32,FCCG000032,3,Quartz FinanceCostComponentGroup 32,1,1,2026-08-24T00:00:00.000
33,FCCG000033,2,Orion FinanceCostComponentGroup 33,1,1,2026-08-24T00:00:00.000
34,FCCG000034,3,Summit FinanceCostComponentGroup 34,1,1,2026-08-24T00:00:00.000
35,FCCG000035,7,Vertex FinanceCostComponentGroup 35,1,1,2026-08-24T00:00:00.000
36,FCCG000036,6,Evergreen FinanceCostComponentGroup 36,1,1,2026-08-24T00:00:00.000
37,FCCG000037,3,Titan FinanceCostComponentGroup 37,1,1,2026-08-24T00:00:00.000
38,FCCG000038,10,Meridian FinanceCostComponentGroup 38,1,1,2026-08-24T00:00:00.000
39,FCCG000039,6,Riverton FinanceCostComponentGroup 39,1,1,2026-08-24T00:00:00.000
