ServiceRepairActionKey,ServiceRepairActionCode,ServiceRepairSubcategoryKey,ServiceRepairActionName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SRA000001,152,Liberty ServiceRepairAction 1,1,1,2026-08-24T00:00:00.000
2,SRA000002,172,Northstar ServiceRepairAction 2,1,1,2026-08-24T00:00:00.000
3,SRA000003,229,Delta ServiceRepairAction 3,1,1,2026-08-24T00:00:00.000
4,SRA000004,72,Pioneer ServiceRepairAction 4,1,1,2026-08-24T00:00:00.000
5,SRA000005,102,Orion ServiceRepairAction 5,1,1,2026-08-24T00:00:00.000
6,SRA000006,275,Meridian ServiceRepairAction 6,1,1,2026-08-24T00:00:00.000
7,SRA000007,131,Cedar ServiceRepairAction 7,1,1,2026-08-24T00:00:00.000
8,SRA000008,240,Vertex ServiceRepairAction 8,1,1,2026-08-24T00:00:00.000
9,SRA000009,248,Keystone ServiceRepairAction 9,1,1,2026-08-24T00:00:00.000
10,SRA000010,18,Pioneer ServiceRepairAction 10,1,1,2026-08-24T00:00:00.000
11,SRA000011,166,Quartz ServiceRepairAction 11,1,1,2026-08-24T00:00:00.000
12,SRA000012,67,Liberty ServiceRepairAction 12,1,1,2026-08-24T00:00:00.000
13,SRA000013,2,Delta ServiceRepairAction 13,1,1,2026-08-24T00:00:00.000
14,SRA000014,48,Evergreen ServiceRepairAction 14,1,1,2026-08-24T00:00:00.000
15,SRA000015,118,Vertex ServiceRepairAction 15,1,1,2026-08-24T00:00:00.000
16,SRA000016,252,Willow ServiceRepairAction 16,1,1,2026-08-24T00:00:00.000
17,SRA000017,14,Harbor ServiceRepairAction 17,1,1,2026-08-24T00:00:00.000
18,SRA000018,32,Orion ServiceRepairAction 18,1,1,2026-08-24T00:00:00.000
19,SRA000019,49,Junction ServiceRepairAction 19,1,1,2026-08-24T00:00:00.000
20,SRA000020,181,Beacon ServiceRepairAction 20,1,1,2026-08-24T00:00:00.000
21,SRA000021,214,Beacon ServiceRepairAction 21,1,1,2026-08-24T00:00:00.000
22,SRA000022,97,Zenith ServiceRepairAction 22,1,1,2026-08-24T00:00:00.000
23,SRA000023,148,Keystone ServiceRepairAction 23,1,1,2026-08-24T00:00:00.000
24,SRA000024,241,Harbor ServiceRepairAction 24,1,1,2026-08-24T00:00:00.000
25,SRA000025,55,Keystone ServiceRepairAction 25,1,1,2026-08-24T00:00:00.000
26,SRA000026,172,Summit ServiceRepairAction 26,1,1,2026-08-24T00:00:00.000
27,SRA000027,76,Pioneer ServiceRepairAction 27,1,1,2026-08-24T00:00:00.000
28,SRA000028,98,Willow ServiceRepairAction 28,1,1,2026-08-24T00:00:00.000
29,SRA000029,102,Unity ServiceRepairAction 29,1,1,2026-08-24T00:00:00.000
30,SRA000030,3,Evergreen ServiceRepairAction 30,1,1,2026-08-24T00:00:00.000
31,SRA000031,31,Delta ServiceRepairAction 31,1,1,2026-08-24T00:00:00.000
32,SRA000032,168,Liberty ServiceRepairAction 32,1,1,2026-08-24T00:00:00.000
33,SRA000033,66,Meridian ServiceRepairAction 33,1,1,2026-08-24T00:00:00.000
34,SRA000034,46,Vertex ServiceRepairAction 34,1,1,2026-08-24T00:00:00.000
35,SRA000035,119,Delta ServiceRepairAction 35,1,1,2026-08-24T00:00:00.000
36,SRA000036,112,Beacon ServiceRepairAction 36,1,1,2026-08-24T00:00:00.000
37,SRA000037,132,Evergreen ServiceRepairAction 37,1,1,2026-08-24T00:00:00.000
38,SRA000038,272,Delta ServiceRepairAction 38,1,1,2026-08-24T00:00:00.000
39,SRA000039,136,Ion ServiceRepairAction 39,1,1,2026-08-24T00:00:00.000
40,SRA000040,90,Northstar ServiceRepairAction 40,1,1,2026-08-24T00:00:00.000
41,SRA000041,272,Ion ServiceRepairAction 41,1,1,2026-08-24T00:00:00.000
42,SRA000042,199,Delta ServiceRepairAction 42,1,1,2026-08-24T00:00:00.000
43,SRA000043,43,Riverton ServiceRepairAction 43,1,1,2026-08-24T00:00:00.000
44,SRA000044,245,Keystone ServiceRepairAction 44,1,1,2026-08-24T00:00:00.000
45,SRA000045,16,Pioneer ServiceRepairAction 45,1,1,2026-08-24T00:00:00.000
46,SRA000046,74,Northstar ServiceRepairAction 46,1,1,2026-08-24T00:00:00.000
47,SRA000047,52,Ion ServiceRepairAction 47,1,1,2026-08-24T00:00:00.000
48,SRA000048,166,Atlas ServiceRepairAction 48,1,1,2026-08-24T00:00:00.000
