GeoCityKey,GeoCityCode,GeoStateProvinceKey,GeoCityName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,GC000001,70,Atlas GeoCity 1,1,1,2026-08-24T00:00:00.000
2,GC000002,271,Summit GeoCity 2,1,1,2026-08-24T00:00:00.000
3,GC000003,99,Willow GeoCity 3,1,1,2026-08-24T00:00:00.000
4,GC000004,24,Forge GeoCity 4,1,1,2026-08-24T00:00:00.000
5,GC000005,402,Riverton GeoCity 5,1,1,2026-08-24T00:00:00.000
6,GC000006,47,Atlas GeoCity 6,1,1,2026-08-24T00:00:00.000
7,GC000007,219,Junction GeoCity 7,1,1,2026-08-24T00:00:00.000
8,GC000008,315,Granite GeoCity 8,1,1,2026-08-24T00:00:00.000
9,GC000009,475,Riverton GeoCity 9,1,1,2026-08-24T00:00:00.000
10,GC000010,82,Beacon GeoCity 10,1,1,2026-08-24T00:00:00.000
11,GC000011,193,Junction GeoCity 11,1,1,2026-08-24T00:00:00.000
12,GC000012,335,Liberty GeoCity 12,1,1,2026-08-24T00:00:00.000
13,GC000013,406,Unity GeoCity 13,1,1,2026-08-24T00:00:00.000
14,GC000014,63,Ion GeoCity 14,1,1,2026-08-24T00:00:00.000
15,GC000015,483,Willow GeoCity 15,1,1,2026-08-24T00:00:00.000
16,GC000016,457,Forge GeoCity 16,1,1,2026-08-24T00:00:00.000
17,GC000017,250,Keystone GeoCity 17,1,1,2026-08-24T00:00:00.000
18,GC000018,480,Ion GeoCity 18,1,1,2026-08-24T00:00:00.000
19,GC000019,407,Willow GeoCity 19,1,1,2026-08-24T00:00:00.000
20,GC000020,342,Unity GeoCity 20,1,1,2026-08-24T00:00:00.000
21,GC000021,78,Harbor GeoCity 21,1,1,2026-08-24T00:00:00.000
22,GC000022,51,Liberty GeoCity 22,1,1,2026-08-24T00:00:00.000
23,GC000023,247,Orion GeoCity 23,1,1,2026-08-24T00:00:00.000
24,GC000024,188,Zenith GeoCity 24,1,1,2026-08-24T00:00:00.000
25,GC000025,353,Ion GeoCity 25,1,1,2026-08-24T00:00:00.000
26,GC000026,258,Meridian GeoCity 26,1,1,2026-08-24T00:00:00.000
27,GC000027,421,Delta GeoCity 27,1,1,2026-08-24T00:00:00.000
28,GC000028,21,Granite GeoCity 28,1,1,2026-08-24T00:00:00.000
29,GC000029,197,Quartz GeoCity 29,1,1,2026-08-24T00:00:00.000
30,GC000030,28,Titan GeoCity 30,1,1,2026-08-24T00:00:00.000
31,GC000031,123,Northstar GeoCity 31,1,1,2026-08-24T00:00:00.000
32,GC000032,141,Beacon GeoCity 32,1,1,2026-08-24T00:00:00.000
33,GC000033,1,Beacon GeoCity 33,1,1,2026-08-24T00:00:00.000
34,GC000034,303,Beacon GeoCity 34,1,1,2026-08-24T00:00:00.000
35,GC000035,448,Forge GeoCity 35,1,1,2026-08-24T00:00:00.000
36,GC000036,379,Beacon GeoCity 36,1,1,2026-08-24T00:00:00.000
37,GC000037,438,Zenith GeoCity 37,1,1,2026-08-24T00:00:00.000
38,GC000038,12,Orion GeoCity 38,1,1,2026-08-24T00:00:00.000
39,GC000039,44,Northstar GeoCity 39,1,1,2026-08-24T00:00:00.000
40,GC000040,131,Summit GeoCity 40,1,1,2026-08-24T00:00:00.000
