SalesCustomerDivisionKey,SalesCustomerDivisionCode,SalesCustomerChainKey,SalesCustomerDivisionName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCD000001,42,Orion SalesCustomerDivision 1,1,1,2026-08-24T00:00:00.000
2,SCD000002,15,Northstar SalesCustomerDivision 2,1,1,2026-08-24T00:00:00.000
3,SCD000003,301,Zenith SalesCustomerDivision 3,1,1,2026-08-24T00:00:00.000
4,SCD000004,87,Summit SalesCustomerDivision 4,1,1,2026-08-24T00:00:00.000
5,SCD000005,108,Meridian SalesCustomerDivision 5,1,1,2026-08-24T00:00:00.000
6,SCD000006,147,Delta SalesCustomerDivision 6,1,1,2026-08-24T00:00:00.000
7,SCD000007,386,Liberty SalesCustomerDivision 7,1,1,2026-08-24T00:00:00.000
8,SCD000008,243,Meridian SalesCustomerDivision 8,1,1,2026-08-24T00:00:00.000
9,SCD000009,87,Riverton SalesCustomerDivision 9,1,1,2026-08-24T00:00:00.000
10,SCD000010,180,Titan SalesCustomerDivision 10,1,1,2026-08-24T00:00:00.000
11,SCD000011,177,Meridian SalesCustomerDivision 11,1,1,2026-08-24T00:00:00.000
12,SCD000012,35,Vertex SalesCustomerDivision 12,1,1,2026-08-24T00:00:00.000
13,SCD000013,328,Junction SalesCustomerDivision 13,1,1,2026-08-24T00:00:00.000
14,SCD000014,31,Zenith SalesCustomerDivision 14,1,1,2026-08-24T00:00:00.000
15,SCD000015,156,Unity SalesCustomerDivision 15,1,1,2026-08-24T00:00:00.000
16,SCD000016,316,Granite SalesCustomerDivision 16,1,1,2026-08-24T00:00:00.000
17,SCD000017,215,Beacon SalesCustomerDivision 17,1,1,2026-08-24T00:00:00.000
18,SCD000018,292,Summit SalesCustomerDivision 18,1,1,2026-08-24T00:00:00.000
19,SCD000019,131,Pioneer SalesCustomerDivision 19,1,1,2026-08-24T00:00:00.000
20,SCD000020,329,Pioneer SalesCustomerDivision 20,1,1,2026-08-24T00:00:00.000
21,SCD000021,2,Riverton SalesCustomerDivision 21,1,1,2026-08-24T00:00:00.000
22,SCD000022,459,Vertex SalesCustomerDivision 22,1,1,2026-08-24T00:00:00.000
23,SCD000023,200,Liberty SalesCustomerDivision 23,1,1,2026-08-24T00:00:00.000
24,SCD000024,110,Junction SalesCustomerDivision 24,1,1,2026-08-24T00:00:00.000
25,SCD000025,126,Meridian SalesCustomerDivision 25,1,1,2026-08-24T00:00:00.000
26,SCD000026,78,Liberty SalesCustomerDivision 26,1,1,2026-08-24T00:00:00.000
27,SCD000027,461,Ion SalesCustomerDivision 27,1,1,2026-08-24T00:00:00.000
28,SCD000028,171,Zenith SalesCustomerDivision 28,1,1,2026-08-24T00:00:00.000
29,SCD000029,385,Liberty SalesCustomerDivision 29,1,1,2026-08-24T00:00:00.000
