SalesCustomerNodeKey,SalesCustomerNodeCode,SalesCustomerDivisionKey,SalesCustomerNodeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCN000001,256,Meridian SalesCustomerNode 1,1,1,2026-08-24T00:00:00.000
2,SCN000002,217,Keystone SalesCustomerNode 2,1,1,2026-08-24T00:00:00.000
3,SCN000003,419,Ion SalesCustomerNode 3,1,1,2026-08-24T00:00:00.000
4,SCN000004,231,Ion SalesCustomerNode 4,1,1,2026-08-24T00:00:00.000
5,SCN000005,113,Pioneer SalesCustomerNode 5,1,1,2026-08-24T00:00:00.000
6,SCN000006,284,Liberty SalesCustomerNode 6,1,1,2026-08-24T00:00:00.000
7,SCN000007,114,Riverton SalesCustomerNode 7,1,1,2026-08-24T00:00:00.000
8,SCN000008,161,Keystone SalesCustomerNode 8,1,1,2026-08-24T00:00:00.000
9,SCN000009,408,Forge SalesCustomerNode 9,1,1,2026-08-24T00:00:00.000
10,SCN000010,153,Willow SalesCustomerNode 10,1,1,2026-08-24T00:00:00.000
11,SCN000011,446,Zenith SalesCustomerNode 11,1,1,2026-08-24T00:00:00.000
12,SCN000012,141,Riverton SalesCustomerNode 12,1,1,2026-08-24T00:00:00.000
13,SCN000013,332,Atlas SalesCustomerNode 13,1,1,2026-08-24T00:00:00.000
14,SCN000014,358,Titan SalesCustomerNode 14,1,1,2026-08-24T00:00:00.000
15,SCN000015,54,Delta SalesCustomerNode 15,1,1,2026-08-24T00:00:00.000
16,SCN000016,243,Granite SalesCustomerNode 16,1,1,2026-08-24T00:00:00.000
17,SCN000017,74,Evergreen SalesCustomerNode 17,1,1,2026-08-24T00:00:00.000
18,SCN000018,128,Quartz SalesCustomerNode 18,1,1,2026-08-24T00:00:00.000
19,SCN000019,340,Meridian SalesCustomerNode 19,1,1,2026-08-24T00:00:00.000
20,SCN000020,241,Keystone SalesCustomerNode 20,1,1,2026-08-24T00:00:00.000
21,SCN000021,261,Orion SalesCustomerNode 21,1,1,2026-08-24T00:00:00.000
22,SCN000022,126,Evergreen SalesCustomerNode 22,1,1,2026-08-24T00:00:00.000
23,SCN000023,494,Pioneer SalesCustomerNode 23,1,1,2026-08-24T00:00:00.000
24,SCN000024,36,Vertex SalesCustomerNode 24,1,1,2026-08-24T00:00:00.000
25,SCN000025,460,Pioneer SalesCustomerNode 25,1,1,2026-08-24T00:00:00.000
26,SCN000026,363,Quartz SalesCustomerNode 26,1,1,2026-08-24T00:00:00.000
