ServicePartDispositionKey,ServicePartDispositionCode,TransactionTypeKey,ServicePartDispositionName,RequiresSupplierRecovery,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,-1,0,1900-01-01T00:00:00.000
1,SPD000001,3,Pioneer ServicePartDisposition 1,1,1,1,2026-08-24T00:00:00.000
2,SPD000002,4,Harbor ServicePartDisposition 2,0,1,1,2026-08-24T00:00:00.000
3,SPD000003,4,Cedar ServicePartDisposition 3,1,1,1,2026-08-24T00:00:00.000
4,SPD000004,4,Delta ServicePartDisposition 4,0,1,1,2026-08-24T00:00:00.000
5,SPD000005,3,Titan ServicePartDisposition 5,1,1,1,2026-08-24T00:00:00.000
6,SPD000006,1,Junction ServicePartDisposition 6,0,1,1,2026-08-24T00:00:00.000
7,SPD000007,3,Granite ServicePartDisposition 7,1,1,1,2026-08-24T00:00:00.000
8,SPD000008,3,Junction ServicePartDisposition 8,0,1,1,2026-08-24T00:00:00.000
9,SPD000009,3,Keystone ServicePartDisposition 9,1,1,1,2026-08-24T00:00:00.000
10,SPD000010,2,Harbor ServicePartDisposition 10,0,1,1,2026-08-24T00:00:00.000
11,SPD000011,2,Meridian ServicePartDisposition 11,1,1,1,2026-08-24T00:00:00.000
12,SPD000012,4,Willow ServicePartDisposition 12,0,1,1,2026-08-24T00:00:00.000
13,SPD000013,1,Willow ServicePartDisposition 13,1,1,1,2026-08-24T00:00:00.000
14,SPD000014,3,Ion ServicePartDisposition 14,0,1,1,2026-08-24T00:00:00.000
15,SPD000015,3,Junction ServicePartDisposition 15,1,1,1,2026-08-24T00:00:00.000
16,SPD000016,4,Beacon ServicePartDisposition 16,0,1,1,2026-08-24T00:00:00.000
17,SPD000017,3,Cedar ServicePartDisposition 17,1,1,1,2026-08-24T00:00:00.000
18,SPD000018,2,Atlas ServicePartDisposition 18,0,1,1,2026-08-24T00:00:00.000
19,SPD000019,3,Cedar ServicePartDisposition 19,1,1,1,2026-08-24T00:00:00.000
20,SPD000020,1,Zenith ServicePartDisposition 20,0,1,1,2026-08-24T00:00:00.000
21,SPD000021,1,Cedar ServicePartDisposition 21,1,1,1,2026-08-24T00:00:00.000
22,SPD000022,3,Vertex ServicePartDisposition 22,0,1,1,2026-08-24T00:00:00.000
23,SPD000023,4,Riverton ServicePartDisposition 23,1,1,1,2026-08-24T00:00:00.000
24,SPD000024,2,Keystone ServicePartDisposition 24,0,1,1,2026-08-24T00:00:00.000
25,SPD000025,2,Unity ServicePartDisposition 25,1,1,1,2026-08-24T00:00:00.000
26,SPD000026,2,Willow ServicePartDisposition 26,0,1,1,2026-08-24T00:00:00.000
27,SPD000027,1,Ion ServicePartDisposition 27,1,1,1,2026-08-24T00:00:00.000
28,SPD000028,2,Beacon ServicePartDisposition 28,0,1,1,2026-08-24T00:00:00.000
29,SPD000029,3,Meridian ServicePartDisposition 29,1,1,1,2026-08-24T00:00:00.000
30,SPD000030,4,Granite ServicePartDisposition 30,0,1,1,2026-08-24T00:00:00.000
31,SPD000031,2,Orion ServicePartDisposition 31,1,1,1,2026-08-24T00:00:00.000
32,SPD000032,3,Willow ServicePartDisposition 32,0,1,1,2026-08-24T00:00:00.000
33,SPD000033,3,Unity ServicePartDisposition 33,1,1,1,2026-08-24T00:00:00.000
34,SPD000034,2,Granite ServicePartDisposition 34,0,1,1,2026-08-24T00:00:00.000
35,SPD000035,1,Atlas ServicePartDisposition 35,1,1,1,2026-08-24T00:00:00.000
36,SPD000036,2,Pioneer ServicePartDisposition 36,0,1,1,2026-08-24T00:00:00.000
37,SPD000037,1,Harbor ServicePartDisposition 37,1,1,1,2026-08-24T00:00:00.000
38,SPD000038,2,Northstar ServicePartDisposition 38,0,1,1,2026-08-24T00:00:00.000
39,SPD000039,4,Titan ServicePartDisposition 39,1,1,1,2026-08-24T00:00:00.000
40,SPD000040,1,Delta ServicePartDisposition 40,0,1,1,2026-08-24T00:00:00.000
41,SPD000041,1,Forge ServicePartDisposition 41,1,1,1,2026-08-24T00:00:00.000
42,SPD000042,3,Summit ServicePartDisposition 42,0,1,1,2026-08-24T00:00:00.000
43,SPD000043,2,Granite ServicePartDisposition 43,1,1,1,2026-08-24T00:00:00.000
44,SPD000044,3,Harbor ServicePartDisposition 44,0,1,1,2026-08-24T00:00:00.000
45,SPD000045,1,Liberty ServicePartDisposition 45,1,1,1,2026-08-24T00:00:00.000
46,SPD000046,4,Granite ServicePartDisposition 46,0,1,1,2026-08-24T00:00:00.000
47,SPD000047,1,Delta ServicePartDisposition 47,1,1,1,2026-08-24T00:00:00.000
48,SPD000048,2,Meridian ServicePartDisposition 48,0,1,1,2026-08-24T00:00:00.000
