EnergyDemandContractKey,DemandContractNumber,EnergyUtilityAccountKey,EnergyTariffKey,UnitOfMeasureKey,ContractDemandQuantity,DemandPenaltyAmount,MinimumBillingQuantity,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,0.0000,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,EDC000001,128,304,4,0.8000,11.3700,0.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d5bc92039145896830c744897274a6e4d5bc92039145896830c744897274a6e
2,EDC000002,250,338,1,1.5000,12.7400,1.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6fd4b5f9c425c66ab9f3293af3a6d2ce6fd4b5f9c425c66ab9f3293af3a6d2c
3,EDC000003,116,192,6,2.2000,14.1100,2.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8ecac714ebb578a832b78fb865ee9b4e8ecac714ebb578a832b78fb865ee9b4
4,EDC000004,5,254,2,2.9000,15.4800,2.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d27cd0fd15bf587b997ca846b9fc35e2d27cd0fd15bf587b997ca846b9fc35e2
5,EDC000005,290,236,4,3.6000,16.8500,3.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29552434b7dc55de9fd5f2395715c7b529552434b7dc55de9fd5f2395715c7b5
6,EDC000006,276,50,6,4.3000,18.2200,4.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,851d97ce4cb659079fa68a2f0b6fbfae851d97ce4cb659079fa68a2f0b6fbfae
7,EDC000007,376,235,6,5.0000,19.5900,5.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72deac70e18b5afd8b92f342c5d64d5f72deac70e18b5afd8b92f342c5d64d5f
8,EDC000008,286,297,5,5.7000,20.9600,5.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61af732366505d258dc4bfd413bb203261af732366505d258dc4bfd413bb2032
9,EDC000009,200,493,6,6.4000,22.3300,6.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5bdf23153a35fc1a40539d114b5a5aca5bdf23153a35fc1a40539d114b5a5ac
10,EDC000010,183,371,4,7.1000,23.7000,7.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,588f7a3c5b035437a3fcaabc9561957f588f7a3c5b035437a3fcaabc9561957f
11,EDC000011,372,146,4,7.8000,25.0700,7.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c40e6ca2a59d5fadaf70f69e88749b57c40e6ca2a59d5fadaf70f69e88749b57
12,EDC000012,474,359,7,8.5000,26.4400,8.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,131331e7a6b858ac9ce476b3d4a9eb42131331e7a6b858ac9ce476b3d4a9eb42
13,EDC000013,153,398,6,9.2000,27.8100,9.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e235b889f9451bc93ae977046da407f2e235b889f9451bc93ae977046da407f
14,EDC000014,311,154,7,9.9000,29.1800,9.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,361d13da8a8655938f45cde998bd39c9361d13da8a8655938f45cde998bd39c9
15,EDC000015,272,141,1,10.6000,30.5500,10.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af365660ea5f5abeaacb7964281a978aaf365660ea5f5abeaacb7964281a978a
16,EDC000016,363,74,7,11.3000,31.9200,11.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1054299e50c5e639876a7458ae01f4ed1054299e50c5e639876a7458ae01f4e
17,EDC000017,337,138,3,12.0000,33.2900,12.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c29bc0a0891a5e3e935f260b8062ae13c29bc0a0891a5e3e935f260b8062ae13
18,EDC000018,129,282,3,12.7000,34.6600,12.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f01ebfa72b85c7890d8a182fa85cee29f01ebfa72b85c7890d8a182fa85cee2
19,EDC000019,284,70,6,13.4000,36.0300,13.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca05cb3407ea5ba0af2836b37403e59eca05cb3407ea5ba0af2836b37403e59e
20,EDC000020,402,323,6,14.1000,37.4000,14.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7881ea7bb4c52fa89c2effd0dc5f057e7881ea7bb4c52fa89c2effd0dc5f057
21,EDC000021,29,348,3,14.8000,38.7700,14.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0003c8801f25af99a67f751788caac8d0003c8801f25af99a67f751788caac8
