SafetyPpeItemKey,PpeItemCode,SafetyHazardCategoryKey,UnitOfMeasureKey,PpeItemName,ReplacementCycleDays,IsReusable,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,Unknown,0,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SPI000001,64,4,Willow SafetyPpeItem 1,2,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5708208ddbb654acacd220769c59a0145708208ddbb654acacd220769c59a014
2,SPI000002,39,2,Granite SafetyPpeItem 2,3,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2511a0e1a0ae5172a9cfc8a15e17bbab2511a0e1a0ae5172a9cfc8a15e17bbab
3,SPI000003,21,4,Atlas SafetyPpeItem 3,4,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf72a82c2cc9583b824fdcf41e6282ecbf72a82c2cc9583b824fdcf41e6282ec
4,SPI000004,1,2,Willow SafetyPpeItem 4,5,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17949608b47154bdbd1f147a8c8d5def17949608b47154bdbd1f147a8c8d5def
5,SPI000005,31,4,Granite SafetyPpeItem 5,6,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5575d8cf6565d8fa3da5d9a8b4a742af5575d8cf6565d8fa3da5d9a8b4a742a
6,SPI000006,50,4,Willow SafetyPpeItem 6,7,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48a06ffdb65350eca0f40dcc2859fbfd48a06ffdb65350eca0f40dcc2859fbfd
7,SPI000007,10,7,Granite SafetyPpeItem 7,8,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c0f3dfa40ab55ec9483461aefe06e0c8c0f3dfa40ab55ec9483461aefe06e0c
8,SPI000008,3,3,Forge SafetyPpeItem 8,9,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc182391f56a54e286e531b4404cf2b7bc182391f56a54e286e531b4404cf2b7
9,SPI000009,18,1,Evergreen SafetyPpeItem 9,10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9479c5e1bae256a0aa1608cfab733ac59479c5e1bae256a0aa1608cfab733ac5
10,SPI000010,59,1,Cedar SafetyPpeItem 10,11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d108f00aaea578392451635a413d6754d108f00aaea578392451635a413d675
11,SPI000011,66,1,Riverton SafetyPpeItem 11,12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dd2575a9cae5f31a1ea62668ee38ea70dd2575a9cae5f31a1ea62668ee38ea7
12,SPI000012,66,5,Delta SafetyPpeItem 12,13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc994411e26e5d5782cf7a546bb409f6bc994411e26e5d5782cf7a546bb409f6
13,SPI000013,22,4,Pioneer SafetyPpeItem 13,14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c0bc0dd1947509d86824a8835c3aaf31c0bc0dd1947509d86824a8835c3aaf3
14,SPI000014,64,6,Evergreen SafetyPpeItem 14,15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7866fb097ecd548d946f3ad8f8b30a797866fb097ecd548d946f3ad8f8b30a79
15,SPI000015,40,6,Granite SafetyPpeItem 15,16,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90bfe4fb10a459c29902bf87934525a590bfe4fb10a459c29902bf87934525a5
16,SPI000016,21,5,Evergreen SafetyPpeItem 16,17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bd76486643e5882afae87f9340a21a28bd76486643e5882afae87f9340a21a2
17,SPI000017,54,2,Willow SafetyPpeItem 17,18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a637d3ed143f5f35a7330e21dd4dfac3a637d3ed143f5f35a7330e21dd4dfac3
18,SPI000018,62,2,Quartz SafetyPpeItem 18,19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d7d098bee555783acedd09a90c978ac2d7d098bee555783acedd09a90c978ac
