FiscalQuarterKey,FiscalQuarterCode,FiscalYearKey,FiscalQuarterName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FQ000001,14,Titan FiscalQuarter 1,1,1,2026-08-24T00:00:00.000
2,FQ000002,11,Evergreen FiscalQuarter 2,1,1,2026-08-24T00:00:00.000
3,FQ000003,18,Delta FiscalQuarter 3,1,1,2026-08-24T00:00:00.000
4,FQ000004,2,Cedar FiscalQuarter 4,1,1,2026-08-24T00:00:00.000
5,FQ000005,1,Beacon FiscalQuarter 5,1,1,2026-08-24T00:00:00.000
6,FQ000006,7,Vertex FiscalQuarter 6,1,1,2026-08-24T00:00:00.000
7,FQ000007,9,Beacon FiscalQuarter 7,1,1,2026-08-24T00:00:00.000
8,FQ000008,11,Unity FiscalQuarter 8,1,1,2026-08-24T00:00:00.000
9,FQ000009,10,Quartz FiscalQuarter 9,1,1,2026-08-24T00:00:00.000
10,FQ000010,9,Pioneer FiscalQuarter 10,1,1,2026-08-24T00:00:00.000
11,FQ000011,13,Junction FiscalQuarter 11,1,1,2026-08-24T00:00:00.000
12,FQ000012,15,Zenith FiscalQuarter 12,1,1,2026-08-24T00:00:00.000
13,FQ000013,2,Forge FiscalQuarter 13,1,1,2026-08-24T00:00:00.000
14,FQ000014,3,Unity FiscalQuarter 14,1,1,2026-08-24T00:00:00.000
15,FQ000015,19,Evergreen FiscalQuarter 15,1,1,2026-08-24T00:00:00.000
16,FQ000016,9,Meridian FiscalQuarter 16,1,1,2026-08-24T00:00:00.000
17,FQ000017,14,Ion FiscalQuarter 17,1,1,2026-08-24T00:00:00.000
18,FQ000018,5,Pioneer FiscalQuarter 18,1,1,2026-08-24T00:00:00.000
19,FQ000019,12,Forge FiscalQuarter 19,1,1,2026-08-24T00:00:00.000
20,FQ000020,9,Summit FiscalQuarter 20,1,1,2026-08-24T00:00:00.000
21,FQ000021,13,Delta FiscalQuarter 21,1,1,2026-08-24T00:00:00.000
22,FQ000022,6,Ion FiscalQuarter 22,1,1,2026-08-24T00:00:00.000
23,FQ000023,3,Meridian FiscalQuarter 23,1,1,2026-08-24T00:00:00.000
24,FQ000024,14,Titan FiscalQuarter 24,1,1,2026-08-24T00:00:00.000
25,FQ000025,18,Granite FiscalQuarter 25,1,1,2026-08-24T00:00:00.000
26,FQ000026,11,Zenith FiscalQuarter 26,1,1,2026-08-24T00:00:00.000
27,FQ000027,15,Ion FiscalQuarter 27,1,1,2026-08-24T00:00:00.000
28,FQ000028,5,Evergreen FiscalQuarter 28,1,1,2026-08-24T00:00:00.000
29,FQ000029,8,Meridian FiscalQuarter 29,1,1,2026-08-24T00:00:00.000
30,FQ000030,8,Zenith FiscalQuarter 30,1,1,2026-08-24T00:00:00.000
31,FQ000031,10,Atlas FiscalQuarter 31,1,1,2026-08-24T00:00:00.000
32,FQ000032,2,Northstar FiscalQuarter 32,1,1,2026-08-24T00:00:00.000
33,FQ000033,4,Beacon FiscalQuarter 33,1,1,2026-08-24T00:00:00.000
34,FQ000034,7,Junction FiscalQuarter 34,1,1,2026-08-24T00:00:00.000
35,FQ000035,11,Forge FiscalQuarter 35,1,1,2026-08-24T00:00:00.000
36,FQ000036,9,Junction FiscalQuarter 36,1,1,2026-08-24T00:00:00.000
37,FQ000037,8,Vertex FiscalQuarter 37,1,1,2026-08-24T00:00:00.000
38,FQ000038,14,Harbor FiscalQuarter 38,1,1,2026-08-24T00:00:00.000
39,FQ000039,14,Evergreen FiscalQuarter 39,1,1,2026-08-24T00:00:00.000
40,FQ000040,11,Granite FiscalQuarter 40,1,1,2026-08-24T00:00:00.000
41,FQ000041,5,Unity FiscalQuarter 41,1,1,2026-08-24T00:00:00.000
42,FQ000042,2,Ion FiscalQuarter 42,1,1,2026-08-24T00:00:00.000
43,FQ000043,9,Harbor FiscalQuarter 43,1,1,2026-08-24T00:00:00.000
44,FQ000044,8,Granite FiscalQuarter 44,1,1,2026-08-24T00:00:00.000
45,FQ000045,7,Willow FiscalQuarter 45,1,1,2026-08-24T00:00:00.000
46,FQ000046,1,Quartz FiscalQuarter 46,1,1,2026-08-24T00:00:00.000
47,FQ000047,16,Meridian FiscalQuarter 47,1,1,2026-08-24T00:00:00.000
48,FQ000048,12,Unity FiscalQuarter 48,1,1,2026-08-24T00:00:00.000
49,FQ000049,19,Granite FiscalQuarter 49,1,1,2026-08-24T00:00:00.000
50,FQ000050,16,Junction FiscalQuarter 50,1,1,2026-08-24T00:00:00.000
51,FQ000051,4,Granite FiscalQuarter 51,1,1,2026-08-24T00:00:00.000
52,FQ000052,3,Granite FiscalQuarter 52,1,1,2026-08-24T00:00:00.000
53,FQ000053,8,Unity FiscalQuarter 53,1,1,2026-08-24T00:00:00.000
54,FQ000054,8,Granite FiscalQuarter 54,1,1,2026-08-24T00:00:00.000
55,FQ000055,17,Cedar FiscalQuarter 55,1,1,2026-08-24T00:00:00.000
56,FQ000056,1,Unity FiscalQuarter 56,1,1,2026-08-24T00:00:00.000
57,FQ000057,15,Orion FiscalQuarter 57,1,1,2026-08-24T00:00:00.000
58,FQ000058,9,Willow FiscalQuarter 58,1,1,2026-08-24T00:00:00.000
59,FQ000059,1,Atlas FiscalQuarter 59,1,1,2026-08-24T00:00:00.000
60,FQ000060,10,Keystone FiscalQuarter 60,1,1,2026-08-24T00:00:00.000
61,FQ000061,8,Quartz FiscalQuarter 61,1,1,2026-08-24T00:00:00.000
62,FQ000062,20,Harbor FiscalQuarter 62,1,1,2026-08-24T00:00:00.000
