MaintenanceTradeKey,MaintenanceTradeCode,MaintenanceRegionKey,MaintenanceTradeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MT000001,4,Riverton MaintenanceTrade 1,1,1,2026-08-24T00:00:00.000
2,MT000002,6,Vertex MaintenanceTrade 2,1,1,2026-08-24T00:00:00.000
3,MT000003,2,Northstar MaintenanceTrade 3,1,1,2026-08-24T00:00:00.000
4,MT000004,3,Zenith MaintenanceTrade 4,1,1,2026-08-24T00:00:00.000
5,MT000005,3,Willow MaintenanceTrade 5,1,1,2026-08-24T00:00:00.000
6,MT000006,2,Unity MaintenanceTrade 6,1,1,2026-08-24T00:00:00.000
7,MT000007,2,Northstar MaintenanceTrade 7,1,1,2026-08-24T00:00:00.000
8,MT000008,6,Unity MaintenanceTrade 8,1,1,2026-08-24T00:00:00.000
9,MT000009,4,Willow MaintenanceTrade 9,1,1,2026-08-24T00:00:00.000
10,MT000010,7,Evergreen MaintenanceTrade 10,1,1,2026-08-24T00:00:00.000
11,MT000011,6,Northstar MaintenanceTrade 11,1,1,2026-08-24T00:00:00.000
12,MT000012,4,Pioneer MaintenanceTrade 12,1,1,2026-08-24T00:00:00.000
13,MT000013,3,Willow MaintenanceTrade 13,1,1,2026-08-24T00:00:00.000
14,MT000014,6,Junction MaintenanceTrade 14,1,1,2026-08-24T00:00:00.000
15,MT000015,5,Harbor MaintenanceTrade 15,1,1,2026-08-24T00:00:00.000
16,MT000016,3,Beacon MaintenanceTrade 16,1,1,2026-08-24T00:00:00.000
17,MT000017,5,Riverton MaintenanceTrade 17,1,1,2026-08-24T00:00:00.000
18,MT000018,5,Riverton MaintenanceTrade 18,1,1,2026-08-24T00:00:00.000
19,MT000019,8,Zenith MaintenanceTrade 19,1,1,2026-08-24T00:00:00.000
20,MT000020,4,Forge MaintenanceTrade 20,1,1,2026-08-24T00:00:00.000
21,MT000021,5,Meridian MaintenanceTrade 21,1,1,2026-08-24T00:00:00.000
22,MT000022,4,Pioneer MaintenanceTrade 22,1,1,2026-08-24T00:00:00.000
23,MT000023,7,Unity MaintenanceTrade 23,1,1,2026-08-24T00:00:00.000
24,MT000024,6,Atlas MaintenanceTrade 24,1,1,2026-08-24T00:00:00.000
25,MT000025,5,Liberty MaintenanceTrade 25,1,1,2026-08-24T00:00:00.000
26,MT000026,3,Zenith MaintenanceTrade 26,1,1,2026-08-24T00:00:00.000
27,MT000027,5,Riverton MaintenanceTrade 27,1,1,2026-08-24T00:00:00.000
28,MT000028,8,Titan MaintenanceTrade 28,1,1,2026-08-24T00:00:00.000
29,MT000029,8,Granite MaintenanceTrade 29,1,1,2026-08-24T00:00:00.000
30,MT000030,3,Summit MaintenanceTrade 30,1,1,2026-08-24T00:00:00.000
31,MT000031,7,Meridian MaintenanceTrade 31,1,1,2026-08-24T00:00:00.000
32,MT000032,2,Titan MaintenanceTrade 32,1,1,2026-08-24T00:00:00.000
33,MT000033,7,Keystone MaintenanceTrade 33,1,1,2026-08-24T00:00:00.000
34,MT000034,4,Evergreen MaintenanceTrade 34,1,1,2026-08-24T00:00:00.000
35,MT000035,7,Junction MaintenanceTrade 35,1,1,2026-08-24T00:00:00.000
36,MT000036,1,Forge MaintenanceTrade 36,1,1,2026-08-24T00:00:00.000
37,MT000037,6,Northstar MaintenanceTrade 37,1,1,2026-08-24T00:00:00.000
38,MT000038,6,Granite MaintenanceTrade 38,1,1,2026-08-24T00:00:00.000
39,MT000039,6,Orion MaintenanceTrade 39,1,1,2026-08-24T00:00:00.000
40,MT000040,3,Summit MaintenanceTrade 40,1,1,2026-08-24T00:00:00.000
41,MT000041,4,Willow MaintenanceTrade 41,1,1,2026-08-24T00:00:00.000
42,MT000042,1,Quartz MaintenanceTrade 42,1,1,2026-08-24T00:00:00.000
43,MT000043,5,Pioneer MaintenanceTrade 43,1,1,2026-08-24T00:00:00.000
44,MT000044,4,Summit MaintenanceTrade 44,1,1,2026-08-24T00:00:00.000
45,MT000045,1,Zenith MaintenanceTrade 45,1,1,2026-08-24T00:00:00.000
