SafetyHazardCategoryKey,SafetyHazardCategoryCode,SafetyHazardFamilyKey,SafetyHazardCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SHC000001,1,Zenith SafetyHazardCategory 1,1,1,2026-08-24T00:00:00.000
2,SHC000002,7,Evergreen SafetyHazardCategory 2,1,1,2026-08-24T00:00:00.000
3,SHC000003,4,Cedar SafetyHazardCategory 3,1,1,2026-08-24T00:00:00.000
4,SHC000004,6,Cedar SafetyHazardCategory 4,1,1,2026-08-24T00:00:00.000
5,SHC000005,4,Cedar SafetyHazardCategory 5,1,1,2026-08-24T00:00:00.000
6,SHC000006,12,Cedar SafetyHazardCategory 6,1,1,2026-08-24T00:00:00.000
7,SHC000007,9,Northstar SafetyHazardCategory 7,1,1,2026-08-24T00:00:00.000
8,SHC000008,4,Unity SafetyHazardCategory 8,1,1,2026-08-24T00:00:00.000
9,SHC000009,7,Granite SafetyHazardCategory 9,1,1,2026-08-24T00:00:00.000
10,SHC000010,11,Liberty SafetyHazardCategory 10,1,1,2026-08-24T00:00:00.000
11,SHC000011,3,Summit SafetyHazardCategory 11,1,1,2026-08-24T00:00:00.000
12,SHC000012,10,Willow SafetyHazardCategory 12,1,1,2026-08-24T00:00:00.000
13,SHC000013,10,Willow SafetyHazardCategory 13,1,1,2026-08-24T00:00:00.000
14,SHC000014,10,Riverton SafetyHazardCategory 14,1,1,2026-08-24T00:00:00.000
15,SHC000015,7,Harbor SafetyHazardCategory 15,1,1,2026-08-24T00:00:00.000
16,SHC000016,11,Riverton SafetyHazardCategory 16,1,1,2026-08-24T00:00:00.000
17,SHC000017,5,Quartz SafetyHazardCategory 17,1,1,2026-08-24T00:00:00.000
18,SHC000018,12,Granite SafetyHazardCategory 18,1,1,2026-08-24T00:00:00.000
19,SHC000019,11,Harbor SafetyHazardCategory 19,1,1,2026-08-24T00:00:00.000
20,SHC000020,5,Atlas SafetyHazardCategory 20,1,1,2026-08-24T00:00:00.000
21,SHC000021,3,Ion SafetyHazardCategory 21,1,1,2026-08-24T00:00:00.000
22,SHC000022,2,Atlas SafetyHazardCategory 22,1,1,2026-08-24T00:00:00.000
23,SHC000023,4,Forge SafetyHazardCategory 23,1,1,2026-08-24T00:00:00.000
24,SHC000024,1,Keystone SafetyHazardCategory 24,1,1,2026-08-24T00:00:00.000
25,SHC000025,11,Forge SafetyHazardCategory 25,1,1,2026-08-24T00:00:00.000
26,SHC000026,8,Titan SafetyHazardCategory 26,1,1,2026-08-24T00:00:00.000
27,SHC000027,6,Forge SafetyHazardCategory 27,1,1,2026-08-24T00:00:00.000
28,SHC000028,5,Orion SafetyHazardCategory 28,1,1,2026-08-24T00:00:00.000
29,SHC000029,7,Cedar SafetyHazardCategory 29,1,1,2026-08-24T00:00:00.000
30,SHC000030,10,Keystone SafetyHazardCategory 30,1,1,2026-08-24T00:00:00.000
31,SHC000031,4,Meridian SafetyHazardCategory 31,1,1,2026-08-24T00:00:00.000
32,SHC000032,4,Meridian SafetyHazardCategory 32,1,1,2026-08-24T00:00:00.000
33,SHC000033,9,Ion SafetyHazardCategory 33,1,1,2026-08-24T00:00:00.000
34,SHC000034,5,Vertex SafetyHazardCategory 34,1,1,2026-08-24T00:00:00.000
35,SHC000035,8,Northstar SafetyHazardCategory 35,1,1,2026-08-24T00:00:00.000
36,SHC000036,10,Harbor SafetyHazardCategory 36,1,1,2026-08-24T00:00:00.000
37,SHC000037,1,Cedar SafetyHazardCategory 37,1,1,2026-08-24T00:00:00.000
38,SHC000038,1,Northstar SafetyHazardCategory 38,1,1,2026-08-24T00:00:00.000
39,SHC000039,3,Orion SafetyHazardCategory 39,1,1,2026-08-24T00:00:00.000
40,SHC000040,10,Riverton SafetyHazardCategory 40,1,1,2026-08-24T00:00:00.000
41,SHC000041,11,Zenith SafetyHazardCategory 41,1,1,2026-08-24T00:00:00.000
42,SHC000042,8,Cedar SafetyHazardCategory 42,1,1,2026-08-24T00:00:00.000
43,SHC000043,7,Beacon SafetyHazardCategory 43,1,1,2026-08-24T00:00:00.000
44,SHC000044,2,Keystone SafetyHazardCategory 44,1,1,2026-08-24T00:00:00.000
45,SHC000045,1,Harbor SafetyHazardCategory 45,1,1,2026-08-24T00:00:00.000
46,SHC000046,5,Titan SafetyHazardCategory 46,1,1,2026-08-24T00:00:00.000
47,SHC000047,9,Pioneer SafetyHazardCategory 47,1,1,2026-08-24T00:00:00.000
48,SHC000048,2,Meridian SafetyHazardCategory 48,1,1,2026-08-24T00:00:00.000
49,SHC000049,5,Vertex SafetyHazardCategory 49,1,1,2026-08-24T00:00:00.000
50,SHC000050,8,Titan SafetyHazardCategory 50,1,1,2026-08-24T00:00:00.000
51,SHC000051,7,Cedar SafetyHazardCategory 51,1,1,2026-08-24T00:00:00.000
52,SHC000052,1,Beacon SafetyHazardCategory 52,1,1,2026-08-24T00:00:00.000
