InventorySafetyStockPolicyKey,SafetyStockPolicyCode,ProductKey,PlantKey,InventoryPolicySegmentKey,InventoryAbcClassKey,UnitOfMeasureKey,MinimumQuantity,MaximumQuantity,ReorderPointQuantity,ReviewCycleDays,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,0.0000,0.0000,0.0000,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,ISSP000001,15,242,114,5,6,0.8000,0.8000,0.8000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89ae1ad24d8f57819e0dd973ae478f0b89ae1ad24d8f57819e0dd973ae478f0b
2,ISSP000002,260,60,343,5,1,1.5000,1.5000,1.5000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d58d5bf255f95477a7f9c05583c60133d58d5bf255f95477a7f9c05583c60133
3,ISSP000003,108,94,356,2,4,2.2000,2.2000,2.2000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,721bb36ab8d75f1787c310107cc61900721bb36ab8d75f1787c310107cc61900
4,ISSP000004,468,175,250,5,2,2.9000,2.9000,2.9000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a52b9bec3d25d6098b6524ec0953c534a52b9bec3d25d6098b6524ec0953c53
5,ISSP000005,499,133,141,2,5,3.6000,3.6000,3.6000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a6607285328555c9de4fabc5472a6293a6607285328555c9de4fabc5472a629
6,ISSP000006,276,52,81,1,3,4.3000,4.3000,4.3000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d345def4df665012a45c38555917e497d345def4df665012a45c38555917e497
7,ISSP000007,483,295,210,3,3,5.0000,5.0000,5.0000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4d1bba42b9a54118cbcd78210ba8f7fe4d1bba42b9a54118cbcd78210ba8f7f
8,ISSP000008,149,67,181,3,7,5.7000,5.7000,5.7000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81d43fc0f8a15e9d85a523ab992e594b81d43fc0f8a15e9d85a523ab992e594b
9,ISSP000009,323,325,127,1,1,6.4000,6.4000,6.4000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,921f0d7a73c956ef9e074410157a44a0921f0d7a73c956ef9e074410157a44a0
