MaintenanceAssetClassKey,MaintenanceAssetClassCode,MaintenanceAssetSystemKey,MaintenanceAssetClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MAC000001,2,Liberty MaintenanceAssetClass 1,1,1,2026-08-24T00:00:00.000
2,MAC000002,7,Summit MaintenanceAssetClass 2,1,1,2026-08-24T00:00:00.000
3,MAC000003,1,Willow MaintenanceAssetClass 3,1,1,2026-08-24T00:00:00.000
4,MAC000004,9,Unity MaintenanceAssetClass 4,1,1,2026-08-24T00:00:00.000
5,MAC000005,17,Riverton MaintenanceAssetClass 5,1,1,2026-08-24T00:00:00.000
6,MAC000006,16,Junction MaintenanceAssetClass 6,1,1,2026-08-24T00:00:00.000
7,MAC000007,8,Delta MaintenanceAssetClass 7,1,1,2026-08-24T00:00:00.000
8,MAC000008,4,Forge MaintenanceAssetClass 8,1,1,2026-08-24T00:00:00.000
9,MAC000009,12,Orion MaintenanceAssetClass 9,1,1,2026-08-24T00:00:00.000
10,MAC000010,7,Zenith MaintenanceAssetClass 10,1,1,2026-08-24T00:00:00.000
11,MAC000011,10,Delta MaintenanceAssetClass 11,1,1,2026-08-24T00:00:00.000
12,MAC000012,19,Cedar MaintenanceAssetClass 12,1,1,2026-08-24T00:00:00.000
13,MAC000013,4,Northstar MaintenanceAssetClass 13,1,1,2026-08-24T00:00:00.000
14,MAC000014,11,Beacon MaintenanceAssetClass 14,1,1,2026-08-24T00:00:00.000
15,MAC000015,19,Harbor MaintenanceAssetClass 15,1,1,2026-08-24T00:00:00.000
16,MAC000016,14,Orion MaintenanceAssetClass 16,1,1,2026-08-24T00:00:00.000
17,MAC000017,15,Quartz MaintenanceAssetClass 17,1,1,2026-08-24T00:00:00.000
18,MAC000018,11,Ion MaintenanceAssetClass 18,1,1,2026-08-24T00:00:00.000
19,MAC000019,18,Cedar MaintenanceAssetClass 19,1,1,2026-08-24T00:00:00.000
20,MAC000020,20,Harbor MaintenanceAssetClass 20,1,1,2026-08-24T00:00:00.000
21,MAC000021,15,Junction MaintenanceAssetClass 21,1,1,2026-08-24T00:00:00.000
22,MAC000022,1,Forge MaintenanceAssetClass 22,1,1,2026-08-24T00:00:00.000
23,MAC000023,6,Meridian MaintenanceAssetClass 23,1,1,2026-08-24T00:00:00.000
24,MAC000024,5,Forge MaintenanceAssetClass 24,1,1,2026-08-24T00:00:00.000
25,MAC000025,3,Willow MaintenanceAssetClass 25,1,1,2026-08-24T00:00:00.000
26,MAC000026,15,Riverton MaintenanceAssetClass 26,1,1,2026-08-24T00:00:00.000
27,MAC000027,11,Vertex MaintenanceAssetClass 27,1,1,2026-08-24T00:00:00.000
28,MAC000028,3,Liberty MaintenanceAssetClass 28,1,1,2026-08-24T00:00:00.000
29,MAC000029,19,Ion MaintenanceAssetClass 29,1,1,2026-08-24T00:00:00.000
30,MAC000030,2,Willow MaintenanceAssetClass 30,1,1,2026-08-24T00:00:00.000
31,MAC000031,18,Riverton MaintenanceAssetClass 31,1,1,2026-08-24T00:00:00.000
32,MAC000032,8,Liberty MaintenanceAssetClass 32,1,1,2026-08-24T00:00:00.000
33,MAC000033,4,Harbor MaintenanceAssetClass 33,1,1,2026-08-24T00:00:00.000
34,MAC000034,11,Liberty MaintenanceAssetClass 34,1,1,2026-08-24T00:00:00.000
35,MAC000035,20,Atlas MaintenanceAssetClass 35,1,1,2026-08-24T00:00:00.000
36,MAC000036,14,Pioneer MaintenanceAssetClass 36,1,1,2026-08-24T00:00:00.000
37,MAC000037,2,Granite MaintenanceAssetClass 37,1,1,2026-08-24T00:00:00.000
38,MAC000038,16,Harbor MaintenanceAssetClass 38,1,1,2026-08-24T00:00:00.000
39,MAC000039,3,Riverton MaintenanceAssetClass 39,1,1,2026-08-24T00:00:00.000
40,MAC000040,8,Zenith MaintenanceAssetClass 40,1,1,2026-08-24T00:00:00.000
41,MAC000041,6,Unity MaintenanceAssetClass 41,1,1,2026-08-24T00:00:00.000
42,MAC000042,1,Riverton MaintenanceAssetClass 42,1,1,2026-08-24T00:00:00.000
43,MAC000043,1,Meridian MaintenanceAssetClass 43,1,1,2026-08-24T00:00:00.000
