PurchaseApprovalLevelKey,PurchaseApprovalLevelCode,PurchaseApprovalPolicyKey,PurchaseApprovalLevelName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PAL000001,20,Evergreen PurchaseApprovalLevel 1,1,1,2026-08-24T00:00:00.000
2,PAL000002,5,Harbor PurchaseApprovalLevel 2,1,1,2026-08-24T00:00:00.000
3,PAL000003,19,Beacon PurchaseApprovalLevel 3,1,1,2026-08-24T00:00:00.000
4,PAL000004,2,Meridian PurchaseApprovalLevel 4,1,1,2026-08-24T00:00:00.000
5,PAL000005,16,Zenith PurchaseApprovalLevel 5,1,1,2026-08-24T00:00:00.000
6,PAL000006,23,Vertex PurchaseApprovalLevel 6,1,1,2026-08-24T00:00:00.000
7,PAL000007,25,Unity PurchaseApprovalLevel 7,1,1,2026-08-24T00:00:00.000
8,PAL000008,13,Junction PurchaseApprovalLevel 8,1,1,2026-08-24T00:00:00.000
9,PAL000009,8,Ion PurchaseApprovalLevel 9,1,1,2026-08-24T00:00:00.000
10,PAL000010,15,Summit PurchaseApprovalLevel 10,1,1,2026-08-24T00:00:00.000
11,PAL000011,13,Unity PurchaseApprovalLevel 11,1,1,2026-08-24T00:00:00.000
12,PAL000012,8,Ion PurchaseApprovalLevel 12,1,1,2026-08-24T00:00:00.000
13,PAL000013,8,Northstar PurchaseApprovalLevel 13,1,1,2026-08-24T00:00:00.000
14,PAL000014,13,Vertex PurchaseApprovalLevel 14,1,1,2026-08-24T00:00:00.000
15,PAL000015,5,Liberty PurchaseApprovalLevel 15,1,1,2026-08-24T00:00:00.000
16,PAL000016,7,Evergreen PurchaseApprovalLevel 16,1,1,2026-08-24T00:00:00.000
17,PAL000017,1,Pioneer PurchaseApprovalLevel 17,1,1,2026-08-24T00:00:00.000
18,PAL000018,11,Willow PurchaseApprovalLevel 18,1,1,2026-08-24T00:00:00.000
19,PAL000019,19,Ion PurchaseApprovalLevel 19,1,1,2026-08-24T00:00:00.000
20,PAL000020,20,Unity PurchaseApprovalLevel 20,1,1,2026-08-24T00:00:00.000
21,PAL000021,15,Quartz PurchaseApprovalLevel 21,1,1,2026-08-24T00:00:00.000
22,PAL000022,25,Meridian PurchaseApprovalLevel 22,1,1,2026-08-24T00:00:00.000
23,PAL000023,22,Junction PurchaseApprovalLevel 23,1,1,2026-08-24T00:00:00.000
24,PAL000024,8,Junction PurchaseApprovalLevel 24,1,1,2026-08-24T00:00:00.000
25,PAL000025,7,Titan PurchaseApprovalLevel 25,1,1,2026-08-24T00:00:00.000
26,PAL000026,7,Unity PurchaseApprovalLevel 26,1,1,2026-08-24T00:00:00.000
27,PAL000027,17,Evergreen PurchaseApprovalLevel 27,1,1,2026-08-24T00:00:00.000
28,PAL000028,25,Liberty PurchaseApprovalLevel 28,1,1,2026-08-24T00:00:00.000
29,PAL000029,4,Unity PurchaseApprovalLevel 29,1,1,2026-08-24T00:00:00.000
30,PAL000030,15,Evergreen PurchaseApprovalLevel 30,1,1,2026-08-24T00:00:00.000
31,PAL000031,22,Keystone PurchaseApprovalLevel 31,1,1,2026-08-24T00:00:00.000
32,PAL000032,7,Forge PurchaseApprovalLevel 32,1,1,2026-08-24T00:00:00.000
33,PAL000033,18,Quartz PurchaseApprovalLevel 33,1,1,2026-08-24T00:00:00.000
34,PAL000034,8,Delta PurchaseApprovalLevel 34,1,1,2026-08-24T00:00:00.000
35,PAL000035,25,Junction PurchaseApprovalLevel 35,1,1,2026-08-24T00:00:00.000
36,PAL000036,11,Pioneer PurchaseApprovalLevel 36,1,1,2026-08-24T00:00:00.000
37,PAL000037,13,Junction PurchaseApprovalLevel 37,1,1,2026-08-24T00:00:00.000
38,PAL000038,2,Harbor PurchaseApprovalLevel 38,1,1,2026-08-24T00:00:00.000
39,PAL000039,14,Willow PurchaseApprovalLevel 39,1,1,2026-08-24T00:00:00.000
40,PAL000040,23,Meridian PurchaseApprovalLevel 40,1,1,2026-08-24T00:00:00.000
41,PAL000041,15,Northstar PurchaseApprovalLevel 41,1,1,2026-08-24T00:00:00.000
42,PAL000042,16,Zenith PurchaseApprovalLevel 42,1,1,2026-08-24T00:00:00.000
43,PAL000043,23,Titan PurchaseApprovalLevel 43,1,1,2026-08-24T00:00:00.000
44,PAL000044,17,Summit PurchaseApprovalLevel 44,1,1,2026-08-24T00:00:00.000
45,PAL000045,15,Harbor PurchaseApprovalLevel 45,1,1,2026-08-24T00:00:00.000
46,PAL000046,15,Riverton PurchaseApprovalLevel 46,1,1,2026-08-24T00:00:00.000
47,PAL000047,11,Northstar PurchaseApprovalLevel 47,1,1,2026-08-24T00:00:00.000
48,PAL000048,1,Vertex PurchaseApprovalLevel 48,1,1,2026-08-24T00:00:00.000
49,PAL000049,5,Zenith PurchaseApprovalLevel 49,1,1,2026-08-24T00:00:00.000
50,PAL000050,10,Delta PurchaseApprovalLevel 50,1,1,2026-08-24T00:00:00.000
51,PAL000051,23,Beacon PurchaseApprovalLevel 51,1,1,2026-08-24T00:00:00.000
52,PAL000052,13,Granite PurchaseApprovalLevel 52,1,1,2026-08-24T00:00:00.000
53,PAL000053,21,Junction PurchaseApprovalLevel 53,1,1,2026-08-24T00:00:00.000
54,PAL000054,4,Willow PurchaseApprovalLevel 54,1,1,2026-08-24T00:00:00.000
55,PAL000055,23,Orion PurchaseApprovalLevel 55,1,1,2026-08-24T00:00:00.000
56,PAL000056,17,Titan PurchaseApprovalLevel 56,1,1,2026-08-24T00:00:00.000
57,PAL000057,13,Cedar PurchaseApprovalLevel 57,1,1,2026-08-24T00:00:00.000
58,PAL000058,25,Northstar PurchaseApprovalLevel 58,1,1,2026-08-24T00:00:00.000
59,PAL000059,9,Liberty PurchaseApprovalLevel 59,1,1,2026-08-24T00:00:00.000
60,PAL000060,11,Titan PurchaseApprovalLevel 60,1,1,2026-08-24T00:00:00.000
61,PAL000061,14,Keystone PurchaseApprovalLevel 61,1,1,2026-08-24T00:00:00.000
62,PAL000062,13,Zenith PurchaseApprovalLevel 62,1,1,2026-08-24T00:00:00.000
63,PAL000063,3,Zenith PurchaseApprovalLevel 63,1,1,2026-08-24T00:00:00.000
64,PAL000064,17,Liberty PurchaseApprovalLevel 64,1,1,2026-08-24T00:00:00.000
