BomUsageCategoryKey,BomUsageCategoryCode,BomSubClassKey,BomUsageCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,BUC000001,241,Titan BomUsageCategory 1,1,1,2026-08-24T00:00:00.000
2,BUC000002,46,Unity BomUsageCategory 2,1,1,2026-08-24T00:00:00.000
3,BUC000003,52,Atlas BomUsageCategory 3,1,1,2026-08-24T00:00:00.000
4,BUC000004,101,Orion BomUsageCategory 4,1,1,2026-08-24T00:00:00.000
5,BUC000005,16,Pioneer BomUsageCategory 5,1,1,2026-08-24T00:00:00.000
6,BUC000006,40,Junction BomUsageCategory 6,1,1,2026-08-24T00:00:00.000
7,BUC000007,164,Harbor BomUsageCategory 7,1,1,2026-08-24T00:00:00.000
8,BUC000008,94,Cedar BomUsageCategory 8,1,1,2026-08-24T00:00:00.000
9,BUC000009,127,Junction BomUsageCategory 9,1,1,2026-08-24T00:00:00.000
10,BUC000010,81,Liberty BomUsageCategory 10,1,1,2026-08-24T00:00:00.000
11,BUC000011,218,Evergreen BomUsageCategory 11,1,1,2026-08-24T00:00:00.000
12,BUC000012,168,Junction BomUsageCategory 12,1,1,2026-08-24T00:00:00.000
13,BUC000013,122,Junction BomUsageCategory 13,1,1,2026-08-24T00:00:00.000
14,BUC000014,147,Evergreen BomUsageCategory 14,1,1,2026-08-24T00:00:00.000
15,BUC000015,71,Pioneer BomUsageCategory 15,1,1,2026-08-24T00:00:00.000
16,BUC000016,138,Liberty BomUsageCategory 16,1,1,2026-08-24T00:00:00.000
17,BUC000017,204,Meridian BomUsageCategory 17,1,1,2026-08-24T00:00:00.000
18,BUC000018,15,Vertex BomUsageCategory 18,1,1,2026-08-24T00:00:00.000
19,BUC000019,38,Evergreen BomUsageCategory 19,1,1,2026-08-24T00:00:00.000
20,BUC000020,165,Meridian BomUsageCategory 20,1,1,2026-08-24T00:00:00.000
21,BUC000021,223,Ion BomUsageCategory 21,1,1,2026-08-24T00:00:00.000
22,BUC000022,34,Keystone BomUsageCategory 22,1,1,2026-08-24T00:00:00.000
23,BUC000023,227,Orion BomUsageCategory 23,1,1,2026-08-24T00:00:00.000
24,BUC000024,13,Granite BomUsageCategory 24,1,1,2026-08-24T00:00:00.000
25,BUC000025,167,Evergreen BomUsageCategory 25,1,1,2026-08-24T00:00:00.000
26,BUC000026,60,Granite BomUsageCategory 26,1,1,2026-08-24T00:00:00.000
27,BUC000027,141,Keystone BomUsageCategory 27,1,1,2026-08-24T00:00:00.000
28,BUC000028,235,Pioneer BomUsageCategory 28,1,1,2026-08-24T00:00:00.000
29,BUC000029,170,Forge BomUsageCategory 29,1,1,2026-08-24T00:00:00.000
30,BUC000030,196,Northstar BomUsageCategory 30,1,1,2026-08-24T00:00:00.000
31,BUC000031,207,Beacon BomUsageCategory 31,1,1,2026-08-24T00:00:00.000
32,BUC000032,238,Harbor BomUsageCategory 32,1,1,2026-08-24T00:00:00.000
33,BUC000033,4,Quartz BomUsageCategory 33,1,1,2026-08-24T00:00:00.000
34,BUC000034,119,Titan BomUsageCategory 34,1,1,2026-08-24T00:00:00.000
35,BUC000035,245,Zenith BomUsageCategory 35,1,1,2026-08-24T00:00:00.000
36,BUC000036,71,Liberty BomUsageCategory 36,1,1,2026-08-24T00:00:00.000
37,BUC000037,239,Pioneer BomUsageCategory 37,1,1,2026-08-24T00:00:00.000
38,BUC000038,116,Willow BomUsageCategory 38,1,1,2026-08-24T00:00:00.000
39,BUC000039,193,Delta BomUsageCategory 39,1,1,2026-08-24T00:00:00.000
40,BUC000040,71,Unity BomUsageCategory 40,1,1,2026-08-24T00:00:00.000
41,BUC000041,157,Liberty BomUsageCategory 41,1,1,2026-08-24T00:00:00.000
42,BUC000042,54,Willow BomUsageCategory 42,1,1,2026-08-24T00:00:00.000
43,BUC000043,41,Northstar BomUsageCategory 43,1,1,2026-08-24T00:00:00.000
44,BUC000044,238,Liberty BomUsageCategory 44,1,1,2026-08-24T00:00:00.000
45,BUC000045,102,Quartz BomUsageCategory 45,1,1,2026-08-24T00:00:00.000
46,BUC000046,89,Orion BomUsageCategory 46,1,1,2026-08-24T00:00:00.000
47,BUC000047,48,Junction BomUsageCategory 47,1,1,2026-08-24T00:00:00.000
48,BUC000048,53,Atlas BomUsageCategory 48,1,1,2026-08-24T00:00:00.000
49,BUC000049,12,Cedar BomUsageCategory 49,1,1,2026-08-24T00:00:00.000
50,BUC000050,145,Summit BomUsageCategory 50,1,1,2026-08-24T00:00:00.000
51,BUC000051,118,Titan BomUsageCategory 51,1,1,2026-08-24T00:00:00.000
52,BUC000052,151,Riverton BomUsageCategory 52,1,1,2026-08-24T00:00:00.000
53,BUC000053,216,Forge BomUsageCategory 53,1,1,2026-08-24T00:00:00.000
54,BUC000054,108,Delta BomUsageCategory 54,1,1,2026-08-24T00:00:00.000
55,BUC000055,76,Riverton BomUsageCategory 55,1,1,2026-08-24T00:00:00.000
56,BUC000056,17,Keystone BomUsageCategory 56,1,1,2026-08-24T00:00:00.000
57,BUC000057,169,Riverton BomUsageCategory 57,1,1,2026-08-24T00:00:00.000
58,BUC000058,79,Northstar BomUsageCategory 58,1,1,2026-08-24T00:00:00.000
59,BUC000059,80,Unity BomUsageCategory 59,1,1,2026-08-24T00:00:00.000
60,BUC000060,69,Zenith BomUsageCategory 60,1,1,2026-08-24T00:00:00.000
61,BUC000061,231,Riverton BomUsageCategory 61,1,1,2026-08-24T00:00:00.000
62,BUC000062,214,Orion BomUsageCategory 62,1,1,2026-08-24T00:00:00.000
63,BUC000063,20,Cedar BomUsageCategory 63,1,1,2026-08-24T00:00:00.000
64,BUC000064,167,Vertex BomUsageCategory 64,1,1,2026-08-24T00:00:00.000
65,BUC000065,144,Zenith BomUsageCategory 65,1,1,2026-08-24T00:00:00.000
66,BUC000066,99,Quartz BomUsageCategory 66,1,1,2026-08-24T00:00:00.000
67,BUC000067,189,Junction BomUsageCategory 67,1,1,2026-08-24T00:00:00.000
68,BUC000068,28,Ion BomUsageCategory 68,1,1,2026-08-24T00:00:00.000
69,BUC000069,14,Beacon BomUsageCategory 69,1,1,2026-08-24T00:00:00.000
70,BUC000070,16,Riverton BomUsageCategory 70,1,1,2026-08-24T00:00:00.000
71,BUC000071,115,Riverton BomUsageCategory 71,1,1,2026-08-24T00:00:00.000
72,BUC000072,72,Evergreen BomUsageCategory 72,1,1,2026-08-24T00:00:00.000
73,BUC000073,246,Keystone BomUsageCategory 73,1,1,2026-08-24T00:00:00.000
74,BUC000074,18,Cedar BomUsageCategory 74,1,1,2026-08-24T00:00:00.000
75,BUC000075,66,Forge BomUsageCategory 75,1,1,2026-08-24T00:00:00.000
76,BUC000076,89,Harbor BomUsageCategory 76,1,1,2026-08-24T00:00:00.000
77,BUC000077,91,Granite BomUsageCategory 77,1,1,2026-08-24T00:00:00.000
78,BUC000078,224,Meridian BomUsageCategory 78,1,1,2026-08-24T00:00:00.000
79,BUC000079,12,Ion BomUsageCategory 79,1,1,2026-08-24T00:00:00.000
80,BUC000080,11,Cedar BomUsageCategory 80,1,1,2026-08-24T00:00:00.000
81,BUC000081,52,Beacon BomUsageCategory 81,1,1,2026-08-24T00:00:00.000
82,BUC000082,72,Harbor BomUsageCategory 82,1,1,2026-08-24T00:00:00.000
83,BUC000083,115,Harbor BomUsageCategory 83,1,1,2026-08-24T00:00:00.000
84,BUC000084,249,Beacon BomUsageCategory 84,1,1,2026-08-24T00:00:00.000
85,BUC000085,199,Evergreen BomUsageCategory 85,1,1,2026-08-24T00:00:00.000
86,BUC000086,49,Summit BomUsageCategory 86,1,1,2026-08-24T00:00:00.000
87,BUC000087,237,Harbor BomUsageCategory 87,1,1,2026-08-24T00:00:00.000
88,BUC000088,148,Harbor BomUsageCategory 88,1,1,2026-08-24T00:00:00.000
89,BUC000089,138,Riverton BomUsageCategory 89,1,1,2026-08-24T00:00:00.000
90,BUC000090,79,Quartz BomUsageCategory 90,1,1,2026-08-24T00:00:00.000
91,BUC000091,45,Liberty BomUsageCategory 91,1,1,2026-08-24T00:00:00.000
92,BUC000092,13,Titan BomUsageCategory 92,1,1,2026-08-24T00:00:00.000
93,BUC000093,18,Ion BomUsageCategory 93,1,1,2026-08-24T00:00:00.000
94,BUC000094,81,Vertex BomUsageCategory 94,1,1,2026-08-24T00:00:00.000
95,BUC000095,19,Beacon BomUsageCategory 95,1,1,2026-08-24T00:00:00.000
96,BUC000096,110,Granite BomUsageCategory 96,1,1,2026-08-24T00:00:00.000
97,BUC000097,191,Delta BomUsageCategory 97,1,1,2026-08-24T00:00:00.000
98,BUC000098,138,Granite BomUsageCategory 98,1,1,2026-08-24T00:00:00.000
99,BUC000099,102,Keystone BomUsageCategory 99,1,1,2026-08-24T00:00:00.000
100,BUC000100,75,Orion BomUsageCategory 100,1,1,2026-08-24T00:00:00.000
101,BUC000101,236,Beacon BomUsageCategory 101,1,1,2026-08-24T00:00:00.000
102,BUC000102,198,Junction BomUsageCategory 102,1,1,2026-08-24T00:00:00.000
103,BUC000103,152,Zenith BomUsageCategory 103,1,1,2026-08-24T00:00:00.000
104,BUC000104,126,Titan BomUsageCategory 104,1,1,2026-08-24T00:00:00.000
105,BUC000105,63,Junction BomUsageCategory 105,1,1,2026-08-24T00:00:00.000
106,BUC000106,149,Granite BomUsageCategory 106,1,1,2026-08-24T00:00:00.000
107,BUC000107,237,Pioneer BomUsageCategory 107,1,1,2026-08-24T00:00:00.000
108,BUC000108,104,Forge BomUsageCategory 108,1,1,2026-08-24T00:00:00.000
