ProductSubfamilyKey,ProductSubfamilyCode,ProductFamilyKey,ProductSubfamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PS000001,41,Cedar ProductSubfamily 1,1,1,2026-08-24T00:00:00.000
2,PS000002,99,Quartz ProductSubfamily 2,1,1,2026-08-24T00:00:00.000
3,PS000003,19,Ion ProductSubfamily 3,1,1,2026-08-24T00:00:00.000
4,PS000004,17,Junction ProductSubfamily 4,1,1,2026-08-24T00:00:00.000
5,PS000005,118,Riverton ProductSubfamily 5,1,1,2026-08-24T00:00:00.000
6,PS000006,21,Pioneer ProductSubfamily 6,1,1,2026-08-24T00:00:00.000
7,PS000007,129,Willow ProductSubfamily 7,1,1,2026-08-24T00:00:00.000
8,PS000008,145,Unity ProductSubfamily 8,1,1,2026-08-24T00:00:00.000
9,PS000009,125,Liberty ProductSubfamily 9,1,1,2026-08-24T00:00:00.000
10,PS000010,56,Cedar ProductSubfamily 10,1,1,2026-08-24T00:00:00.000
11,PS000011,103,Harbor ProductSubfamily 11,1,1,2026-08-24T00:00:00.000
12,PS000012,112,Northstar ProductSubfamily 12,1,1,2026-08-24T00:00:00.000
13,PS000013,67,Quartz ProductSubfamily 13,1,1,2026-08-24T00:00:00.000
14,PS000014,33,Titan ProductSubfamily 14,1,1,2026-08-24T00:00:00.000
15,PS000015,46,Liberty ProductSubfamily 15,1,1,2026-08-24T00:00:00.000
16,PS000016,85,Titan ProductSubfamily 16,1,1,2026-08-24T00:00:00.000
17,PS000017,30,Zenith ProductSubfamily 17,1,1,2026-08-24T00:00:00.000
18,PS000018,15,Beacon ProductSubfamily 18,1,1,2026-08-24T00:00:00.000
19,PS000019,70,Summit ProductSubfamily 19,1,1,2026-08-24T00:00:00.000
20,PS000020,132,Vertex ProductSubfamily 20,1,1,2026-08-24T00:00:00.000
21,PS000021,45,Keystone ProductSubfamily 21,1,1,2026-08-24T00:00:00.000
22,PS000022,100,Pioneer ProductSubfamily 22,1,1,2026-08-24T00:00:00.000
23,PS000023,83,Evergreen ProductSubfamily 23,1,1,2026-08-24T00:00:00.000
24,PS000024,69,Beacon ProductSubfamily 24,1,1,2026-08-24T00:00:00.000
25,PS000025,148,Summit ProductSubfamily 25,1,1,2026-08-24T00:00:00.000
26,PS000026,136,Pioneer ProductSubfamily 26,1,1,2026-08-24T00:00:00.000
27,PS000027,101,Summit ProductSubfamily 27,1,1,2026-08-24T00:00:00.000
28,PS000028,58,Northstar ProductSubfamily 28,1,1,2026-08-24T00:00:00.000
29,PS000029,144,Delta ProductSubfamily 29,1,1,2026-08-24T00:00:00.000
30,PS000030,3,Evergreen ProductSubfamily 30,1,1,2026-08-24T00:00:00.000
31,PS000031,27,Pioneer ProductSubfamily 31,1,1,2026-08-24T00:00:00.000
32,PS000032,3,Zenith ProductSubfamily 32,1,1,2026-08-24T00:00:00.000
33,PS000033,33,Titan ProductSubfamily 33,1,1,2026-08-24T00:00:00.000
34,PS000034,73,Orion ProductSubfamily 34,1,1,2026-08-24T00:00:00.000
35,PS000035,24,Zenith ProductSubfamily 35,1,1,2026-08-24T00:00:00.000
36,PS000036,124,Granite ProductSubfamily 36,1,1,2026-08-24T00:00:00.000
37,PS000037,1,Pioneer ProductSubfamily 37,1,1,2026-08-24T00:00:00.000
38,PS000038,32,Vertex ProductSubfamily 38,1,1,2026-08-24T00:00:00.000
39,PS000039,145,Granite ProductSubfamily 39,1,1,2026-08-24T00:00:00.000
40,PS000040,85,Riverton ProductSubfamily 40,1,1,2026-08-24T00:00:00.000
41,PS000041,46,Atlas ProductSubfamily 41,1,1,2026-08-24T00:00:00.000
42,PS000042,21,Delta ProductSubfamily 42,1,1,2026-08-24T00:00:00.000
43,PS000043,87,Vertex ProductSubfamily 43,1,1,2026-08-24T00:00:00.000
44,PS000044,98,Atlas ProductSubfamily 44,1,1,2026-08-24T00:00:00.000
45,PS000045,119,Harbor ProductSubfamily 45,1,1,2026-08-24T00:00:00.000
46,PS000046,131,Junction ProductSubfamily 46,1,1,2026-08-24T00:00:00.000
47,PS000047,46,Harbor ProductSubfamily 47,1,1,2026-08-24T00:00:00.000
48,PS000048,12,Northstar ProductSubfamily 48,1,1,2026-08-24T00:00:00.000
49,PS000049,63,Northstar ProductSubfamily 49,1,1,2026-08-24T00:00:00.000
50,PS000050,107,Delta ProductSubfamily 50,1,1,2026-08-24T00:00:00.000
51,PS000051,116,Pioneer ProductSubfamily 51,1,1,2026-08-24T00:00:00.000
52,PS000052,123,Zenith ProductSubfamily 52,1,1,2026-08-24T00:00:00.000
53,PS000053,140,Ion ProductSubfamily 53,1,1,2026-08-24T00:00:00.000
54,PS000054,144,Granite ProductSubfamily 54,1,1,2026-08-24T00:00:00.000
55,PS000055,42,Orion ProductSubfamily 55,1,1,2026-08-24T00:00:00.000
56,PS000056,95,Beacon ProductSubfamily 56,1,1,2026-08-24T00:00:00.000
57,PS000057,147,Pioneer ProductSubfamily 57,1,1,2026-08-24T00:00:00.000
58,PS000058,46,Meridian ProductSubfamily 58,1,1,2026-08-24T00:00:00.000
59,PS000059,21,Cedar ProductSubfamily 59,1,1,2026-08-24T00:00:00.000
60,PS000060,64,Zenith ProductSubfamily 60,1,1,2026-08-24T00:00:00.000
61,PS000061,81,Vertex ProductSubfamily 61,1,1,2026-08-24T00:00:00.000
62,PS000062,11,Junction ProductSubfamily 62,1,1,2026-08-24T00:00:00.000
63,PS000063,14,Junction ProductSubfamily 63,1,1,2026-08-24T00:00:00.000
64,PS000064,104,Orion ProductSubfamily 64,1,1,2026-08-24T00:00:00.000
65,PS000065,70,Northstar ProductSubfamily 65,1,1,2026-08-24T00:00:00.000
66,PS000066,84,Granite ProductSubfamily 66,1,1,2026-08-24T00:00:00.000
67,PS000067,13,Delta ProductSubfamily 67,1,1,2026-08-24T00:00:00.000
68,PS000068,91,Junction ProductSubfamily 68,1,1,2026-08-24T00:00:00.000
69,PS000069,71,Quartz ProductSubfamily 69,1,1,2026-08-24T00:00:00.000
70,PS000070,30,Evergreen ProductSubfamily 70,1,1,2026-08-24T00:00:00.000
71,PS000071,16,Cedar ProductSubfamily 71,1,1,2026-08-24T00:00:00.000
72,PS000072,67,Meridian ProductSubfamily 72,1,1,2026-08-24T00:00:00.000
73,PS000073,92,Cedar ProductSubfamily 73,1,1,2026-08-24T00:00:00.000
74,PS000074,29,Unity ProductSubfamily 74,1,1,2026-08-24T00:00:00.000
75,PS000075,47,Pioneer ProductSubfamily 75,1,1,2026-08-24T00:00:00.000
76,PS000076,12,Harbor ProductSubfamily 76,1,1,2026-08-24T00:00:00.000
77,PS000077,73,Forge ProductSubfamily 77,1,1,2026-08-24T00:00:00.000
