InventoryLotKey,LotNumber,ProductKey,PlantKey,InventoryStockStatusKey,LotDescription,ManufactureDate,ExpirationDate,IsRestricted,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,N/A,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,IL000001,257,204,5,InventoryLot starter record 1,2020-01-02,2020-01-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d34c6ff00d4957d882d76e0c92c46ca0d34c6ff00d4957d882d76e0c92c46ca0
2,IL000002,94,255,7,InventoryLot starter record 2,2020-01-03,2020-01-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4633b8a7b8705f448af3788d069d1bcd4633b8a7b8705f448af3788d069d1bcd
3,IL000003,207,167,4,InventoryLot starter record 3,2020-01-04,2020-01-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f69bb5f3f1253dd9b02d82fa14274807f69bb5f3f1253dd9b02d82fa1427480
4,IL000004,66,3,4,InventoryLot starter record 4,2020-01-05,2020-01-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b71b0ed06b25e28bec909242d055c6e4b71b0ed06b25e28bec909242d055c6e
5,IL000005,117,242,7,InventoryLot starter record 5,2020-01-06,2020-01-06,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bec3307a4a5b54708f054b825db30a6dbec3307a4a5b54708f054b825db30a6d
6,IL000006,456,102,9,InventoryLot starter record 6,2020-01-07,2020-01-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,650642201eba561ea3aab81bbee65ad1650642201eba561ea3aab81bbee65ad1
7,IL000007,440,83,7,InventoryLot starter record 7,2020-01-08,2020-01-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c5dbf185ae5578bb5fe2dc15f45d56d0c5dbf185ae5578bb5fe2dc15f45d56d
8,IL000008,157,92,1,InventoryLot starter record 8,2020-01-09,2020-01-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f950986dc1fb5467ab683fb4cf8e10f6f950986dc1fb5467ab683fb4cf8e10f6
9,IL000009,369,116,6,InventoryLot starter record 9,2020-01-10,2020-01-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba1dd912cf6d5799a1e0b3722d9d3ea2ba1dd912cf6d5799a1e0b3722d9d3ea2
10,IL000010,185,99,5,InventoryLot starter record 10,2020-01-11,2020-01-11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f351059f28c53d38b1f770fb2313b5a7f351059f28c53d38b1f770fb2313b5a
