InventoryDispositionKey,DispositionCode,ApprovalStatusKey,InventoryStockStatusKey,DispositionName,AllowsShipment,RequiresApproval,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,0,0,-1,0,1900-01-01T00:00:00.000
1,ID000001,5,10,Summit InventoryDisposition 1,1,1,1,1,2026-08-24T00:00:00.000
2,ID000002,2,5,Willow InventoryDisposition 2,0,0,1,1,2026-08-24T00:00:00.000
3,ID000003,1,8,Ion InventoryDisposition 3,1,1,1,1,2026-08-24T00:00:00.000
4,ID000004,3,4,Willow InventoryDisposition 4,0,0,1,1,2026-08-24T00:00:00.000
5,ID000005,4,2,Vertex InventoryDisposition 5,1,1,1,1,2026-08-24T00:00:00.000
6,ID000006,3,5,Delta InventoryDisposition 6,0,0,1,1,2026-08-24T00:00:00.000
7,ID000007,2,7,Orion InventoryDisposition 7,1,1,1,1,2026-08-24T00:00:00.000
8,ID000008,1,6,Pioneer InventoryDisposition 8,0,0,1,1,2026-08-24T00:00:00.000
9,ID000009,2,1,Orion InventoryDisposition 9,1,1,1,1,2026-08-24T00:00:00.000
10,ID000010,5,4,Vertex InventoryDisposition 10,0,0,1,1,2026-08-24T00:00:00.000
11,ID000011,3,8,Liberty InventoryDisposition 11,1,1,1,1,2026-08-24T00:00:00.000
12,ID000012,3,7,Titan InventoryDisposition 12,0,0,1,1,2026-08-24T00:00:00.000
13,ID000013,5,1,Atlas InventoryDisposition 13,1,1,1,1,2026-08-24T00:00:00.000
14,ID000014,3,2,Ion InventoryDisposition 14,0,0,1,1,2026-08-24T00:00:00.000
15,ID000015,4,2,Evergreen InventoryDisposition 15,1,1,1,1,2026-08-24T00:00:00.000
16,ID000016,1,4,Delta InventoryDisposition 16,0,0,1,1,2026-08-24T00:00:00.000
17,ID000017,5,9,Orion InventoryDisposition 17,1,1,1,1,2026-08-24T00:00:00.000
18,ID000018,1,8,Unity InventoryDisposition 18,0,0,1,1,2026-08-24T00:00:00.000
19,ID000019,3,10,Summit InventoryDisposition 19,1,1,1,1,2026-08-24T00:00:00.000
20,ID000020,3,8,Orion InventoryDisposition 20,0,0,1,1,2026-08-24T00:00:00.000
21,ID000021,1,8,Pioneer InventoryDisposition 21,1,1,1,1,2026-08-24T00:00:00.000
22,ID000022,3,4,Junction InventoryDisposition 22,0,0,1,1,2026-08-24T00:00:00.000
