OrgBusinessUnitKey,OrgBusinessUnitCode,OrgRegionKey,OrgBusinessUnitName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,OBU000001,26,Liberty OrgBusinessUnit 1,1,1,2026-08-24T00:00:00.000
2,OBU000002,14,Atlas OrgBusinessUnit 2,1,1,2026-08-24T00:00:00.000
3,OBU000003,29,Meridian OrgBusinessUnit 3,1,1,2026-08-24T00:00:00.000
4,OBU000004,20,Riverton OrgBusinessUnit 4,1,1,2026-08-24T00:00:00.000
5,OBU000005,23,Harbor OrgBusinessUnit 5,1,1,2026-08-24T00:00:00.000
6,OBU000006,16,Titan OrgBusinessUnit 6,1,1,2026-08-24T00:00:00.000
7,OBU000007,13,Delta OrgBusinessUnit 7,1,1,2026-08-24T00:00:00.000
8,OBU000008,1,Beacon OrgBusinessUnit 8,1,1,2026-08-24T00:00:00.000
9,OBU000009,31,Titan OrgBusinessUnit 9,1,1,2026-08-24T00:00:00.000
10,OBU000010,34,Titan OrgBusinessUnit 10,1,1,2026-08-24T00:00:00.000
11,OBU000011,29,Quartz OrgBusinessUnit 11,1,1,2026-08-24T00:00:00.000
12,OBU000012,30,Forge OrgBusinessUnit 12,1,1,2026-08-24T00:00:00.000
13,OBU000013,34,Summit OrgBusinessUnit 13,1,1,2026-08-24T00:00:00.000
14,OBU000014,23,Cedar OrgBusinessUnit 14,1,1,2026-08-24T00:00:00.000
15,OBU000015,17,Vertex OrgBusinessUnit 15,1,1,2026-08-24T00:00:00.000
16,OBU000016,35,Summit OrgBusinessUnit 16,1,1,2026-08-24T00:00:00.000
17,OBU000017,17,Zenith OrgBusinessUnit 17,1,1,2026-08-24T00:00:00.000
18,OBU000018,7,Keystone OrgBusinessUnit 18,1,1,2026-08-24T00:00:00.000
19,OBU000019,6,Junction OrgBusinessUnit 19,1,1,2026-08-24T00:00:00.000
20,OBU000020,33,Junction OrgBusinessUnit 20,1,1,2026-08-24T00:00:00.000
21,OBU000021,33,Unity OrgBusinessUnit 21,1,1,2026-08-24T00:00:00.000
22,OBU000022,31,Granite OrgBusinessUnit 22,1,1,2026-08-24T00:00:00.000
23,OBU000023,4,Orion OrgBusinessUnit 23,1,1,2026-08-24T00:00:00.000
24,OBU000024,15,Vertex OrgBusinessUnit 24,1,1,2026-08-24T00:00:00.000
25,OBU000025,30,Forge OrgBusinessUnit 25,1,1,2026-08-24T00:00:00.000
26,OBU000026,16,Zenith OrgBusinessUnit 26,1,1,2026-08-24T00:00:00.000
27,OBU000027,35,Vertex OrgBusinessUnit 27,1,1,2026-08-24T00:00:00.000
28,OBU000028,15,Titan OrgBusinessUnit 28,1,1,2026-08-24T00:00:00.000
29,OBU000029,18,Northstar OrgBusinessUnit 29,1,1,2026-08-24T00:00:00.000
30,OBU000030,2,Junction OrgBusinessUnit 30,1,1,2026-08-24T00:00:00.000
31,OBU000031,1,Liberty OrgBusinessUnit 31,1,1,2026-08-24T00:00:00.000
32,OBU000032,24,Summit OrgBusinessUnit 32,1,1,2026-08-24T00:00:00.000
33,OBU000033,6,Evergreen OrgBusinessUnit 33,1,1,2026-08-24T00:00:00.000
