ProductionProcessLineKey,ProductionProcessLineCode,ProductionProcessAreaKey,ProductionProcessLineName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PPL000001,9,Harbor ProductionProcessLine 1,1,1,2026-08-24T00:00:00.000
2,PPL000002,6,Vertex ProductionProcessLine 2,1,1,2026-08-24T00:00:00.000
3,PPL000003,3,Meridian ProductionProcessLine 3,1,1,2026-08-24T00:00:00.000
4,PPL000004,14,Summit ProductionProcessLine 4,1,1,2026-08-24T00:00:00.000
5,PPL000005,13,Evergreen ProductionProcessLine 5,1,1,2026-08-24T00:00:00.000
6,PPL000006,4,Vertex ProductionProcessLine 6,1,1,2026-08-24T00:00:00.000
7,PPL000007,11,Zenith ProductionProcessLine 7,1,1,2026-08-24T00:00:00.000
8,PPL000008,12,Riverton ProductionProcessLine 8,1,1,2026-08-24T00:00:00.000
9,PPL000009,4,Riverton ProductionProcessLine 9,1,1,2026-08-24T00:00:00.000
10,PPL000010,4,Harbor ProductionProcessLine 10,1,1,2026-08-24T00:00:00.000
11,PPL000011,10,Zenith ProductionProcessLine 11,1,1,2026-08-24T00:00:00.000
12,PPL000012,14,Quartz ProductionProcessLine 12,1,1,2026-08-24T00:00:00.000
13,PPL000013,9,Atlas ProductionProcessLine 13,1,1,2026-08-24T00:00:00.000
14,PPL000014,4,Willow ProductionProcessLine 14,1,1,2026-08-24T00:00:00.000
15,PPL000015,7,Beacon ProductionProcessLine 15,1,1,2026-08-24T00:00:00.000
16,PPL000016,2,Summit ProductionProcessLine 16,1,1,2026-08-24T00:00:00.000
17,PPL000017,6,Orion ProductionProcessLine 17,1,1,2026-08-24T00:00:00.000
18,PPL000018,11,Summit ProductionProcessLine 18,1,1,2026-08-24T00:00:00.000
19,PPL000019,1,Unity ProductionProcessLine 19,1,1,2026-08-24T00:00:00.000
20,PPL000020,5,Unity ProductionProcessLine 20,1,1,2026-08-24T00:00:00.000
21,PPL000021,9,Riverton ProductionProcessLine 21,1,1,2026-08-24T00:00:00.000
22,PPL000022,1,Keystone ProductionProcessLine 22,1,1,2026-08-24T00:00:00.000
23,PPL000023,2,Evergreen ProductionProcessLine 23,1,1,2026-08-24T00:00:00.000
24,PPL000024,12,Zenith ProductionProcessLine 24,1,1,2026-08-24T00:00:00.000
25,PPL000025,13,Atlas ProductionProcessLine 25,1,1,2026-08-24T00:00:00.000
26,PPL000026,14,Ion ProductionProcessLine 26,1,1,2026-08-24T00:00:00.000
27,PPL000027,14,Unity ProductionProcessLine 27,1,1,2026-08-24T00:00:00.000
28,PPL000028,1,Northstar ProductionProcessLine 28,1,1,2026-08-24T00:00:00.000
29,PPL000029,2,Liberty ProductionProcessLine 29,1,1,2026-08-24T00:00:00.000
30,PPL000030,13,Beacon ProductionProcessLine 30,1,1,2026-08-24T00:00:00.000
31,PPL000031,14,Junction ProductionProcessLine 31,1,1,2026-08-24T00:00:00.000
32,PPL000032,2,Unity ProductionProcessLine 32,1,1,2026-08-24T00:00:00.000
33,PPL000033,12,Atlas ProductionProcessLine 33,1,1,2026-08-24T00:00:00.000
34,PPL000034,14,Quartz ProductionProcessLine 34,1,1,2026-08-24T00:00:00.000
35,PPL000035,9,Granite ProductionProcessLine 35,1,1,2026-08-24T00:00:00.000
36,PPL000036,4,Keystone ProductionProcessLine 36,1,1,2026-08-24T00:00:00.000
37,PPL000037,9,Willow ProductionProcessLine 37,1,1,2026-08-24T00:00:00.000
38,PPL000038,14,Pioneer ProductionProcessLine 38,1,1,2026-08-24T00:00:00.000
39,PPL000039,13,Quartz ProductionProcessLine 39,1,1,2026-08-24T00:00:00.000
40,PPL000040,11,Liberty ProductionProcessLine 40,1,1,2026-08-24T00:00:00.000
41,PPL000041,12,Zenith ProductionProcessLine 41,1,1,2026-08-24T00:00:00.000
42,PPL000042,11,Delta ProductionProcessLine 42,1,1,2026-08-24T00:00:00.000
